y_m,z_m,hit_count
-0.74,0.83,1
-0.74,0.85,1
-0.74,0.86,2
-0.74,0.88,1
-0.74,0.9,1
-0.74,0.92,1
-0.74,0.93,2
-0.74,0.94,1
-0.74,0.95,1
-0.74,0.96,1
-0.74,0.99,1
-0.74,1.03,1
-0.73,0.76,1
-0.73,0.82,1
-0.73,0.84,1
-0.73,0.85,2
-0.73,0.86,2
-0.73,0.87,1
-0.73,0.88,1
-0.73,0.89,2
-0.73,0.93,3
-0.73,0.94,2
-0.73,0.96,2
-0.73,0.97,2
-0.73,1.01,1
-0.73,1.02,1
-0.73,1.03,1
-0.72,0.7,1
-0.72,0.71,1
-0.72,0.75,3
-0.72,0.76,1
-0.72,0.79,2
-0.72,0.8,2
-0.72,0.82,1
-0.72,0.83,1
-0.72,0.84,4
-0.72,0.86,2
-0.72,0.87,1
-0.72,0.88,1
-0.72,0.89,2
-0.72,0.9,1
-0.72,0.91,3
-0.72,0.95,1
-0.72,0.96,1
-0.72,0.97,2
-0.72,0.98,3
-0.72,0.99,2
-0.72,1,3
-0.72,1.01,1
-0.72,1.02,1
-0.72,1.04,2
-0.72,1.06,1
-0.72,1.08,1
-0.72,1.1,1
-0.71,0.68,1
-0.71,0.69,1
-0.71,0.7,2
-0.71,0.71,2
-0.71,0.72,1
-0.71,0.75,2
-0.71,0.76,1
-0.71,0.78,2
-0.71,0.79,1
-0.71,0.8,1
-0.71,0.82,2
-0.71,0.83,3
-0.71,0.84,3
-0.71,0.85,4
-0.71,0.86,1
-0.71,0.87,4
-0.71,0.89,3
-0.71,0.91,1
-0.71,0.92,1
-0.71,0.93,3
-0.71,0.94,1
-0.71,0.96,1
-0.71,0.97,1
-0.71,0.98,3
-0.71,0.99,5
-0.71,1,1
-0.71,1.01,3
-0.71,1.02,3
-0.71,1.03,4
-0.71,1.04,2
-0.71,1.05,5
-0.71,1.06,5
-0.71,1.08,1
-0.71,1.11,4
-0.71,1.12,1
-0.7,0.64,1
-0.7,0.65,1
-0.7,0.67,1
-0.7,0.69,3
-0.7,0.7,3
-0.7,0.71,2
-0.7,0.72,2
-0.7,0.73,1
-0.7,0.74,2
-0.7,0.76,2
-0.7,0.77,2
-0.7,0.79,1
-0.7,0.8,3
-0.7,0.81,8
-0.7,0.82,2
-0.7,0.85,2
-0.7,0.87,2
-0.7,0.88,1
-0.7,0.89,3
-0.7,0.9,2
-0.7,0.91,2
-0.7,0.92,3
-0.7,0.93,3
-0.7,0.94,1
-0.7,0.95,1
-0.7,0.97,1
-0.7,0.98,2
-0.7,0.99,4
-0.7,1,3
-0.7,1.01,1
-0.7,1.02,1
-0.7,1.03,2
-0.7,1.05,4
-0.7,1.07,1
-0.7,1.08,3
-0.7,1.09,2
-0.7,1.1,1
-0.7,1.13,1
-0.7,1.15,1
-0.69,0.63,1
-0.69,0.65,1
-0.69,0.67,3
-0.69,0.68,1
-0.69,0.69,1
-0.69,0.7,2
-0.69,0.71,1
-0.69,0.72,2
-0.69,0.73,3
-0.69,0.74,2
-0.69,0.75,2
-0.69,0.76,2
-0.69,0.77,1
-0.69,0.78,3
-0.69,0.79,1
-0.69,0.8,3
-0.69,0.81,2
-0.69,0.82,1
-0.69,0.83,2
-0.69,0.84,1
-0.69,0.85,2
