x_m,y_m,z_m,psi_rad,gamma_n,feasible
-0.85,-0.85,1.2,0.785398,-inf,0
-0.85,-0.8415,1.2,0.785398,-inf,0
-0.85,-0.833,1.2,0.785398,-inf,0
-0.85,-0.8245,1.2,0.785398,-inf,0
-0.85,-0.816,1.2,0.785398,-inf,0
-0.85,-0.8075,1.2,0.785398,-inf,0
-0.85,-0.799,1.2,0.785398,-inf,0
-0.85,-0.7905,1.2,0.785398,-inf,0
-0.85,-0.782,1.2,0.785398,-inf,0
-0.85,-0.7735,1.2,0.785398,-inf,0
-0.85,-0.765,1.2,0.785398,-inf,0
-0.85,-0.7565,1.2,0.785398,-inf,0
-0.85,-0.748,1.2,0.785398,-inf,0
-0.85,-0.7395,1.2,0.785398,-inf,0
-0.85,-0.731,1.2,0.785398,-inf,0
-0.85,-0.7225,1.2,0.785398,-inf,0
-0.85,-0.714,1.2,0.785398,-inf,0
-0.85,-0.7055,1.2,0.785398,-inf,0
-0.85,-0.697,1.2,0.785398,-inf,0
-0.85,-0.6885,1.2,0.785398,-inf,0
-0.85,-0.68,1.2,0.785398,-inf,0
-0.85,-0.6715,1.2,0.785398,-inf,0
-0.85,-0.663,1.2,0.785398,-inf,0
-0.85,-0.6545,1.2,0.785398,-inf,0
-0.85,-0.646,1.2,0.785398,-inf,0
-0.85,-0.6375,1.2,0.785398,-inf,0
-0.85,-0.629,1.2,0.785398,-inf,0
-0.85,-0.6205,1.2,0.785398,-inf,0
-0.85,-0.612,1.2,0.785398,-inf,0
-0.85,-0.6035,1.2,0.785398,-inf,0
-0.85,-0.595,1.2,0.785398,-inf,0
-0.85,-0.5865,1.2,0.785398,-inf,0
-0.85,-0.578,1.2,0.785398,-inf,0
-0.85,-0.5695,1.2,0.785398,-inf,0
-0.85,-0.561,1.2,0.785398,-inf,0
-0.85,-0.5525,1.2,0.785398,-inf,0
-0.85,-0.544,1.2,0.785398,-inf,0
-0.85,-0.5355,1.2,0.785398,-inf,0
-0.85,-0.527,1.2,0.785398,-inf,0
-0.85,-0.5185,1.2,0.785398,-inf,0
-0.85,-0.51,1.2,0.785398,-inf,0
