x_m,y_m,psi_rad,gamma_n,gamma_feasible,rank,sigma_min,rejection_reason,solver_status
-0.95,-0.95,0.785398,nan,0,3,0.137359,solver_infeasible,primal infeasible
-0.95,-0.9405,0.785398,nan,0,3,0.13117,solver_infeasible,primal infeasible
-0.95,-0.931,0.785398,nan,0,3,0.124287,solver_infeasible,primal infeasible
-0.95,-0.9215,0.785398,nan,0,3,0.116582,solver_infeasible,primal infeasible
-0.95,-0.912,0.785398,nan,0,3,0.107897,solver_infeasible,primal infeasible
-0.95,-0.9025,0.785398,nan,0,3,0.0980354,solver_infeasible,primal infeasible
-0.95,-0.893,0.785398,nan,0,3,0.0867473,solver_infeasible,primal infeasible
-0.95,-0.8835,0.785398,nan,0,3,0.0737167,solver_infeasible,primal infeasible
-0.95,-0.874,0.785398,nan,0,3,0.0585412,solver_infeasible,primal infeasible
-0.95,-0.8645,0.785398,nan,0,3,0.0407084,solver_infeasible,primal infeasible
-0.95,-0.855,0.785398,nan,0,3,0.0195718,solver_infeasible,primal infeasible
-0.95,-0.8455,0.785398,nan,0,3,0.00566469,solver_infeasible,primal infeasible
-0.95,-0.836,0.785398,nan,0,3,0.0359301,solver_infeasible,primal infeasible
-0.95,-0.8265,0.785398,nan,0,3,0.0721814,solver_infeasible,primal infeasible
-0.95,-0.817,0.785398,nan,0,3,0.115109,solver_infeasible,primal infeasible
-0.95,-0.8075,0.785398,nan,0,3,0.164525,solver_infeasible,primal infeasible
-0.95,-0.798,0.785398,nan,0,3,0.218423,solver_infeasible,primal infeasible
-0.95,-0.7885,0.785398,nan,0,3,0.272248,solver_infeasible,primal infeasible
-0.95,-0.779,0.785398,nan,0,3,0.319546,solver_infeasible,primal infeasible
-0.95,-0.7695,0.785398,nan,0,3,0.354622,solver_infeasible,primal infeasible
-0.95,-0.76,0.785398,nan,0,3,0.375406,solver_infeasible,primal infeasible
-0.95,-0.7505,0.785398,nan,0,3,0.383783,solver_infeasible,primal infeasible
-0.95,-0.741,0.785398,nan,0,3,0.383529,solver_infeasible,primal infeasible
-0.95,-0.7315,0.785398,nan,0,3,0.378231,solver_infeasible,primal infeasible
-0.95,-0.722,0.785398,nan,0,3,0.370443,solver_infeasible,primal infeasible
-0.95,-0.7125,0.785398,nan,0,3,0.361716,solver_infeasible,primal infeasible
-0.95,-0.703,0.785398,nan,0,3,0.352902,solver_infeasible,primal infeasible
-0.95,-0.6935,0.785398,nan,0,3,0.344427,solver_infeasible,primal infeasible
-0.95,-0.684,0.785398,nan,0,3,0.336481,solver_infeasible,primal infeasible
-0.95,-0.6745,0.785398,nan,0,3,0.329127,solver_infeasible,primal infeasible
-0.95,-0.665,0.785398,nan,0,3,0.322363,solver_infeasible,primal infeasible
-0.95,-0.6555,0.785398,nan,0,3,0.316156,solver_infeasible,primal infeasible
-0.95,-0.646,0.785398,nan,0,3,0.31046,solver_infeasible,primal infeasible
-0.95,-0.6365,0.785398,nan,0,3,0.305227,solver_infeasible,primal infeasible
-0.95,-0.627,0.785398,nan,0,3,0.300408,solver_infeasible,primal infeasible
-0.95,-0.6175,0.785398,nan,0,3,0.295959,solver_infeasible,primal infeasible
-0.95,-0.608,0.785398,nan,0,3,0.291841,solver_infeasible,primal infeasible
-0.95,-0.5985,0.785398,nan,0,3,0.288017,solver_infeasible,primal infeasible
-0.95,-0.589,0.785398,nan,0,3,0.284456,solver_infeasible,primal infeasible
-0.95,-0.5795,0.785398,nan,0,3,0.281131,solver_infeasible,primal infeasible
-0.95,-0.57,0.785398,nan,0,3,0.278016,solver_infeasible,primal infeasible
-0.95,-0.5605,0.785398,nan,0,3,0.275092,solver_infeasible,primal infeasible
-0.95,-0.551,0.785398,nan,0,3,0.272337,solver_infeasible,primal infeasible
-0.95,-0.5415,0.785398,nan,0,3,0.269737,solver_infeasible,primal infeasible
-0.95,-0.532,0.785398,nan,0,3,0.267277,solver_infeasible,primal infeasible
-0.95,-0.5225,0.785398,nan,0,3,0.264943,solver_infeasible,primal infeasible
-0.95,-0.513,0.785398,nan,0,3,0.262725,solver_infeasible,primal infeasible
-0.95,-0.5035,0.785398,nan,0,3,0.260612,solver_infeasible,primal infeasible
-0.95,-0.494,0.785398,nan,0,3,0.258595,solver_infeasible,primal infeasible
-0.95,-0.4845,0.785398,nan,0,3,0.256667,solver_infeasible,primal infeasible
-0.95,-0.475,0.785398,nan,0,3,0.254819,solver_infeasible,primal infeasible
-0.95,-0.4655,0.785398,nan,0,3,0.253046,solver_infeasible,primal infeasible
-0.95,-0.456,0.785398,nan,0,3,0.251342,solver_infeasible,primal infeasible
-0.95,-0.4465,0.785398,nan,0,3,0.249701,solver_infeasible,primal infeasible
-0.95,-0.437,0.785398,nan,0,3,0.248119,solver_infeasible,primal infeasible
-0.95,-0.4275,0.785398,nan,0,3,0.246592,solver_infeasible,primal infeasible
-0.95,-0.418,0.785398,nan,0,3,0.245115,solver_infeasible,primal infeasible
-0.95,-0.4085,0.785398,nan,0,3,0.243686,solver_infeasible,primal infeasible
-0.95,-0.399,0.785398,nan,0,3,0.2423,solver_infeasible,primal infeasible
-0.95,-0.3895,0.785398,nan,0,3,0.240956,solver_infeasible,primal infeasible
-0.95,-0.38,0.785398,nan,0,3,0.23965,solver_infeasible,primal infeasible
-0.95,-0.3705,0.785398,nan,0,3,0.238379,solver_infeasible,primal infeasible
-0.95,-0.361,0.785398,nan,0,3,0.237143,solver_infeasible,primal infeasible
-0.95,-0.3515,0.785398,nan,0,3,0.235937,solver_infeasible,primal infeasible
-0.95,-0.342,0.785398,nan,0,3,0.234762,solver_infeasible,primal infeasible
-0.95,-0.3325,0.785398,nan,0,3,0.233614,solver_infeasible,primal infeasible
-0.95,-0.323,0.785398,nan,0,3,0.232492,solver_infeasible,primal infeasible
-0.95,-0.3135,0.785398,nan,0,3,0.231395,solver_infeasible,primal infeasible
-0.95,-0.304,0.785398,nan,0,3,0.230321,solver_infeasible,primal infeasible
-0.95,-0.2945,0.785398,nan,0,3,0.22927,solver_infeasible,primal infeasible
-0.95,-0.285,0.785398,nan,0,3,0.228238,solver_infeasible,primal infeasible
-0.95,-0.2755,0.785398,nan,0,3,0.227226,solver_infeasible,primal infeasible
-0.95,-0.266,0.785398,nan,0,3,0.226233,solver_infeasible,primal infeasible
-0.95,-0.2565,0.785398,nan,0,3,0.225257,solver_infeasible,primal infeasible
-0.95,-0.247,0.785398,nan,0,3,0.224298,solver_infeasible,primal infeasible
-0.95,-0.2375,0.785398,nan,0,3,0.223354,solver_infeasible,primal infeasible
-0.95,-0.228,0.785398,nan,0,3,0.222424,solver_infeasible,primal infeasible
-0.95,-0.2185,0.785398,nan,0,3,0.221509,solver_infeasible,primal infeasible
-0.95,-0.209,0.785398,nan,0,3,0.220606,solver_infeasible,primal infeasible
-0.95,-0.1995,0.785398,nan,0,3,0.219717,solver_infeasible,primal infeasible
-0.95,-0.19,0.785398,nan,0,3,0.218838,solver_infeasible,primal infeasible
-0.95,-0.1805,0.785398,nan,0,3,0.217971,solver_infeasible,primal infeasible
-0.95,-0.171,0.785398,nan,0,3,0.217114,solver_infeasible,primal infeasible
-0.95,-0.1615,0.785398,nan,0,3,0.216268,solver_infeasible,primal infeasible
-0.95,-0.152,0.785398,nan,0,3,0.21543,solver_infeasible,primal infeasible
-0.95,-0.1425,0.785398,nan,0,3,0.214601,solver_infeasible,primal infeasible
-0.95,-0.133,0.785398,nan,0,3,0.21378,solver_infeasible,primal infeasible
-0.95,-0.1235,0.785398,nan,0,3,0.212967,solver_infeasible,primal infeasible
-0.95,-0.114,0.785398,nan,0,3,0.21216,solver_infeasible,primal infeasible
-0.95,-0.1045,0.785398,nan,0,3,0.211361,solver_infeasible,primal infeasible
-0.95,-0.095,0.785398,nan,0,3,0.210568,solver_infeasible,primal infeasible
-0.95,-0.0855,0.785398,nan,0,3,0.20978,solver_infeasible,primal infeasible
-0.95,-0.076,0.785398,nan,0,3,0.208997,solver_infeasible,primal infeasible
-0.95,-0.0665,0.785398,nan,0,3,0.20822,solver_infeasible,primal infeasible
-0.95,-0.057,0.785398,nan,0,3,0.207446,solver_infeasible,primal infeasible
-0.95,-0.0475,0.785398,nan,0,3,0.206677,solver_infeasible,primal infeasible
-0.95,-0.038,0.785398,nan,0,3,0.205911,solver_infeasible,primal infeasible
-0.95,-0.0285,0.785398,nan,0,3,0.205147,solver_infeasible,primal infeasible
-0.95,-0.019,0.785398,nan,0,3,0.204387,solver_infeasible,primal infeasible
-0.95,-0.0095,0.785398,nan,0,3,0.203629,solver_infeasible,primal infeasible
-0.95,0,0.785398,nan,0,3,0.202872,solver_infeasible,primal infeasible
