sample_name,x_m,y_m,psi_rad,psi_deg,cable_index,planar_length_m,full_length_m,projection_coeff,legacy_col_norm,corrected_col_norm,legacy_fx,legacy_fy,legacy_tau_z,corrected_fx,corrected_fy,corrected_tau_z,corrected_rank,corrected_sigma_min
center_0deg,0,0,0,0,1,1.20208,1.20208,1,1,1,0.707107,0.707107,0,0.707107,0.707107,0,2,0
center_0deg,0,0,0,0,2,1.20208,1.20208,1,1,1,0.707107,0.707107,0,0.707107,0.707107,0,2,0
center_0deg,0,0,0,0,3,1.20208,1.20208,1,1,1,-0.707107,0.707107,0,-0.707107,0.707107,0,2,0
center_0deg,0,0,0,0,4,1.20208,1.20208,1,1,1,-0.707107,0.707107,0,-0.707107,0.707107,0,2,0
center_0deg,0,0,0,0,5,1.20208,1.20208,1,1,1,-0.707107,-0.707107,0,-0.707107,-0.707107,0,2,0
center_0deg,0,0,0,0,6,1.20208,1.20208,1,1,1,-0.707107,-0.707107,0,-0.707107,-0.707107,0,2,0
center_0deg,0,0,0,0,7,1.20208,1.20208,1,1,1,0.707107,-0.707107,0,0.707107,-0.707107,0,2,0
center_0deg,0,0,0,0,8,1.20208,1.20208,1,1,1,0.707107,-0.707107,0,0.707107,-0.707107,0,2,0
center_30deg,0,0,0.523599,30,1,1.23506,1.23506,1,1.00735,1.00735,0.76522,0.643769,-0.121451,0.76522,0.643769,-0.121451,3,0.343516
center_30deg,0,0,0.523599,30,2,1.23506,1.23506,1,1.00735,1.00735,0.76522,0.643769,-0.121451,0.76522,0.643769,-0.121451,3,0.343516
center_30deg,0,0,0.523599,30,3,1.23506,1.23506,1,1.00735,1.00735,-0.643769,0.76522,-0.121451,-0.643769,0.76522,-0.121451,3,0.343516
center_30deg,0,0,0.523599,30,4,1.23506,1.23506,1,1.00735,1.00735,-0.643769,0.76522,-0.121451,-0.643769,0.76522,-0.121451,3,0.343516
center_30deg,0,0,0.523599,30,5,1.23506,1.23506,1,1.00735,1.00735,-0.76522,-0.643769,-0.121451,-0.76522,-0.643769,-0.121451,3,0.343516
center_30deg,0,0,0.523599,30,6,1.23506,1.23506,1,1.00735,1.00735,-0.76522,-0.643769,-0.121451,-0.76522,-0.643769,-0.121451,3,0.343516
center_30deg,0,0,0.523599,30,7,1.23506,1.23506,1,1.00735,1.00735,0.643769,-0.76522,-0.121451,0.643769,-0.76522,-0.121451,3,0.343516
center_30deg,0,0,0.523599,30,8,1.23506,1.23506,1,1.00735,1.00735,0.643769,-0.76522,-0.121451,0.643769,-0.76522,-0.121451,3,0.343516
center_45deg,0,0,0.785398,45,1,1.27308,1.27308,1,1.01379,1.01379,0.785496,0.618867,-0.166629,0.785496,0.618867,-0.166629,3,0.471297
center_45deg,0,0,0.785398,45,2,1.27308,1.27308,1,1.01379,1.01379,0.785496,0.618867,-0.166629,0.785496,0.618867,-0.166629,3,0.471297
center_45deg,0,0,0.785398,45,3,1.27308,1.27308,1,1.01379,1.01379,-0.618867,0.785496,-0.166629,-0.618867,0.785496,-0.166629,3,0.471297
center_45deg,0,0,0.785398,45,4,1.27308,1.27308,1,1.01379,1.01379,-0.618867,0.785496,-0.166629,-0.618867,0.785496,-0.166629,3,0.471297
center_45deg,0,0,0.785398,45,5,1.27308,1.27308,1,1.01379,1.01379,-0.785496,-0.618867,-0.166629,-0.785496,-0.618867,-0.166629,3,0.471297
center_45deg,0,0,0.785398,45,6,1.27308,1.27308,1,1.01379,1.01379,-0.785496,-0.618867,-0.166629,-0.785496,-0.618867,-0.166629,3,0.471297
center_45deg,0,0,0.785398,45,7,1.27308,1.27308,1,1.01379,1.01379,0.618867,-0.785496,-0.166629,0.618867,-0.785496,-0.166629,3,0.471297
center_45deg,0,0,0.785398,45,8,1.27308,1.27308,1,1.01379,1.01379,0.618867,-0.785496,-0.166629,0.618867,-0.785496,-0.166629,3,0.471297
center_60deg,0,0,1.0472,60,1,1.32098,1.32098,1,1.01916,1.01916,0.798574,0.601897,-0.196677,0.798574,0.601897,-0.196677,3,0.556287
center_60deg,0,0,1.0472,60,2,1.32098,1.32098,1,1.01916,1.01916,0.798574,0.601897,-0.196677,0.798574,0.601897,-0.196677,3,0.556287
center_60deg,0,0,1.0472,60,3,1.32098,1.32098,1,1.01916,1.01916,-0.601897,0.798574,-0.196677,-0.601897,0.798574,-0.196677,3,0.556287
center_60deg,0,0,1.0472,60,4,1.32098,1.32098,1,1.01916,1.01916,-0.601897,0.798574,-0.196677,-0.601897,0.798574,-0.196677,3,0.556287
center_60deg,0,0,1.0472,60,5,1.32098,1.32098,1,1.01916,1.01916,-0.798574,-0.601897,-0.196677,-0.798574,-0.601897,-0.196677,3,0.556287
center_60deg,0,0,1.0472,60,6,1.32098,1.32098,1,1.01916,1.01916,-0.798574,-0.601897,-0.196677,-0.798574,-0.601897,-0.196677,3,0.556287
center_60deg,0,0,1.0472,60,7,1.32098,1.32098,1,1.01916,1.01916,0.601897,-0.798574,-0.196677,0.601897,-0.798574,-0.196677,3,0.556287
center_60deg,0,0,1.0472,60,8,1.32098,1.32098,1,1.01916,1.01916,0.601897,-0.798574,-0.196677,0.601897,-0.798574,-0.196677,3,0.556287
