step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_norm,arm_sigma_min,arm_condition_number,manipulability_proxy,joint_limit_min_margin,singularity_avoidance_active,singularity_avoidance_singular_count,joint_limit_avoidance_enabled,joint_limit_avoidance_active_lower_count,joint_limit_avoidance_active_upper_count,solver_status,fail_reason,platform_x,platform_y,platform_psi,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_arm_1,q_arm_2,q_arm_3,q_arm_4,q_arm_5,q_arm_6
1,0.0,0.057021164387191264,0.010002371411802225,0.24858416458402482,0.05702116438719139,0.010002371411802463,0.24858416458402444,4.723069394728281e-16,0.14294473155918086,5.597164301324375,0.027322499261224067,0.27204224116881826,False,0,False,0,0,min_task,none,-2.1968391236329727e-18,5.09956043596355e-20,4.156773776817837e-18,-2.1968391236329727e-18,5.09956043596355e-20,4.156773776817837e-18,7.337162378668337e-19,0.58,0.92,-8.007163875882442e-18,2.3806541987077465e-17,2.7146528757908912e-18,7.337162378668337e-19,0.58,0.92,-8.007163875882442e-18,2.3806541987077465e-17,2.7146528757908912e-18
2,0.02,0.057023397250471126,0.010002371526577538,0.24858538210365577,0.05702172267687889,0.010002371411802463,0.24858447474496193,1.904598784071868e-06,0.14294473155918086,5.597164301324375,0.027322499261224067,0.27204224116881826,False,0,False,0,0,min_task,none,-7.978058994010553e-08,-5.67297460015325e-10,-1.4271810586175497e-07,-7.978058994010553e-08,-5.67297460015325e-10,-1.4271810586175497e-07,-1.223972616740217e-07,0.5800002577862943,0.9200058546359052,-4.6486987965596004e-08,-3.655803296166305e-09,4.453988745408926e-08,-1.223972616740217e-07,0.5800002577862943,0.9200058546359052,-4.6486987965596004e-08,-3.655803296166305e-09,4.453988745408926e-08
3,0.04,0.05703171560193967,0.010002371526266098,0.24858992842473304,0.05702559715719139,0.010002371411802463,0.24858662723402444,6.952210169822825e-06,0.1429453928933611,5.597131726139308,0.027322656184577614,0.27204249895511257,False,0,False,0,0,min_task,none,-3.74533079572346e-07,-2.7003483549926926e-09,-6.564386259918235e-07,-3.74533079572346e-07,-2.7003483549926926e-09,-6.564386259918235e-07,-5.591621104654924e-07,0.5800012612802279,0.9200277268641566,-2.1672389760514916e-07,-1.802327935479743e-08,2.075066944717208e-07,-5.591621104654924e-07,0.5800012612802279,0.9200277268641566,-2.1672389760514916e-07,-1.802327935479743e-08,2.075066944717208e-07
4,0.06,0.05704964389723118,0.010002370214992408,0.24859975039825216,0.05703601221875389,0.010002371411802463,0.24859241337933694,1.5480778601320482e-05,0.14294786353195632,5.597010032570101,0.027323241719424782,0.2720435024490462,False,0,False,0,0,min_task,none,-1.0043612972433324e-06,-7.365407733477713e-09,-1.7164937285054554e-06,-1.0043612972433324e-06,-7.365407733477713e-09,-1.7164937285054554e-06,-1.4494710001030152e-06,0.5800035181048054,0.9200750011977856,-5.763839893761616e-07,-5.16745756398382e-08,5.516997733955422e-07,-1.4494710001030152e-06,0.5800035181048054,0.9200750011977856,-5.763839893761616e-07,-5.16745756398382e-08,5.516997733955422e-07
5,0.08,0.05708045204819241,0.010002365303043242,0.24861666390932757,0.05705609302719139,0.010002371411802463,0.24860356938402445,2.765553352151001e-05,0.14295320340235115,5.596747023928361,0.027324505786157395,0.27204575927362373,False,0,False,0,0,min_task,none,-2.0783245097827435e-06,-1.5520429499882916e-08,-3.441470673834993e-06,-2.0783245097827435e-06,-1.5520429499882916e-08,-3.441470673834993e-06,-2.8752374072834798e-06,0.5800075334675285,0.9201564333748096,-1.1818980857944788e-06,-1.1556051539869988e-07,1.1314294322080412e-06,-2.8752374072834798e-06,0.5800075334675285,0.9201564333748096,-1.1818980857944788e-06,-1.1556051539869988e-07,1.1314294322080412e-06
6,0.1,0.05712720719483912,0.010002353547287023,0.2486423779679763,0.05708886653562889,0.010002371411802463,0.24862177688871193,4.352483124233184e-05,0.1429624011596124,5.596294037259749,0.027326681154657074,0.27204977463634683,False,0,False,0,0,min_task,none,-3.697248083631135e-06,-2.81056062302755e-08,-5.892919437852245e-06,-3.697248083631135e-06,-2.81056062302755e-08,-5.892919437852245e-06,-4.861473752081737e-06,0.5800137946918505,0.9202802561951687,-2.0821343420138865e-06,-2.229863028586402e-07,1.9943068773758293e-06,-4.861473752081737e-06,0.5800137946918505,0.9202802561951687,-2.0821343420138865e-06,-2.229863028586402e-07,1.9943068773758293e-06
7,0.12000000000000001,0.05719281005180379,0.01000233104797377,0.24867851201990893,0.057137262497191386,0.010002371411802463,0.24864866353402443,6.305921472912105e-05,0.1429763859578314,5.5956053812147175,0.027329986760793436,0.27205603586066884,False,0,False,0,0,min_task,none,-5.955702443592946e-06,-4.601348304787804e-08,-9.078003029258874e-06,-5.955702443592946e-06,-4.601348304787804e-08,-9.078003029258874e-06,-7.380379985458672e-06,0.5800227596702793,0.9204542533337063,-3.319508973609234e-06,-3.8902903750592673e-07,3.182433645604813e-06,-7.380379985458672e-06,0.5800227596702793,0.9204542533337063,-3.319508973609234e-06,-3.8902903750592673e-07,3.182433645604813e-06
8,0.14,0.057280020385775635,0.010002293618049805,0.2487266083655581,0.05720411447750389,0.010002371411802463,0.24868580352308695,8.617858278900849e-05,0.1429960355659933,5.59463795743235,0.027334630091394824,0.27206500083909757,False,0,False,0,0,min_task,none,-8.943424867039447e-06,-7.004946093457242e-08,-1.2954522407809145e-05,-8.943424867039447e-06,-7.004946093457242e-08,-1.2954522407809145e-05,-1.035815116388934e-05,0.5800348475094732,0.9206858097915865,-4.930719763085027e-06,-6.29662604464635e-07,4.7331816689951e-06,-1.035815116388934e-05,0.5800348475094732,0.9206858097915865,-4.930719763085027e-06,-6.29662604464635e-07,4.7331816689951e-06
9,0.16,0.05739147485174873,0.010002237164430059,0.24878814105983568,0.05729216086719139,0.010002371411802463,0.24873471818402443,0.00011277095907616319,0.1430221818144831,5.593351016108233,0.02734080890413483,0.2720770886782915,False,0,False,0,0,min_task,none,-1.2746371009929167e-05,-1.0089054022544425e-07,-1.74377506676549e-05,-1.2746371009929167e-05,-1.0089054022544425e-07,-1.74377506676549e-05,-1.3683621270105813e-05,0.5800504302993794,0.9209819453462603,-6.947238688597561e-06,-9.60783164099074e-07,6.679697945581617e-06,-1.3683621270105813e-05,0.5800504302993794,0.9209819453462603,-6.947238688597561e-06,-9.60783164099074e-07,6.679697945581617e-06
10,0.18,0.05752969947268069,0.01000215803951835,0.24886452228855574,0.05740404589437889,0.010002371411802463,0.24879687653246194,0.00014270534532833824,0.14305561409702372,5.5917060093727615,0.02734871247435085,0.2720926714681977,False,0,False,0,0,min_task,none,-1.7447522493980432e-05,-1.3904783050723174e-07,-2.2408519560618205e-05,-1.7447522493980432e-05,-1.3904783050723174e-07,-2.2408519560618205e-05,-1.7217964702666696e-05,0.5800698253727502,0.9213493356733317,-9.39565890176293e-06,-1.3972694996270652e-06,9.051228396052307e-06,-1.7217964702666696e-05,0.5800698253727502,0.9213493356733317,-9.39565890176293e-06,-1.3972694996270652e-06,9.051228396052307e-06
