step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_norm,arm_sigma_min,arm_condition_number,manipulability_proxy,joint_limit_min_margin,singularity_avoidance_active,singularity_avoidance_singular_count,joint_limit_avoidance_enabled,joint_limit_avoidance_active_lower_count,joint_limit_avoidance_active_upper_count,solver_status,fail_reason,platform_x,platform_y,platform_psi,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_arm_1,q_arm_2,q_arm_3,q_arm_4,q_arm_5,q_arm_6
1,0.0,0.057021164387191264,0.010002371411802225,0.24858416458402482,0.05702116438719139,0.010002371411802463,0.24858416458402444,4.723069394728281e-16,0.14294473155918086,5.597164301324375,0.027322499261224067,0.27204224116881826,False,0,True,0,0,min_task,none,-2.1968391236329727e-18,5.09956043596355e-20,4.156773776817837e-18,-2.1968391236329727e-18,5.09956043596355e-20,4.156773776817837e-18,7.337162378668337e-19,0.58,0.92,-8.007163875882442e-18,2.3806541987077465e-17,2.7146528757908912e-18,7.337162378668337e-19,0.58,0.92,-8.007163875882442e-18,2.3806541987077465e-17,2.7146528757908912e-18
2,0.02,0.057023397250471126,0.010002371526577538,0.24858538210365577,0.05702172267687889,0.010002371411802463,0.24858447474496193,1.904598784071868e-06,0.14294473155918086,5.597164301324375,0.027322499261224067,0.27204224116881826,False,0,True,0,0,min_task,none,-7.978058994010553e-08,-5.67297460015325e-10,-1.4271810586175497e-07,-7.978058994010553e-08,-5.67297460015325e-10,-1.4271810586175497e-07,-1.223972616740217e-07,0.5800002577862943,0.9200058546359052,-4.6486987965596004e-08,-3.655803296166305e-09,4.453988745408926e-08,-1.223972616740217e-07,0.5800002577862943,0.9200058546359052,-4.6486987965596004e-08,-3.655803296166305e-09,4.453988745408926e-08
3,0.04,0.05703171560193967,0.010002371526266098,0.24858992842473304,0.05702559715719139,0.010002371411802463,0.24858662723402444,6.952210169822825e-06,0.1429453928933611,5.597131726139308,0.027322656184577614,0.27204249895511257,False,0,True,0,0,min_task,none,-3.74533079572346e-07,-2.7003483549926926e-09,-6.564386259918235e-07,-3.74533079572346e-07,-2.7003483549926926e-09,-6.564386259918235e-07,-5.591621104654924e-07,0.5800012612802279,0.9200277268641566,-2.1672389760514916e-07,-1.802327935479743e-08,2.075066944717208e-07,-5.591621104654924e-07,0.5800012612802279,0.9200277268641566,-2.1672389760514916e-07,-1.802327935479743e-08,2.075066944717208e-07
4,0.06,0.05704964389723118,0.010002370214992408,0.24859975039825216,0.05703601221875389,0.010002371411802463,0.24859241337933694,1.5480778601320482e-05,0.14294786353195632,5.597010032570101,0.027323241719424782,0.2720435024490462,False,0,True,0,0,min_task,none,-1.0043612972433324e-06,-7.365407733477713e-09,-1.7164937285054554e-06,-1.0043612972433324e-06,-7.365407733477713e-09,-1.7164937285054554e-06,-1.4494710001030152e-06,0.5800035181048054,0.9200750011977856,-5.763839893761616e-07,-5.16745756398382e-08,5.516997733955422e-07,-1.4494710001030152e-06,0.5800035181048054,0.9200750011977856,-5.763839893761616e-07,-5.16745756398382e-08,5.516997733955422e-07
5,0.08,0.05708045204819241,0.010002365303043242,0.24861666390932757,0.05705609302719139,0.010002371411802463,0.24860356938402445,2.765553352151001e-05,0.14295320340235115,5.596747023928361,0.027324505786157395,0.27204575927362373,False,0,True,0,0,min_task,none,-2.0783245097827435e-06,-1.5520429499882916e-08,-3.441470673834993e-06,-2.0783245097827435e-06,-1.5520429499882916e-08,-3.441470673834993e-06,-2.8752374072834798e-06,0.5800075334675285,0.9201564333748096,-1.1818980857944788e-06,-1.1556051539869988e-07,1.1314294322080412e-06,-2.8752374072834798e-06,0.5800075334675285,0.9201564333748096,-1.1818980857944788e-06,-1.1556051539869988e-07,1.1314294322080412e-06
6,0.1,0.05712720719483912,0.010002353547287023,0.2486423779679763,0.05708886653562889,0.010002371411802463,0.24862177688871193,4.352483124233184e-05,0.1429624011596124,5.596294037259749,0.027326681154657074,0.27204977463634683,False,0,True,0,0,min_task,none,-3.697248083631135e-06,-2.81056062302755e-08,-5.892919437852245e-06,-3.697248083631135e-06,-2.81056062302755e-08,-5.892919437852245e-06,-4.861473752081737e-06,0.5800137946918505,0.9202802561951687,-2.0821343420138865e-06,-2.229863028586402e-07,1.9943068773758293e-06,-4.861473752081737e-06,0.5800137946918505,0.9202802561951687,-2.0821343420138865e-06,-2.229863028586402e-07,1.9943068773758293e-06
7,0.12000000000000001,0.05719281005180379,0.01000233104797377,0.24867851201990893,0.057137262497191386,0.010002371411802463,0.24864866353402443,6.305921472912105e-05,0.1429763859578314,5.5956053812147175,0.027329986760793436,0.27205603586066884,False,0,True,0,0,min_task,none,-5.955702443592946e-06,-4.601348304787804e-08,-9.078003029258874e-06,-5.955702443592946e-06,-4.601348304787804e-08,-9.078003029258874e-06,-7.380379985458672e-06,0.5800227596702793,0.9204542533337063,-3.319508973609234e-06,-3.8902903750592673e-07,3.182433645604813e-06,-7.380379985458672e-06,0.5800227596702793,0.9204542533337063,-3.319508973609234e-06,-3.8902903750592673e-07,3.182433645604813e-06
8,0.14,0.057280020385775635,0.010002293618049805,0.2487266083655581,0.05720411447750389,0.010002371411802463,0.24868580352308695,8.617858278900849e-05,0.1429960355659933,5.59463795743235,0.027334630091394824,0.27206500083909757,False,0,True,0,0,min_task,none,-8.943424867039447e-06,-7.004946093457242e-08,-1.2954522407809145e-05,-8.943424867039447e-06,-7.004946093457242e-08,-1.2954522407809145e-05,-1.035815116388934e-05,0.5800348475094732,0.9206858097915865,-4.930719763085027e-06,-6.29662604464635e-07,4.7331816689951e-06,-1.035815116388934e-05,0.5800348475094732,0.9206858097915865,-4.930719763085027e-06,-6.29662604464635e-07,4.7331816689951e-06
9,0.16,0.05739147485174873,0.010002237164430059,0.24878814105983568,0.05729216086719139,0.010002371411802463,0.24873471818402443,0.00011277095907616319,0.1430221818144831,5.593351016108233,0.02734080890413483,0.2720770886782915,False,0,True,0,0,min_task,none,-1.2746371009929167e-05,-1.0089054022544425e-07,-1.74377506676549e-05,-1.2746371009929167e-05,-1.0089054022544425e-07,-1.74377506676549e-05,-1.3683621270105813e-05,0.5800504302993794,0.9209819453462603,-6.947238688597561e-06,-9.60783164099074e-07,6.679697945581617e-06,-1.3683621270105813e-05,0.5800504302993794,0.9209819453462603,-6.947238688597561e-06,-9.60783164099074e-07,6.679697945581617e-06
10,0.18,0.05752969947268069,0.01000215803951835,0.24886452228855574,0.05740404589437889,0.010002371411802463,0.24879687653246194,0.00014270534532833824,0.14305561409702372,5.5917060093727615,0.02734871247435085,0.2720926714681977,False,0,True,0,0,min_task,none,-1.7447522493980432e-05,-1.3904783050723174e-07,-2.2408519560618205e-05,-1.7447522493980432e-05,-1.3904783050723174e-07,-2.2408519560618205e-05,-1.7217964702666696e-05,0.5800698253727502,0.9213493356733317,-9.39565890176293e-06,-1.3972694996270652e-06,9.051228396052307e-06,-1.7217964702666696e-05,0.5800698253727502,0.9213493356733317,-9.39565890176293e-06,-1.3972694996270652e-06,9.051228396052307e-06
11,0.19999999999999998,0.057697118377681045,0.010002053336297181,0.2489571069429305,0.05754232063719139,0.010002371411802463,0.24887369583402444,0.00017584042402606767,0.14309708146169373,5.589666515549003,0.027358522506986203,0.2721120665415685,False,0,True,0,0,min_task,none,-2.3127535116911666e-05,-1.848365360571672e-07,-2.7722021677810646e-05,-2.3127535116911666e-05,-1.848365360571672e-07,-2.7722021677810646e-05,-2.0804772265584166e-05,0.5800932877033035,0.9217943245779459,-1.229796395408975e-05,-1.9521657882754836e-06,1.1873329647547528e-05,-2.0804772265584166e-05,0.5800932877033035,0.9217943245779459,-1.229796395408975e-05,-1.9521657882754836e-06,1.1873329647547528e-05
12,0.21999999999999997,0.05789605993884359,0.010001921112159551,0.24906719591347554,0.05770944403625389,0.010002371411802463,0.24896654216683695,0.000212030362404832,0.14314729368481272,5.587198214248334,0.027370413812981196,0.2721355288721218,False,0,True,0,0,min_task,none,-2.9865283529150905e-05,-2.3835568366643116e-07,-3.3216826633595344e-05,-2.9865283529150905e-05,-2.3835568366643116e-07,-3.3216826633595344e-05,-2.42799132848211e-05,0.5801210022709433,0.9223229298677565,-1.567176875515649e-05,-2.6360379810020438e-06,1.5168020417537506e-05,-2.42799132848211e-05,0.5801210022709433,0.9223229298677565,-1.567176875515649e-05,-2.6360379810020438e-06,1.5168020417537506e-05
13,0.23999999999999996,0.05812876110998331,0.010001760535761772,0.2491960384791656,0.05790778390719139,0.010002371411802463,0.24907673098402444,0.0002511286039465374,0.14320692161908938,5.584268897294898,0.027384554821401463,0.2721632434397616,False,0,True,0,0,min_task,none,-3.7738338533514146e-05,-2.994787036952376e-07,-3.872365964569303e-05,-3.7738338533514146e-05,-2.994787036952376e-07,-3.872365964569303e-05,-2.7480693350224966e-05,0.5801530763353979,0.9229408447361055,-1.9530568755639503e-05,-3.456527167880667e-06,1.895391246078332e-05,-2.7480693350224966e-05,0.5801530763353979,0.9229408447361055,-1.9530568755639503e-05,-3.456527167880667e-06,1.895391246078332e-05
14,0.25999999999999995,0.058397370531674236,0.01000157195802372,0.24934483406192412,0.058139617953128886,0.010002371411802463,0.24920552767621193,0.00029299027283054106,0.14327659703244391,5.580848504152546,0.02740110797840135,0.2721953175042162,False,0,True,0,0,min_task,none,-4.682339971263017e-05,-3.678550487432413e-07,-4.4073554225206205e-05,-4.682339971263017e-05,-3.678550487432413e-07,-4.4073554225206205e-05,-3.0253918596431193e-05,0.580189531628645,0.9236534360378792,-2.388402399053568e-05,-4.418102574995985e-06,2.324635236484869e-05,-3.0253918596431193e-05,0.580189531628645,0.9236534360378792,-2.388402399053568e-05,-4.418102574995985e-06,2.324635236484869e-05
15,0.27999999999999997,0.0587039507978287,0.010001356913307646,0.24951473353991144,0.05840713477719139,0.010002371411802463,0.24935414813402443,0.0003374736314114917,0.1433569120989784,5.576909173228314,0.027420230069576806,0.27223177279746325,False,0,True,0,0,min_task,none,-5.719669693651802e-05,-4.4292230113710396e-07,-4.9105064283957726e-05,-5.719669693651802e-05,-4.4292230113710396e-07,-4.9105064283957726e-05,-3.246258084120289e-05,0.5802302965172867,0.9244657404848282,-2.8738296454849145e-05,-5.52200193461085e-06,2.8057598324262337e-05,-3.246258084120289e-05,0.5802302965172867,0.9244657404848282,-2.8738296454849145e-05,-5.52200193461085e-06,2.8057598324262337e-05
16,0.3,0.05905048015944106,0.010001118060106704,0.24970684025762432,0.05871243489500389,0.010002371411802463,0.24952375931058693,0.0003844408990559902,0.1434484186633418,5.572425302411955,0.027442072491817675,0.27227253768610504,False,0,True,0,0,min_task,none,-6.893436815202617e-05,-5.239276580887174e-07,-5.367030093053249e-05,-6.893436815202617e-05,-5.239276580887174e-07,-5.367030093053249e-05,-3.3990980319268794e-05,0.5802751982081461,0.9253824595262169,-3.409645204133188e-05,-6.766336807324823e-06,3.3397049521729564e-05,-3.3990980319268794e-05,0.5802751982081461,0.9253824595262169,-3.409645204133188e-05,-6.766336807324823e-06,3.3397049521729564e-05
17,0.32,0.059438853856564305,0.01000085907252912,0.2499222108307257,0.05905753174719139,0.010002371411802463,0.24971547978402445,0.0004337586471032935,0.1435516273701779,5.567373613681885,0.027466781493250977,0.2723174393769644,False,0,True,0,0,min_task,none,-8.211281676519942e-05,-6.099572744541758e-07,-5.763964156718245e-05,-8.211281676519942e-05,-6.099572744541758e-07,-5.763964156718245e-05,-3.474820094880044e-05,0.580323955080806,0.926407953489071,-3.9958931541381284e-05,-8.146334110463315e-06,3.927153942740804e-05,-3.474820094880044e-05,0.580323955080806,0.926407953489071,-3.9958931541381284e-05,-8.146334110463315e-06,3.927153942740804e-05
18,0.34,0.05987088521006685,0.010000584494754583,0.2501618558146399,0.05944435271187889,0.010002371411802463,0.24993038031996193,0.0004852979185195562,0.14366700672857874,5.561733217707694,0.027494498394457074,0.2723661962496243,False,0,True,0,0,min_task,none,-9.680904928121442e-05,-6.999716742619405e-07,-6.0905039596281725e-05,-9.680904928121442e-05,-6.999716742619405e-07,-6.0905039596281725e-05,-3.466994364129229e-05,0.5803761692336733,0.9275462354111557,-4.632408891855413e-05,-9.654681840288624e-06,4.568569807378498e-05,-3.466994364129229e-05,0.5803761692336733,0.9275462354111557,-4.632408891855413e-05,-9.654681840288624e-06,4.568569807378498e-05
19,0.36000000000000004,0.06034830656295477,0.010000299570658166,0.25042674028532236,0.05987474011719139,0.010002371411802463,0.2501694844340244,0.0005389341741861533,0.14379498216534212,5.555485675213944,0.027525359800233885,0.2724184104024916,False,0,True,0,0,min_task,none,-0.00011310099220471442,-7.928452997050149e-07,-6.338193856609688e-05,-0.00011310099220471442,-7.928452997050149e-07,-6.338193856609688e-05,-3.3718803238809374e-05,0.5804313193286994,0.9288009648961104,-5.318878927309234e-05,-1.1281946101965073e-05,5.2642382235928905e-05,-3.3718803238809374e-05,0.5804313193286994,0.9288009648961104,-5.318878927309234e-05,-1.1281946101965073e-05,5.2642382235928905e-05
20,0.38000000000000006,0.06087277013177789,0.010000010060189008,0.2507177843657148,0.06035045225375389,0.010002371411802463,0.25043376895433694,0.0005945471348724667,0.14393593510889047,5.54861505251123,0.027559497808359694,0.2724735604975177,False,0,True,0,0,min_task,none,-0.00013106778624773623,-8.874082373529262e-07,-6.500986173126778e-05,-0.00013106778624773623,-8.874082373529262e-07,-6.500986173126778e-05,-3.188314165218073e-05,0.5804887538152377,0.9301754422424124,-6.054905383876097e-05,-1.3017027498594553e-05,6.0143166676239905e-05,-3.188314165218073e-05,0.5804887538152377,0.9301754422424124,-6.054905383876097e-05,-1.3017027498594553e-05,6.0143166676239905e-05
21,0.4000000000000001,0.06144584880820204,0.0099997220529949,0.2510358637208706,0.06087316438719139,0.010002371411802463,0.2507241645840244,0.0006520205649218873,0.1440902021366601,5.541107969111693,0.027597040219733936,0.272530994984056,False,0,True,0,0,min_task,none,-0.00015079005540055912,-9.82488229865131e-07,-6.575180451932581e-05,-0.00015079005540055912,-9.82488229865131e-07,-6.575180451932581e-05,-2.9174762175526992e-05,0.5805476846074944,0.93167260303976,-6.840073516860196e-05,-1.4847627208458412e-05,6.818888444094293e-05,-2.9174762175526992e-05,0.5805476846074944,0.93167260303976,-6.840073516860196e-05,-1.4847627208458412e-05,6.818888444094293e-05
22,0.4200000000000001,0.06206903693701444,0.00999944178841295,0.25138181003715854,0.06144446977062889,0.010002371411802463,0.25104155646371196,0.0007112420279083964,0.1442580742118806,5.532953635761904,0.02763811075273399,0.2725899257763127,False,0,True,0,0,min_task,none,-0.0001723501483212985,-1.076951233321074e-06,-6.559260143899426e-05,-0.0001723501483212985,-1.076951233321074e-06,-6.559260143899426e-05,-2.562562658862427e-05,0.5806071812821039,0.9332950133818159,-7.674020264892391e-05,-1.6760696266033414e-05,7.67801999564222e-05,-2.562562658862427e-05,0.5806071812821039,0.9332950133818159,-7.674020264892391e-05,-1.6760696266033414e-05,7.67801999564222e-05
23,0.4400000000000001,0.06274375108710448,0.009999175489368262,0.25175641149573225,0.06206588065719139,0.010002371411802463,0.2513867847340244,0.0007721026334894668,0.1444397960302712,5.524143881578231,0.027682829263471886,0.27264942245092216,False,0,True,0,0,min_task,none,-0.00019583234956711295,-1.1697389949867938e-06,-6.45364699894162e-05,-0.00019583234956711295,-1.1697389949867938e-06,-6.45364699894162e-05,-2.1283877883077365e-05,0.5806661658549118,0.9350448658102682,-8.556501664872752e-05,-1.8742845383330235e-05,8.591819550463497e-05,-2.1283877883077365e-05,0.5806661658549118,0.9350448658102682,-8.556501664872752e-05,-1.8742845383330235e-05,8.591819550463497e-05
24,0.46000000000000013,0.06347133082563511,0.00999892921609489,0.25216041324680194,0.0627388293125039,0.010002371411802463,0.25176064509808693,0.0008344967873981495,0.14463556549293582,5.514673169273528,0.027731311972733794,0.2727084070237301,False,0,True,0,0,min_task,none,-0.0002213230584461797,-1.2599023888692356e-06,-6.260395174808385e-05,-0.0002213230584461797,-1.2599023888692356e-06,-6.260395174808385e-05,-1.6209437546144983e-05,0.5807234081879079,0.936923976078432,-9.48745691419047e-05,-2.0780696790308938e-05,9.560494980519657e-05,-1.6209437546144983e-05,0.5807234081879079,0.936923976078432,-9.48745691419047e-05,-2.0780696790308938e-05,9.560494980519657e-05
