step,mode_id,tip_x,tip_y,tip_z,target_x,target_y,target_z,tip_err,a2d_rank,sigma_min,tension_feasible,residual_x,residual_y,residual_z,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,qm_1,qm_2,qm_3,qm_4,qm_5,qm_6,L_1,Tfeas_1,L_2,Tfeas_2,L_3,Tfeas_3,L_4,Tfeas_4,L_5,Tfeas_5,L_6,Tfeas_6,L_7,Tfeas_7,L_8,Tfeas_8
1,1,0.0570355193772182,-0.00371489804936866,0.285124963237541,-0.333,0.31,0.2851,0.500544447833702,2,0,1,0,8.88178419700125e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405
2,1,0.0420427149875597,0.0113972781131119,0.285124963237541,-0.333,0.31,0.2851,0.47939610366237,3,0.00138799812332099,0,0,-8.88178419700125e-16,-0.0198041851896953,-0.015,0.015,0.00196665256873371,0,0,0,0,0,0,0,0,0,0,0,0,1.20227653232442,5,1.20227653232442,5,1.1808688085099,5.17644413599614,1.1808688085099,5.17644413599614,1.2022618102787,5.00006239305013,1.2022618102787,5.00006239305013,1.22329521282521,5.00000000000003,1.22329521282521,5.00000000000003
3,1,0.0270493289949582,0.0265035733425026,0.285124963237541,-0.333,0.31,0.2851,0.45826383651828,3,0.0027017459613837,0,-8.88178419700125e-16,1.77635683940025e-15,-0.0388961691739251,-0.03,0.03,0.00382997616126057,0,0,0,0,0,0,0,0,0,0,0,0,1.20286048235537,5,1.20286048235537,5,1.15965696160181,5.35272968849625,1.15965696160181,5.35272968849625,1.20280316810669,5.00024801435048,1.20280316810669,5.00024801435048,1.24450975593932,5,1.24450975593932,5
4,1,0.0120553958749563,0.0416040112340812,0.285124963237541,-0.333,0.31,0.2851,0.437149440845143,3,0.0039403987087831,0,3.19744231092045e-14,2.22044604925031e-14,-0.0572447719565997,-0.045,0.045,0.00559042676054092,0,0,0,0,0,0,0,0,0,0,0,0,1.20383151502746,5.00000000000184,1.20383151502746,5.00000000000184,1.13844585023809,5.52869879837976,1.13844585023809,5.52869879837976,1.20370612489124,5.00055514155639,1.20370612489124,5.00055514155639,1.26572500873991,5.00000000000201,1.26572500873991,5.00000000000201
5,1,-0.0029390517935533,0.056698617270379,0.285124963237541,-0.333,0.31,0.2851,0.416055069247858,3,0.00510329913131618,0,2.66453525910038e-15,1.77635683940025e-15,-0.0748198170672384,-0.06,0.06,0.00724848924730058,0,0,0,0,0,0,0,0,0,0,0,0,1.20518741506778,5.00000000003113,1.20518741506778,5.00000000003113,1.11723534511906,5.7041951223472,1.11723534511906,5.7041951223472,1.20497087881078,5.00098274613282,1.20497087881078,5.00098274613282,1.28694083307528,5.00000000000013,1.28694083307528,5.00000000000013
6,1,-0.0179339833179634,0.0717874187649568,0.285124963237541,-0.333,0.31,0.2851,0.394983327938928,3,0.00618998377803736,0,-8.88178419700125e-16,1.77635683940025e-15,-0.0915922432357287,-0.075,0.075,0.00880467672225167,0,0,0,0,0,0,0,0,0,0,0,0,1.20692562400619,5,1.20692562400619,5,1.09602532466554,5.87906459918401,1.09602532466554,5.87906459918401,1.20659730283806,5.00153033750966,1.20659730283806,5.00153033750966,1.30815710095944,5,1.30815710095944,5
7,1,-0.0329293698786913,0.0868704448074846,0.285124963237541,-0.333,0.31,0.2851,0.373937403966188,3,0.00720018627632013,0,0,3.5527136788005e-15,-0.107534207740836,-0.09,0.09,0.0102595298340043,0,0,0,0,0,0,0,0,0,0,0,0,1.20904325067417,5,1.20904325067417,5,1.0748156749736,6.05315617424248,1.0748156749736,6.05315617424248,1.20858494621468,5.00219780898985,1.20858494621468,5.00219780898985,1.32937369428183,5,1.32937369428183,5
8,1,-0.0479251845131492,0.101947726210157,0.285124963237541,-0.333,0.31,0.2851,0.352921237214692,3,0.0081338377015736,0,2.66453525910038e-15,-1.86517468137026e-14,-0.122619180553278,-0.105,0.105,0.0116136161131781,0,0,0,0,0,0,0,0,0,0,0,0,1.21153708310436,5.00000000000328,1.21153708310436,5.00000000000328,1.05360628975924,6.22632247521952,1.05360628975924,6.22632247521952,1.21093303737281,5.00298528439054,1.21093303737281,5.00298528439054,1.35059050452671,5.00000000005797,1.35059050452671,5.00000000005797
9,1,-0.0629214020970692,0.117019295455471,0.285124963237541,-0.333,0.31,0.2851,0.331939756574712,3,0.00899106410202738,0,0,2.66453525910038e-15,-0.13682202856477,-0.12,0.12,0.0128675293131665,0,0,0,0,0,0,0,0,0,0,0,0,1.21440360171253,5.00000000000009,1.21440360171253,5.00000000000009,1.03239707029364,6.39842043277364,1.03239707029364,6.39842043277364,1.21364048826796,5.00389296642151,1.21364048826796,5.00389296642151,1.37180743250092,5.00000000000354,1.37180743250092,5.00000000000354
10,1,-0.077917999323307,0.132085186645384,0.285124963237541,-0.333,0.31,0.2851,0.310999209811529,3,0.00977218134066001,0,-1.77635683940025e-15,-2.66453525910038e-15,-0.15011908937005,-0.135,0.135,0.0140218887579531,0,0,0,0,0,0,0,0,0,0,0,0,1.21763899363261,5.00000000000001,1.21763899363261,5.00000000000001,1.01118792532946,6.56931184178189,1.01118792532946,6.56931184178189,1.21670590007247,5.00492098613793,1.21670590007247,5.00492098613793,1.39302438806852,5.00000000000046,1.39302438806852,5.00000000000046
