step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active
1,0.0,0.057021164387191264,0.010002371411802219,0.24858416458402482,0.057021164387191264,0.010002371411802219,0.24858416458402482,0.0,0.0,0.0,-7.479730696657616e-22,-3.933705483971411e-20,1.0043331443545022e-21,none,False,False
2,0.02,0.05702601958503563,0.010000677398072033,0.24858406449456602,0.05702234645919126,0.010001977387802218,0.24858416458402482,-3.6731258443653547e-06,1.2999897301847058e-06,1.0008945880435327e-07,-7.205898320720415e-07,-6.27251625571153e-08,2.335781318436705e-06,none,False,False
3,0.04,0.05704386202296955,0.009994476285214295,0.24858375126798388,0.057030478691191266,0.009999266643802218,0.24858416458402482,-1.3383331778284158e-05,4.7903585879225524e-06,4.1331604094807517e-07,-3.275535427938515e-06,-2.828729319283341e-07,1.0015788882836783e-05,none,False,False
4,0.06,0.05708173040360961,0.009981370514021863,0.24858320511714707,0.057052123883191266,0.009992051579802218,0.24858416458402482,-2.960652041834183e-05,1.0681065780355353e-05,9.59466877753501e-07,-8.474463613055397e-06,-7.252261020298764e-07,2.4180700126873877e-05,none,False,False
5,0.08,0.057145825352078614,0.009959274214423598,0.24858245408444934,0.05709343011519127,0.009978282835802219,0.24858416458402482,-5.239523688734676e-05,1.9008621378621346e-05,1.7104995754801955e-06,-1.6903321285698025e-05,-1.432897753857825e-06,4.547416307184605e-05,none,False,False
6,0.1,0.057241679990976194,0.009926343767006574,0.24858154762281737,0.057160139387191264,0.009956046411802219,0.24858416458402482,-8.154060378492978e-05,2.9702644795645203e-05,2.616961207457802e-06,-2.897699073684664e-05,-2.4324672107927494e-06,7.428260302328956e-05,none,False,False
7,0.12000000000000001,0.057374274933013183,0.009880931389433717,0.2485805415026815,0.05725759625919127,0.009923560787802219,0.24858416458402482,-0.00011667867382191693,4.2629398368502006e-05,3.6230813433291154e-06,-4.49759431206483e-05,-3.737557273675555e-06,0.00011060582826143287,none,False,False
8,0.14,0.057548116525590935,0.009821554081955161,0.24857948946764535,0.05739075649119126,0.009879174043802218,0.24858416458402482,-0.00015736003439967283,5.7619961847056936e-05,4.675116379471156e-06,-6.507379218680348e-05,-5.351671846756096e-06,0.00015422071673463,none,False,False
9,0.16,0.05776729023794371,0.009746872780403463,0.24857843908312266,0.057564195683191266,0.009821360979802218,0.24858416458402482,-0.00020309455475244625,7.448819939875548e-05,5.725500902165059e-06,-8.935761940381306e-05,-7.270098278644057e-06,0.00020476716870781783,none,False,False
10,0.18,0.058035497545668474,0.009655678191541022,0.24857743004749766,0.057782117915191264,0.009748720235802219,0.24858416458402482,-0.0002533796304772101,9.304204426119692e-05,6.73453652716427e-06,-0.00011784347133632311,-9.481388080310258e-06,0.00026180049700647387,none,False,False
11,0.19999999999999998,0.05835608212294932,0.009546880992544655,0.24857649380274038,0.05804836438719126,0.009659971411802219,0.24858416458402482,-0.00030771773575805766,0.00011309041925756415,7.670781284441208e-06,-0.00015048930676346304,-1.1968762130957717e-05,0.0003246093073565182,none,False,False
12,0.21999999999999997,0.058732049651425984,0.009419505004634926,0.24857565355984773,0.058366422059191264,0.00955395218780222,0.24858416458402482,-0.0003656275922347199,0.00013444718316729318,8.511024177093596e-06,-0.00018720877343505582,-1.4712020328730247e-05,0.0003915116340664279,none,False,False
13,0.23999999999999996,0.05916608200088417,0.009272682752525666,0.24857492516931967,0.05873943229119127,0.00942961544380222,0.24858416458402482,-0.00042664970969290283,0.0001569326912765536,9.239414705153326e-06,-0.00022788148176798334,-1.768925013069123e-05,0.0004601343873879464,none,False,False
14,0.25999999999999995,0.05966054789152124,0.009105651977615065,0.24857431835338706,0.059170199483191264,0.009286026379802218,0.24858416458402482,-0.0004903484083299756,0.00018037440218715388,9.846230637766684e-06,-0.0002723602439173213,-2.0878062218249398e-05,0.0005281067931836377,none,False,False
15,0.27999999999999997,0.06021751186149108,0.00891775231434687,0.24857383783579884,0.059661199715191265,0.009122359635802218,0.24858416458402482,-0.0005563121462998158,0.00020460732145534746,1.0326748225986115e-05,-0.00032047692982835774,-2.4256608982371807e-05,0.0005931838631662438,none,False,False
16,0.3,0.06083874197971397,0.008708422266509598,0.24857348446452196,0.060214589387191264,0.008937896411802218,0.24858416458402482,-0.0006241525925227073,0.0002294741452926203,1.068011950286496e-05,-0.0003720463900031964,-2.7804303264525336e-05,0.0006533519196024001,none,False,False
17,0.32,0.06152571688248161,0.008477196306987247,0.2485732562525516,0.06083221385919126,0.008732021587802218,0.24858416458402482,-0.0006935030232903469,0.0002548252808149704,1.0908331473213906e-05,-0.00042686862139280863,-3.150220635354015e-05,0.0007069126114276331,none,False,False
18,0.34,0.06227963255933211,0.008223702008735213,0.2485731492760117,0.061515616091191265,0.008504220843802219,0.24858416458402482,-0.0007640164681408448,0.00028051883506700556,1.1015308013118119e-05,-0.0004847295097385123,-3.5333079447554684e-05,0.0007525431676121767,none,False,False
