step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active
1,0.0,0.057021164387191264,0.010002371411802219,0.24858416458402482,0.057021164387191264,0.010002371411802219,0.24858416458402482,0.0,0.0,0.0,-7.479730696657616e-22,-3.933705483971411e-20,1.0043331443545022e-21,none,False,False
2,0.02,0.05702442923991636,0.010001344115162345,0.24858416458402455,0.05702234645919126,0.010001977387802218,0.24858416458402482,-2.082780725096156e-06,6.332726398723676e-07,2.7755575615628914e-16,3.2650609825052857e-06,-1.028483866271877e-06,2.082080399808038e-08,none,False,False
3,0.04,0.057036900044249814,0.009997401447932517,0.24858416458402469,0.057030478691191266,0.009999266643802218,0.24858416458402482,-6.421353058547186e-06,1.865195869700867e-06,1.3877787807814457e-16,1.573663105621032e-05,-4.975516399896497e-06,9.737665490506577e-08,none,False,False
4,0.06,0.05706447918442348,0.00998863758662816,0.248584164584025,0.057052123883191266,0.009992051579802218,0.24858416458402482,-1.2355301232211402e-05,3.4139931740576057e-06,-1.6653345369377348e-16,4.3317388348666944e-05,-1.3748596508040407e-05,2.5905002914347185e-07,none,False,False
5,0.08,0.05711294278695834,0.009973163180654221,0.24858416458402469,0.05709343011519127,0.009978282835802219,0.24858416458402482,-1.9512671767071832e-05,5.119655147997962e-06,1.3877787807814457e-16,9.178367946809901e-05,-2.923832943434722e-05,5.278441437586354e-07,none,False,False
6,0.1,0.05718787150213466,0.009949133163862247,0.24858416458402469,0.057160139387191264,0.009956046411802219,0.24858416458402482,-2.7732114943397612e-05,6.91324793997139e-06,1.3877787807814457e-16,0.00016671628851267303,-5.329054415785779e-05,9.17137045073714e-07,none,False,False
7,0.12000000000000001,0.05729459679911944,0.009914768986956432,0.24858416458402482,0.05725759625919127,0.009923560787802219,0.24858416458402482,-3.7000539928173926e-05,8.791800845786568e-06,0.0,0.0002734467258718818,-8.768402492569462e-05,1.4310491737594691e-06,none,False,False
8,0.14,0.057438160295204946,0.009868376038044769,0.24858416458402485,0.05739075649119126,0.009879174043802218,0.24858416458402482,-4.740380401368344e-05,1.0798005757449436e-05,-2.7755575615628914e-17,0.00041701655713004883,-0.00013411308879401624,2.0644099301655474e-06,none,False,False
9,0.16,0.05762328395010012,0.009808356949963818,0.24858416458402463,0.057564195683191266,0.009821360979802218,0.24858416458402482,-5.9088266908854936e-05,1.30040298383996e-05,1.942890293094024e-16,0.0006021476025985051,-0.0001941743081909913,2.803281792115882e-06,none,False,False
10,0.18,0.05785434924284371,0.00973322142312675,0.24858416458402466,0.057782117915191264,0.009748720235802219,0.24858416458402482,-7.223132765244583e-05,1.5498812675469528e-05,1.6653345369377348e-16,0.0008332211243785431,-0.00026935674594080533,3.6259752562398786e-06,none,False,False
11,0.19999999999999998,0.05813538371015093,0.00964159312388176,0.24858416458402463,0.05804836438719126,0.009659971411802219,0.24858416458402482,-8.701932295966663e-05,1.8378287920459493e-05,1.942890293094024e-16,0.0011142643788830718,-0.00036103513773276205,4.504466305825225e-06,none,False,False
12,0.21999999999999997,0.05847005346045117,0.009532214152307308,0.2485841645840246,0.058366422059191264,0.00955395218780222,0.24858416458402482,-0.00010363140125990711,2.1738035494911143e-05,2.220446049250313e-16,0.0014489431480316684,-0.0004704655221410178,5.406111846923244e-06,none,False,False
13,0.23999999999999996,0.058861660487972006,0.0094039475111704,0.24858416458402477,0.05873943229119127,0.00942961544380222,0.24858416458402482,-0.00012222819678073954,2.5667932631819046e-05,5.551115123125783e-17,0.0018405590723266374,-0.0005987828799491015,6.29554866777533e-06,none,False,False
14,0.25999999999999995,0.059313143796973666,0.009255777950084717,0.24858416458402455,0.059170199483191264,0.009286026379802218,0.24858416458402482,-0.00014294431378240186,3.0248429717501246e-05,2.7755575615628914e-16,0.0022920507947430274,-0.0007470004020384448,7.136658467977614e-06,none,False,False
15,0.27999999999999997,0.059827083509094964,0.009086811506154011,0.24858416458402463,0.059661199715191265,0.009122359635802218,0.24858416458402482,-0.00016588379390369834,3.554812964820693e-05,1.942890293094024e-16,0.0028059980872547742,-0.0009160100580819349,7.894485324698648e-06,none,False,False
16,0.3,0.06040570726840054,0.008896274014658348,0.2485841645840246,0.060214589387191264,0.008937896411802218,0.24858416458402482,-0.00019111788120927675,4.162239714386971e-05,2.220446049250313e-16,0.0033846282735525415,-0.0011065841865775976,8.537002067926569e-06,none,False,False
17,0.32,0.06105089838095426,0.008683508820630686,0.24858416458402485,0.06083221385919126,0.008732021587802218,0.24858416458402482,-0.00021868452176299763,4.851276717153172e-05,-2.7755575615628914e-17,0.004029824383895476,-0.0013193778703536486,9.03663746789085e-06,none,False,False
18,0.34,0.061764205230444236,0.008447973884280969,0.24858416458402474,0.061515616091191265,0.008504220843802219,0.24858416458402482,-0.0002485891392529707,5.624695952125003e-05,8.326672684688674e-17,0.0047431345829369006,-0.0015549319006750737,9.371495633920789e-06,none,False,False
19,0.36000000000000004,0.06254685160041021,0.00818923843991075,0.24858416458402469,0.06226604528319127,0.008254077779802218,0.24858416458402482,-0.0002808063172189401,6.483933989146796e-05,1.3877787807814457e-16,0.005525782500608086,-0.0018136761676588982,9.526221135864438e-06,none,False,False
