step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9
1,0.0,0.11706196759227896,0.010002014418055372,0.24860598390943056,0.11702116438719139,0.010002371411802463,0.24858416458402444,-4.080320508757784e-05,3.569937470915274e-07,-2.1819325406124968e-05,4.627215092399283e-05,0.047263502830037496,6.14537275942337e-05,-0.000443219197474016,none,False,False,0.047263502830037496,6.14537275942337e-05,-0.000443219197474016,0.0005217250755178652,0.5561319538987696,0.913031748288301,-3.090521775657674e-05,1.6877369125421338e-05,2.2335960201051552e-05
2,0.02,0.11716524513620917,0.010001705934107062,0.24859744708391768,0.11702116438527413,0.010002498645031263,0.2485846442419967,-0.00014408075093504114,7.927109242009123e-07,-1.2802841920983576e-05,0.00014465062717412738,0.04718200030285805,5.982555429482874e-05,-0.0003841799779767642,none,False,False,0.04718200030285805,5.982555429482874e-05,-0.0003841799779767642,0.0006477281915675104,0.5557485520068165,0.9128694266739946,-0.00010253585435570219,2.6218968150200053e-05,8.085764010264422e-05
3,0.04,0.11729952143585395,0.010002625807792882,0.24859173496015977,0.11702116426595624,0.010003383163124064,0.2485879787966449,-0.00027835716989771386,7.573553311816805e-07,-3.7561635148619654e-06,0.0002783835418714849,0.04705519939919508,5.747623090409883e-05,-0.0003130970344221341,none,False,False,0.04705519939919508,5.747623090409883e-05,-0.0003130970344221341,0.0008149942895988505,0.5552299969627946,0.9126762644389926,-0.00021031727996838697,4.467436005557298e-05,0.00016872241699242478
4,0.06,0.11744626444660561,0.01000591159815197,0.2485938814166175,0.11702116302283493,0.010005765502400864,0.24859696000403492,-0.0004251014237706824,-1.4609575110617612e-07,3.0785874174099614e-06,0.00042511259630398677,0.04688714001216823,5.460177838623748e-05,-0.00024494020146220095,none,False,False,0.04688714001216823,5.460177838623748e-05,-0.00024494020146220095,0.0010003672752268518,0.5546376126414809,0.9124947756262191,-0.00034855598837381005,7.537859017259558e-05,0.00028092043949588667
5,0.08,0.11759379769867967,0.010012557235757091,0.2486078203111951,0.11702115681368161,0.010010368062093664,0.2486143112441258,-0.0005726408849980602,-2.189173663427052e-06,6.490932930702797e-06,0.0005726818557131011,0.0466806448304219,5.1341934914644855e-05,-0.00018997279979227484,none,False,False,0.0466806448304219,5.1341934914644855e-05,-0.00018997279979227484,0.0011878315038374027,0.5540133154235779,0.9123562652470015,-0.0005133419508409266,0.00012139015543495876,0.0004138114108789652
6,0.1,0.11773503388583159,0.010023391328397767,0.2486367894530187,0.11702113584552845,0.010017895251802463,0.24864268807278408,-0.0007138980403031403,-5.496076595303684e-06,5.898619765382085e-06,0.0007139435639612855,0.04643773828681133,4.779562584582247e-05,-0.0001547012123590615,none,False,False,0.04643773828681133,4.779562584582247e-05,-0.0001547012123590615,0.0013668681546129676,0.5533862099135224,0.912284781559302,-0.000701963933138494,0.00018544839174317499,0.0005647128484258368
7,0.12000000000000001,0.11786592427246649,0.010039089737566752,0.24868358468612667,0.11702108019462694,0.010029033638951263,0.24868467876533706,-0.0008448440778395516,-1.0056098615488646e-05,1.0940792103952823e-06,0.0008449046324818237,0.046159928140157916,4.4033445218362716e-05,-0.00014260896969694399,none,False,False,0.046159928140157916,4.4033445218362716e-05,-0.00014260896969694399,0.001531175285107692,0.5527769965527926,0.9122996678033841,-0.0009124837663236578,0.00026991128294354474,0.0007315901669232112
8,0.14,0.11798439927732393,0.010060204296501566,0.2487507186122045,0.11702095466406248,0.010044452096244064,0.24874280484210762,-0.0009634446132614494,-1.5752200257502375e-05,-7.91377009687344e-06,0.0009636058750301403,0.045848394646754616,4.010736840877863e-05,-0.0001547548436845989,none,False,False,0.045848394646754616,4.010736840877863e-05,-0.0001547548436845989,0.001677648644927465,0.552200915839063,0.9124172090648037,-0.0011434374224858369,0.0003767858259502229,0.000912831529707157
9,0.16,0.11808964631762281,0.010087196780467971,0.24884051869076756,0.11702070277785931,0.010064801949120863,0.24881952156132947,-0.0010689435397635005,-2.2394831347107708e-05,-2.0997129438093953e-05,0.001069384261674833,0.04550411733086377,3.6058142209251915e-05,-0.0001902843747522251,none,False,False,0.04550411733086377,3.6058142209251915e-05,-0.0001902843747522251,0.0018055495542827944,0.5516697104167931,0.9126516909729684,-0.0013936297650680761,0.0005077987575135098,0.0011070873876843823
10,0.18,0.11818161916416309,0.010120471944856194,0.24895518692055074,0.11702024000659458,0.010090717123213662,0.24891721835916833,-0.001161379157568504,-2.975482164253168e-05,-3.7968561382412114e-05,0.001162380535237474,0.04512795952677607,3.1920783454260844e-05,-0.00024688318906141186,none,False,False,0.04512795952677607,3.1920783454260844e-05,-0.00024688318906141186,0.0019158116893938848,0.5511929270096751,0.9130160749456924,-0.0016619964509609801,0.0006644780738067119,0.0013131577294178275
11,0.19999999999999998,0.11826070603438045,0.01016040640720295,0.2490968352962083,0.11701944631589495,0.010122814291802463,0.24903821921047803,-0.0012412597184855018,-3.7592115400487264e-05,-5.861608573026755e-05,0.001243211446770552,0.0447207243202696,2.7728553889318823e-05,-0.0003211865370793049,none,False,False,0.0447207243202696,2.7728553889318823e-05,-0.0003211865370793049,0.002010456722961329,0.5507787746079456,0.9135224232795863,-0.0019475133274590851,0.0008482295413460309,0.0015299140302574275
12,0.21999999999999997,0.11832750630633371,0.01020737195392763,0.24926750609045797,0.11701815812575647,0.010161693023271263,0.2491847828776037,-0.0013093481805772356,-4.567893065636659e-05,-8.272321285426876e-05,0.0013127537288584478,0.04428319112452178,2.3515711077845177e-05,-0.00040915062499361464,none,False,False,0.04428319112452178,2.3515711077845177e-05,-0.00040915062499361464,0.0020921009767979055,0.5504346847663646,0.9141821612440854,-0.0022491393424166443,0.0010604005920873021,0.001756246435383357
13,0.23999999999999996,0.11838268133791742,0.010261752916425759,0.2494691827007888,0.1170161597654625,0.010207935928564064,0.24935910300817707,-0.0013665215724549262,-5.3816987861695156e-05,-0.0001100796926117309,0.001372004014167846,0.04381613915957045,1.9319277434473597e-05,-0.0005063860583408379,none,False,False,0.04381613915957045,1.9319277434473597e-05,-0.0005063860583408379,0.0021635429961172786,0.5501676724284512,0.9150062332486602,-0.002565783226901152,0.0013023287545950223,0.001991029487613124
14,0.25999999999999995,0.11842685563484173,0.010323957863182569,0.24970379466851156,0.11701317450603387,0.010262108808640863,0.24956330803658985,-0.0014136811288078671,-6.184905454170546e-05,-0.00014048663192170463,0.0014219902015287914,0.043320362094121906,1.5180025099625503e-05,-0.0006084510326185666,none,False,False,0.043320362094121906,1.5180025099625503e-05,-0.0006084510326185666,0.002227426424073924,0.5499845636720562,0.9160051904170831,-0.0028962871824168247,0.001575374449753756,0.0022331017169478725
15,0.27999999999999997,0.11846055203644584,0.010394426175496947,0.24997321910850423,0.11700885524969667,0.010324760801933662,0.24979946083782464,-0.0014516967867491681,-6.966537356328448e-05,-0.00017375827067958594,0.0014637174459441044,0.04279667674289392,1.1142841847057018e-05,-0.0007111010219555613,none,False,False,0.04279667674289392,1.1142841847057018e-05,-0.0007111010219555613,0.0022859746804547035,0.549892135110433,0.9171892339159906,-0.0032394227905517,0.00188093941439155,0.002481255772903805
16,0.3,0.11848414971503035,0.01047363022827966,0.25027927991084414,0.11700277495386376,0.010396424531802463,0.25006955807669146,-0.0014813747611665956,-7.720569647719742e-05,-0.00020972183415268741,0.0014981372267954243,0.042245927783698414,7.25661959999145e-06,-0.0008104920540073739,none,False,False,0.042245927783698414,7.25661959999145e-06,-0.0008104920540073739,0.002340794476234638,0.5498971950107683,0.9185682298257154,-0.0035938956406222013,0.002220472724621975,0.002734236659262916
17,0.32,0.11849785732378192,0.01056207395376541,0.25062374551698163,0.11699441686566789,0.010477616253991262,0.2503755291903823,-0.0015034404581140276,-8.445769977414794e-05,-0.00024821632659932646,0.0015261315994814211,0.041668989826179496,3.5737894304375713e-06,-0.000903335772194502,none,False,False,0.041668989826179496,3.5737894304375713e-06,-0.000903335772194502,0.0023927447111227154,0.550006626252955,0.9201517057048918,-0.0039583559742755285,0.0025954666812272394,0.0029907461685579856
18,0.34,0.11850169607091318,0.010660288566311635,0.2510083257197121,0.11698316464222616,0.010568836004084063,0.2507192349377154,-0.00151853142868702,-9.145256222757234e-05,-0.0002890907819966815,0.0015485072654927011,0.04106676773354523,1.4961264480221594e-07,-0.0009870060302260685,none,False,False,0.04106676773354523,1.4961264480221594e-07,-0.0009870060302260685,0.002441866257889509,0.5502274045203157,0.9219488352931604,-0.004331413155363575,0.003007444873680191,0.003249451929690617
19,0.36000000000000004,0.1184954891821002,0.010768826194595635,0.25143466771496836,0.11696829243162435,0.010670567744960863,0.2511024654445966,-0.0015271967504758566,-9.82584496347725e-05,-0.0003322022703717842,0.001565995844831273,0.04044019580535026,-2.9586750959673134e-06,-0.0010595984733654832,none,False,False,0.04044019580535026,-2.9586750959673134e-06,-0.0010595984733654832,0.0024873668778234146,0.550566600561865,0.9239684153673297,-0.004711652118820687,0.0034579446615767505,0.003508999668065584
