step,time_s,success,routeB_residual,tip_x,tip_y,tip_z,target_x,target_y,target_z,err_x,err_y,err_z,tension_margin_low,tension_margin_high,torque_margin_low,torque_margin_high,active_lower_count,active_upper_count,jacobian_backend,jacobian_fallback,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,uwo_1,ua_1,uwo_2,ua_2,uwo_3,ua_3,uwo_4,ua_4,uwo_5,ua_5,uwo_6,ua_6,uwo_7,ua_7,uwo_8,ua_8,uwo_9,ua_9,uwo_10,ua_10,uwo_11,ua_11,uwo_12,ua_12,uwo_13,ua_13,uwo_14,ua_14
1,0,1,9.71590860679454e-15,0.342195061157077,0.235856391502743,1.42445906603865,0.522195061157077,0.135856391502743,1.42445906603865,-0.18,0.1,0,5.13642461896779e-11,478.707538234663,39.9511953460537,32.8154377582272,2,0,fd,1,12.4512807530344,12.4512807530344,5.00000000005136,5.00000000005136,5.12319886923173,5.12319886923173,21.2924617653369,21.2924617653369,0.808610846922889,7.1845622417728,0.0759158961415143,-0.0171845131658346,-0.0488046539462786,0.000216997209593314,12.4512807530344,12.4512807530344,12.4512807530344,12.4512807530344,5.00000000005136,5.00000000005136,5.00000000005136,5.00000000005136,5.12319886923173,5.12319886923173,5.12319886923173,5.12319886923173,21.2924617653369,21.2924617653369,21.2924617653369,21.2924617653369,0.808610846922889,0.808610846922889,0.336661107586373,7.1845622417728,-0.561155763261937,0.0759158961415143,-0.0343977186899664,-0.0171845131658346,0.0470106391296383,-0.0488046539462786,0.000324909821713959,0.000216997209593314
2,0.02,1,8.43814375470089e-15,0.349394257347957,0.231853155394985,1.42445685963881,0.522195061157077,0.135856391502743,1.42445906603865,-0.172800803809121,0.0959967638922425,-2.20639983905535e-06,1.46105350040671e-12,485.938338497186,39.9299761313705,32.9696992973747,4,0,fd,1,9.70463257606971,9.70463257606971,5.00000000000146,5.00000000000146,5.00000000045714,5.00000000045714,14.0616615028135,14.0616615028135,0.449910436640842,7.0303007026253,0.319505930080442,-0.00250072798493698,-0.0700238686294585,7.99456571720002e-05,9.70463257606971,9.70463257606971,9.70463257606971,9.70463257606971,5.00000000000146,5.00000000000146,5.00000000000146,5.00000000000146,5.00000000045714,5.00000000045714,5.00000000045714,5.00000000045714,14.0616615028135,14.0616615028135,14.0616615028135,14.0616615028135,0.448753375945387,0.449910436640842,0.176048505951634,7.0303007026253,-0.312317925290237,0.319505930080442,-0.0191657885946768,-0.00250072798493698,0.0261941690593943,-0.0700238686294585,0.000179951894565988,7.99456571720002e-05
3,0.04,1,7.91723843307937e-15,0.360625091714803,0.225607450596173,1.42445371036718,0.522195061157077,0.135856391502743,1.42445906603865,-0.161569969442274,0.0897510590934301,-5.35567146808802e-06,5.48894263374677e-13,490.605370170903,39.9157687926138,33.0683430158089,4,0,fd,1,8.02546829331612,8.02546829331612,5.00000000003377,5.00000000003377,5.00000000000055,5.00000000000055,9.39462982909714,9.39462982909714,0.216043604514463,6.9316569841911,0.47372865142918,0.00656253404735968,-0.0842312073862377,-3.76668296086065e-06,8.02546829331612,8.02546829331612,8.02546829331612,8.02546829331612,5.00000000003377,5.00000000003377,5.00000000003377,5.00000000003377,5.00000000000055,5.00000000000055,5.00000000000055,5.00000000000055,9.39462982909714,9.39462982909714,9.39462982909714,9.39462982909714,0.213222320633172,0.216043604514463,0.0676088909606705,6.9316569841911,-0.149896192710244,0.47372865142918,-0.00923204023574442,0.00656253404735968,0.0125995021414695,-0.0842312073862377,8.44805630535461e-05,-3.76668296086065e-06
4,0.06,1,6.5110907102191e-15,0.373826021290383,0.218269614285168,1.42445193233559,0.522195061157077,0.135856391502743,1.42445906603865,-0.148369039866695,0.0824132227824252,-7.13370306493211e-06,1.97560190429158e-10,493.048207167916,39.9065178244968,33.1227597813959,4,0,fd,1,6.95179283208448,6.95179283208448,5.0000000002493,5.0000000002493,5.00000000019756,5.00000000019756,6.45729966418376,6.45729966418376,0.0659382116157575,6.87724021860415,0.566922819188896,0.0116933976328517,-0.093482175503185,-5.31911178059659e-05,6.95179283208448,6.95179283208448,6.95179283208448,6.95179283208448,5.0000000002493,5.0000000002493,5.0000000002493,5.0000000002493,5.00000000019756,5.00000000019756,5.00000000019756,5.00000000019756,6.45729966418376,6.45729966418376,6.45729966418376,6.45729966418376,0.0620359745228711,0.0659382116157575,0.00228738630352154,6.87724021860415,-0.0468507622833201,0.566922819188896,-0.00297849636291403,0.0116933976328517,0.0039949822264802,-0.093482175503185,2.42763883946395e-05,-5.31911178059659e-05
5,0.08,1,6.48004563878697e-15,0.387681323227909,0.210573477447871,1.42445258317779,0.522195061157077,0.135856391502743,1.42445906603865,-0.134513737929168,0.0747170859451282,-6.4828608612455e-06,1.4210854715202e-14,493.629356790175,39.9004635911871,33.1489536437415,4,0,fd,1,6.37064320982537,6.37064320982537,5.31015583343535,5.31015583343535,5.00000000000052,5.00000000000052,5.00000000000001,5.00000000000001,-0.0348802378318823,6.85104635625849,0.622372260464235,0.014312365682826,-0.0995364088128894,-8.18406022917791e-05,6.37064320982537,6.37064320982537,6.37064320982537,6.37064320982537,5.31015583343535,5.31015583343535,5.31015583343535,5.31015583343535,5.00000000000052,5.00000000000052,5.00000000000052,5.00000000000052,5.00000000000001,5.00000000000001,5.00000000000001,5.00000000000001,-0.0391763621034116,-0.0348802378318823,-0.0348609261439918,6.85104635625849,0.0190995087342358,0.622372260464235,0.000899666657240061,0.014312365682826,-0.00144266393363779,-0.0995364088128894,-1.31437827377567e-05,-8.18406022917791e-05
6,0.1,1,8.85055232173867e-15,0.40137550768053,0.202972588020287,1.42445559833552,0.522195061157077,0.135856391502743,1.42445906603865,-0.120819553476547,0.067116196517544,-3.46770312753542e-06,3.23643334354529e-10,493.668818308699,39.8968595588419,33.1551282480969,4,0,fd,1,6.24163448899721,6.24163448899721,6.33118169130081,6.33118169130081,5.00000000032364,5.00000000032364,5.00000000057317,5.00000000057317,-0.0933095631947331,6.8448717519031,0.648974805812042,0.015151681025894,-0.103140441158127,-9.54631643096915e-05,6.24163448899721,6.24163448899721,6.24163448899721,6.24163448899721,6.33118169130081,6.33118169130081,6.33118169130081,6.33118169130081,5.00000000032364,5.00000000032364,5.00000000032364,5.00000000032364,5.00000000057317,5.00000000057317,5.00000000057317,5.00000000057317,-0.0974634215249637,-0.0933095631947331,-0.0515150194176286,6.8448717519031,0.0561541179506548,0.648974805812042,0.00303591800343384,0.015151681025894,-0.00448206611016388,-0.103140441158127,-3.36286947941744e-05,-9.54631643096915e-05
7,0.12,1,1.30527787739464e-14,0.41442550959428,0.195734001005359,1.42446022932994,0.522195061157077,0.135856391502743,1.42445906603865,-0.107769551562798,0.059877609502616,1.16329128574399e-06,3.47258222177516e-10,493.162811434922,39.8745960476731,33.1507638447614,4,0,fd,1,6.17235905237578,6.17235905237578,6.83718856507782,6.83718856507782,5.00000000037252,5.00000000037252,5.00000000034726,5.00000000034726,-0.125403952326933,6.84923615523855,0.658607329995028,0.0149942529445955,-0.105254147175376,-0.000100418805576511,6.17235905237578,6.17235905237578,6.17235905237578,6.17235905237578,6.83718856507782,6.83718856507782,6.83718856507782,6.83718856507782,5.00000000037252,5.00000000037252,5.00000000037252,5.00000000037252,5.00000000034726,5.00000000034726,5.00000000034726,5.00000000034726,-0.129116379110521,-0.125403952326933,-0.0569420054062562,6.84923615523855,0.0757534223000391,0.658607329995028,0.00413984147685653,0.0149942529445955,-0.00608385836029868,-0.105254147175376,-4.408562710978e-05,-0.000100418805576511
8,0.14,1,5.84080195345967e-15,0.426567271250182,0.189002743405589,1.42446557710721,0.522195061157077,0.135856391502743,1.42445906603865,-0.0956277899068954,0.0531463519028459,6.51106856053296e-06,3.46103590231905e-10,492.986204819137,39.8597565055881,33.1411660252786,4,0,fd,1,6.14328266065939,6.14328266065939,7.0137951808633,7.0137951808633,5.00000000050793,5.00000000050793,5.0000000003461,5.0000000003461,-0.140243494411894,6.85883397472142,0.6578696958499,0.0142730100393106,-0.106409899341175,-0.000100087250650328,6.14328266065939,6.14328266065939,6.14328266065939,6.14328266065939,7.0137951808633,7.0137951808633,7.0137951808633,7.0137951808633,5.00000000050793,5.00000000050793,5.00000000050793,5.00000000050793,5.0000000003461,5.0000000003461,5.0000000003461,5.0000000003461,-0.143386660884076,-0.140243494411894,-0.0563498932973161,6.85883397472142,0.0842567218155423,0.6578696958499,0.0046008600635119,0.0142730100393106,-0.00677742842324847,-0.106409899341175,-4.83236199926296e-05,-0.000100087250650328
9,0.16,1,6.91454785251622e-15,0.43767865013247,0.182845116462856,1.42447089583678,0.522195061157077,0.135856391502743,1.42445906603865,-0.0845164110246075,0.0469887249601133,1.18297981301918e-05,6.08755712505626e-10,493.014445718608,39.8560027711506,33.1293452014073,4,0,fd,1,6.1404986783235,6.1404986783235,6.98555428139204,6.98555428139204,5.00000000074084,5.00000000074084,5.00000000060876,5.00000000060876,-0.143997228849387,6.87065479859271,0.651065066299736,0.0132617097911888,-0.106957293102419,-9.66038225103203e-05,6.1404986783235,6.1404986783235,6.1404986783235,6.1404986783235,6.98555428139204,6.98555428139204,6.98555428139204,6.98555428139204,5.00000000074084,5.00000000074084,5.00000000074084,5.00000000074084,5.00000000060876,5.00000000060876,5.00000000060876,5.00000000060876,-0.146553661029508,-0.143997228849387,-0.0527175967605729,6.87065479859271,0.0858557267497488,0.651065066299736,0.00467025463908755,0.0132617097911888,-0.00690844327005635,-0.106957293102419,-4.87734279346341e-05,-9.66038225103203e-05
10,0.18,1,6.74148401860409e-15,0.447727546399972,0.177277692701402,1.42447564271291,0.522195061157077,0.135856391502743,1.42445906603865,-0.0744675147571055,0.0414213011986589,1.65766742592499e-05,1.08692788103326e-09,493.164572317587,39.8591534958588,33.1170472926341,4,0,fd,1,6.15442921069573,6.15442921069573,6.83542768241329,6.83542768241329,5.00000000108693,5.00000000108693,5.00000000118443,5.00000000118443,-0.140846504141186,6.88295270736586,0.64098312388037,0.0121311394592006,-0.107126468037965,-9.13601047145411e-05,6.15442921069573,6.15442921069573,6.15442921069573,6.15442921069573,6.83542768241329,6.83542768241329,6.83542768241329,6.83542768241329,5.00000000108693,5.00000000108693,5.00000000108693,5.00000000108693,5.00000000118443,5.00000000118443,5.00000000118443,5.00000000118443,-0.142860269345903,-0.140846504141186,-0.0477981693511822,6.88295270736586,0.0833114247762694,0.64098312388037,0.00451050729341773,0.0121311394592006,-0.00670322681664004,-0.107126468037965,-4.70087949224762e-05,-9.13601047145411e-05
