step,time_s,success,routeB_residual,tip_x,tip_y,tip_z,target_x,target_y,target_z,err_x,err_y,err_z,tension_margin_low,tension_margin_high,torque_margin_low,torque_margin_high,active_lower_count,active_upper_count,cable_active_lower_count,cable_active_upper_count,jacobian_backend,jacobian_fallback,T_1,Tlow_1,Tup_1,T_2,Tlow_2,Tup_2,T_3,Tlow_3,Tup_3,T_4,Tlow_4,Tup_4,T_5,Tlow_5,Tup_5,T_6,Tlow_6,Tup_6,T_7,Tlow_7,Tup_7,T_8,Tlow_8,Tup_8,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,uwo_1,ua_1,uwo_2,ua_2,uwo_3,ua_3,uwo_4,ua_4,uwo_5,ua_5,uwo_6,ua_6,uwo_7,ua_7,uwo_8,ua_8,uwo_9,ua_9,uwo_10,ua_10,uwo_11,ua_11,uwo_12,ua_12,uwo_13,ua_13,uwo_14,ua_14
1,0,1,7.01998008215546e-14,0.156636642600868,0.107690361047947,0.285124963237541,0.336636642600868,0.00769036104794683,0.285124963237541,-0.18,0.1,0,2.66453525910038e-15,482.518801559547,35.2018272369929,38.3333533334399,6,0,6,0,pinocchio,0,5.00000000009617,1,0,5.00000000009617,1,0,5.00000000000006,1,0,5.00000000000006,1,0,5,1,0,5,1,0,17.4811984404529,0,0,17.4811984404529,0,0,0.213926665548655,-4.79817276300714,1.66664666656011,-0.0785752513094946,-0.00429175071926417,-0.00449028391417272,5.00000000009617,5.00000000009617,5.00000000009617,5.00000000009617,5.00000000000006,5.00000000000006,5.00000000000006,5.00000000000006,5,5,5,5,17.4811984404529,17.4811984404529,17.4811984404529,17.4811984404529,0.213926665548655,0.213926665548655,-5.73086443959372,-4.79817276300714,2.25297844997052,1.66664666656011,-0.0785752513094948,-0.0785752513094946,-0.0638907969394822,-0.00429175071926417,-0.00449028391417272,-0.00449028391417272
2,0.02,1,3.12693139354225e-12,0.163833576481725,0.103688537456902,0.285577546826414,0.336636642600868,0.00769036104794683,0.285124963237541,-0.172803066119143,0.0959981764089547,0.0004525835888739,2.76036971058602e-11,485.36455207571,37.8139986404251,39.3579625928346,2,0,2,0,pinocchio,0,6.10722596051709,0,0,6.10722596051709,0,0,7.43510558053299,0,0,7.43510558053299,0,0,5.0000000000276,1,0,5.0000000000276,1,0,14.63544792429,0,0,14.63544792429,0,0,0.114070736981457,-2.18600135957487,0.64203740716544,-0.0442718358257586,0.0310680975247705,-0.00255347547111969,6.10722596051709,6.10722596051709,6.10722596051709,6.10722596051709,7.43510558053299,7.43510558053299,7.43510558053299,7.43510558053299,5.0000000000276,5.0000000000276,5.0000000000276,5.0000000000276,14.63544792429,14.63544792429,14.63544792429,14.63544792429,0.114273826152157,0.114070736981457,-3.16973626348128,-2.18600135957487,1.24427049163437,0.64203740716544,-0.0451006969219847,-0.0442718358257586,-0.0279480634650611,0.0310680975247705,-0.00259055044687528,-0.00255347547111969
3,0.04,1,8.85354220665656e-15,0.175062657847941,0.0974425310244267,0.286333973726284,0.336636642600868,0.00769036104794683,0.285124963237541,-0.161573984752927,0.0897521699764799,0.00120901048874333,9.41868805170998e-11,487.315316034884,39.4709528656769,39.9486250379772,2,0,2,0,pinocchio,0,6.72851264388361,0,0,6.72851264388361,0,0,9.09695143673197,0,0,9.09695143673197,0,0,5.00000000009419,1,0,5.00000000009419,1,0,12.6846839651157,0,0,12.6846839651157,0,0,0.0513749620228481,-0.52904713432308,-0.00145135088227677,-0.0225727973360659,0.0483913619803497,-0.00133468206309391,6.72851264388361,6.72851264388361,6.72851264388361,6.72851264388361,9.09695143673197,9.09695143673197,9.09695143673197,9.09695143673197,5.00000000009419,5.00000000009419,5.00000000009419,5.00000000009419,12.6846839651157,12.6846839651157,12.6846839651157,12.6846839651157,0.0520833100831837,0.0513749620228481,-1.59185348528942,-0.52904713432308,0.625367327658111,-0.00145135088227677,-0.0245442799634077,-0.0225727973360659,-0.0098077042425686,0.0483913619803497,-0.00142566140005584,-0.00133468206309391
4,0.06,1,3.87194024525251e-15,0.188263515449473,0.0901028263908852,0.287312641270051,0.336636642600868,0.00769036104794683,0.285124963237541,-0.148373127151395,0.0824124653429384,0.0021876780325103,9.53633172429136e-09,488.60769753342,39.5951455564192,39.4801612509964,2,0,2,0,pinocchio,0,7.05017458570586,0,0,7.05017458570586,0,0,10.1771743037592,0,0,10.1771743037592,0,0,5.00000000953633,1,0,5.00000000953633,1,0,11.3923024665796,0,0,11.3923024665796,0,0,0.0126139840503246,0.519838749003592,-0.404854443580766,-0.00888846543659218,0.0565629402411309,-0.000570680104862982,7.05017458570586,7.05017458570586,7.05017458570586,7.05017458570586,10.1771743037592,10.1771743037592,10.1771743037592,10.1771743037592,5.00000000953633,5.00000000953633,5.00000000953633,5.00000000953633,11.3923024665796,11.3923024665796,11.3923024665796,11.3923024665796,0.0140198202986284,0.0126139840503246,-0.635086119101402,0.519838749003592,0.251263010253993,-0.404854443580766,-0.0120549358476154,-0.00888846543659218,-0.000876951437263074,0.0565629402411309,-0.000716683233491722,-0.000570680104862982
5,0.08,1,6.896192665416e-15,0.202120877753762,0.0824040652012304,0.288454972535531,0.336636642600868,0.00769036104794683,0.285124963237541,-0.134515764847106,0.0747137041532835,0.00333000929799088,2.90354407184168e-10,489.161797218339,39.3433170892897,38.8180195216145,2,0,2,0,pinocchio,0,7.19552244501741,0,0,7.19552244501741,0,0,10.8382027816607,0,0,10.8382027816607,0,0,5.00000000029035,1,0,5.00000000029035,1,0,10.5653617142894,0,0,10.5653617142894,0,0,-0.0109035786780322,1.18198047838553,-0.656682910710318,-0.000305699822151521,0.0601158201781547,-9.50077596855648e-05,7.19552244501741,7.19552244501741,7.19552244501741,7.19552244501741,10.8382027816607,10.8382027816607,10.8382027816607,10.8382027816607,5.00000000029035,5.00000000029035,5.00000000029035,5.00000000029035,10.5653617142894,10.5653617142894,10.5653617142894,10.5653617142894,-0.00869455508001948,-0.0109035786780322,-0.069778448760033,1.18198047838553,0.0307822301852241,-0.656682910710318,-0.0046525676964535,-0.000305699822151521,0.00332780632130181,0.0601158201781547,-0.000293630160861369,-9.50077596855648e-05
6,0.1,1,7.3428806282176e-15,0.215818816931203,0.0748009157432249,0.289714075622518,0.336636642600868,0.00769036104794683,0.285124963237541,-0.120817825669665,0.067110554695278,0.00458911238497728,2.14816386900907e-08,488.794206368637,39.1870986150119,38.4012105367257,2,0,2,0,pinocchio,0,7.24192113932403,0,0,7.24192113932403,0,0,11.2057936313627,0,0,11.2057936313627,0,0,5.00000002148164,1,0,5.00000002148164,1,0,10.059222657675,0,0,10.059222657675,0,0,-0.0247844993908368,1.59878946327431,-0.812901384988109,0.0050423572238486,0.0613537875774712,0.000198438489186238,7.24192113932403,7.24192113932403,7.24192113932403,7.24192113932403,11.2057936313627,11.2057936313627,11.2057936313627,11.2057936313627,5.00000002148164,5.00000002148164,5.00000002148164,5.00000002148164,10.059222657675,10.059222657675,10.059222657675,10.059222657675,-0.0217363744835524,-0.0247844993908368,0.250146449162429,1.59878946327431,-0.093718277256265,-0.812901384988109,-0.000452967920864467,0.0050423572238486,0.00512820666806135,0.0613537875774712,-4.99496022712265e-05,0.000198438489186238
7,0.12,1,9.15992056887174e-15,0.228873682812779,0.0675616648166453,0.291052271259589,0.336636642600868,0.00769036104794683,0.285124963237541,-0.107762959788089,0.0598713037686985,0.00592730802204799,1.78933312611207e-10,488.626578868687,39.0909141788065,38.1391958346091,2,0,2,0,pinocchio,0,7.23614033681201,0,0,7.23614033681201,0,0,11.3734211313135,0,0,11.3734211313135,0,0,5.00000000017893,1,0,5.00000000017893,1,0,9.7694618695695,0,0,9.7694618695695,0,0,-0.0326185887522009,1.86080416539093,-0.909085821193501,0.00835451622558828,0.0614473306028871,0.00037755599751023,7.23614033681201,7.23614033681201,7.23614033681201,7.23614033681201,11.3734211313135,11.3734211313135,11.3734211313135,11.3734211313135,5.00000000017893,5.00000000017893,5.00000000017893,5.00000000017893,9.7694618695695,9.7694618695695,9.7694618695695,9.7694618695695,-0.028745367166934,-0.0326185887522009,0.417769452984899,1.86080416539093,-0.158806301953724,-0.909085821193501,0.00175110649549737,0.00835451622558828,0.00572267063542142,0.0614473306028871,8.20875884386396e-05,0.00037755599751023
8,0.14,1,8.2193216202334e-15,0.241020663442531,0.0608320986906867,0.292440274922953,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0956159791583372,0.0531417376427398,0.00731531168541233,1.91651761127787e-09,488.591245125848,39.032105359962,37.9740192406146,2,0,2,0,pinocchio,0,7.20536374772933,0,0,7.20536374772933,0,0,11.4087548741522,0,0,11.4087548741522,0,0,5.00000000191652,1,0,5.00000000191652,1,0,9.62248239609697,0,0,9.62248239609697,0,0,-0.0366931958297239,2.02598075938536,-0.96789464003796,0.0103991823017931,0.0609904557542494,0.0004857887440423,7.20536374772933,7.20536374772933,7.20536374772933,7.20536374772933,11.4087548741522,11.4087548741522,11.4087548741522,11.4087548741522,5.00000000191652,5.00000000191652,5.00000000191652,5.00000000191652,9.62248239609697,9.62248239609697,9.62248239609697,9.62248239609697,-0.0320394909400008,-0.0366931958297239,0.492331393926314,2.02598075938536,-0.187677268243533,-0.96789464003796,0.00273544270542203,0.0103991823017931,0.00572768892342879,0.0609904557542494,0.000145707598960598,0.0004857887440423
9,0.16,1,9.05178807486777e-15,0.252136969268634,0.054678796544357,0.293856279688492,0.336636642600868,0.00769036104794683,0.285124963237541,-0.084499673332234,0.0469884354964102,0.00873131645095193,5.63025448485632e-09,488.640157006784,38.9962532097356,37.8686604624714,2,0,2,0,pinocchio,0,7.16463411148597,0,0,7.16463411148597,0,0,11.3598429932161,0,0,11.3598429932161,0,0,5.00000000563025,1,0,5.00000000563025,1,0,9.56731350101844,0,0,9.56731350101844,0,0,-0.0384590254078412,2.13133953752855,-1.00374679026437,0.0116668137429841,0.0602837658311569,0.000550855549913737,7.16463411148597,7.16463411148597,7.16463411148597,7.16463411148597,11.3598429932161,11.3598429932161,11.3598429932161,11.3598429932161,5.00000000563025,5.00000000563025,5.00000000563025,5.00000000563025,9.56731350101844,9.56731350101844,9.56731350101844,9.56731350101844,-0.0330846495472699,-0.0384590254078412,0.51139018842148,2.13133953752855,-0.194998240602366,-1.00374679026437,0.00299691586116069,0.0116668137429841,0.00545888551864238,0.0602837658311569,0.000168447016811513,0.000550855549913737
10,0.18,1,6.1074909793891e-15,0.262190036136191,0.0491182730676731,0.295284777311439,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0744466064646774,0.0414279120197263,0.0101598140738987,7.61901475243576e-09,488.739757719702,38.9742144425786,37.7995716170013,2,0,2,0,pinocchio,0,7.12170761200585,0,0,7.12170761200585,0,0,11.2602422802983,0,0,11.2602422802983,0,0,5.00000000761901,1,0,5.00000000761901,1,0,9.56917328075778,0,0,9.56917328075778,0,0,-0.0388307075176801,2.20042838299872,-1.02578555742143,0.0124683983088672,0.0594783719158921,0.000590347858235034,7.12170761200585,7.12170761200585,7.12170761200585,7.12170761200585,11.2602422802983,11.2602422802983,11.2602422802983,11.2602422802983,5.00000000761901,5.00000000761901,5.00000000761901,5.00000000761901,9.56917328075778,9.56917328075778,9.56917328075778,9.56917328075778,-0.032800033609611,-0.0388307075176801,0.498594365963037,2.20042838299872,-0.189984640304715,-1.02578555742143,0.00285121282999512,0.0124683983088672,0.00507653207034053,0.0594783719158921,0.000167739533168287,0.000590347858235034
