step,time_s,success,routeB_residual,tip_x,tip_y,tip_z,target_x,target_y,target_z,err_x,err_y,err_z,tension_margin_low,tension_margin_low_physical,tension_margin_high,torque_margin_low,torque_margin_high,active_lower_count,active_upper_count,cable_active_lower_count,cable_active_upper_count,jacobian_backend,jacobian_fallback,du_norm,dqdd_norm,allow_mujoco_smoke_test,allow_formal_mujoco_validation,backend_dynamics,backend_sim,T_1,Tsafe_1,Tref_1,Tsafe_margin_1,Tlow_1,Tup_1,T_2,Tsafe_2,Tref_2,Tsafe_margin_2,Tlow_2,Tup_2,T_3,Tsafe_3,Tref_3,Tsafe_margin_3,Tlow_3,Tup_3,T_4,Tsafe_4,Tref_4,Tsafe_margin_4,Tlow_4,Tup_4,T_5,Tsafe_5,Tref_5,Tsafe_margin_5,Tlow_5,Tup_5,T_6,Tsafe_6,Tref_6,Tsafe_margin_6,Tlow_6,Tup_6,T_7,Tsafe_7,Tref_7,Tsafe_margin_7,Tlow_7,Tup_7,T_8,Tsafe_8,Tref_8,Tsafe_margin_8,Tlow_8,Tup_8,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,uwo_1,ua_1,uwo_2,ua_2,uwo_3,ua_3,uwo_4,ua_4,uwo_5,ua_5,uwo_6,ua_6,uwo_7,ua_7,uwo_8,ua_8,uwo_9,ua_9,uwo_10,ua_10,uwo_11,ua_11,uwo_12,ua_12,uwo_13,ua_13,uwo_14,ua_14,tension_margin_low_min,tension_margin_low_mean,num_steps_near_lower_bound,near_lower_bound_ratio,worst_cable_index,tension_spread,tension_balance_metric
1,0,1,3.04386978428171e-11,0.156636642600868,0.107690361047947,0.285124963237541,0.336636642600868,0.00769036104794683,0.285124963237541,-0.18,0.1,0,3.5527136788005e-15,2,481.139628290679,34.8756396477628,38.2049290580657,6,0,6,0,pinocchio,0,32.3705116519653,19.809673151605,1,0,pinocchio,integrator,7.0000000008137,7,13,2,1,0,7.0000000008137,7,13,2,1,0,7.0000000000111,7,13,2,1,0,7.0000000000111,7,13,2,1,0,7,7,13,2,1,0,7,7,13,2,1,0,18.8603717093206,7,13,2,0,0,18.8603717093206,7,13,2,0,0,0.225628257720089,-5.12436035223716,1.79507094193431,-0.083495457657534,-0.0173548099936441,-0.00477924345706526,7.0000000008137,7.0000000008137,7.0000000008137,7.0000000008137,7.0000000000111,7.0000000000111,7.0000000000111,7.0000000000111,7,7,7,7,18.8603717093206,18.8603717093206,18.8603717093206,18.8603717093206,0.225628257720089,0.225628257720089,-6.05705202882373,-5.12436035223716,2.38140272534471,1.79507094193431,-0.0834954576575342,-0.083495457657534,-0.0769538562138621,-0.0173548099936441,-0.00477924345706526,-0.00477924345706526,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
2,0.02,1,8.78147732782706e-15,0.163833177617589,0.103688074723072,0.285609567301601,0.336636642600868,0.00769036104794683,0.285124963237541,-0.172803464983279,0.095997713675125,0.000484604064060701,2.12260897494814,4.12260897494814,483.885691339249,37.4097251233768,39.1982483153802,0,0,0,0,pinocchio,0,7.99751810311404,8.58014508798103,1,0,pinocchio,integrator,10.1093662357433,7,13,2,0,0,10.1093662357433,7,13,2,0,0,9.58991775499646,7,13,2,0,0,9.58991775499646,7,13,2,0,0,9.12260897494814,7,13,2,0,0,9.12260897494814,7,13,2,0,0,16.114308660751,7,13,2,0,0,16.114308660751,7,13,2,0,0,0.127824576192997,-2.59027487662317,0.801751684619776,-0.0505901921704238,0.0191070792424062,-0.00292387437334099,10.1093662357433,10.1093662357433,10.1093662357433,10.1093662357433,9.58991775499646,9.58991775499646,9.58991775499646,9.58991775499646,9.12260897494814,9.12260897494814,9.12260897494814,9.12260897494814,16.114308660751,16.114308660751,16.114308660751,16.114308660751,0.128050761742891,0.127824576192997,-3.57704997425822,-2.59027487662317,1.4048638196082,0.801751684619776,-0.0514700565031845,-0.0505901921704238,-0.0398038401103307,0.0191070792424062,-0.00296504465474356,-0.00292387437334099,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
3,0.04,1,9.3431955595888e-15,0.17506152778224,0.0974397729444066,0.28644536053606,0.336636642600868,0.00769036104794683,0.285124963237541,-0.161575114818628,0.0897494118964598,0.00132039729851985,3.27325598013155,5.27325598013155,485.678776212848,39.0748165694227,39.8438728327302,0,0,0,0,pinocchio,0,4.89248014365986,5.50500511708211,1,0,pinocchio,integrator,11.8678518604881,7,13,2,0,0,11.8678518604881,7,13,2,0,0,11.2916309245677,7,13,2,0,0,11.2916309245677,7,13,2,0,0,10.2732559801315,7,13,2,0,0,10.2732559801315,7,13,2,0,0,14.3212237871524,7,13,2,0,0,14.3212237871524,7,13,2,0,0,0.0640312837515246,-0.925183430577284,0.156127167269762,-0.0290318927235629,0.0399439548946105,-0.00170826444528792,11.8678518604881,11.8678518604881,11.8678518604881,11.8678518604881,11.2916309245677,11.2916309245677,11.2916309245677,11.2916309245677,10.2732559801315,10.2732559801315,10.2732559801315,10.2732559801315,14.3212237871524,14.3212237871524,14.3212237871524,14.3212237871524,0.0648884298692636,0.0640312837515246,-1.99791096928215,-0.925183430577284,0.785738096096189,0.156127167269762,-0.0311300639471952,-0.0290318927235629,-0.0179366095155515,0.0399439548946105,-0.00181199132130416,-0.00170826444528792,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
4,0.06,1,7.10639248940608e-15,0.188261742284071,0.0900967374352845,0.287563195195569,0.336636642600868,0.00769036104794683,0.285124963237541,-0.148374900316797,0.0824063763873376,0.0024382319580285,3.90632373062036,5.90632373062036,486.80062335008,39.7360297687867,39.8302373959341,0,0,0,0,pinocchio,0,2.95448416754208,3.48301901052378,1,0,pinocchio,integrator,12.8600921187258,7,13,2,0,0,12.8600921187258,7,13,2,0,0,12.364977608124,7,13,2,0,0,12.364977608124,7,13,2,0,0,10.9063237306204,7,13,2,0,0,10.9063237306204,7,13,2,0,0,13.1993766499202,7,13,2,0,0,13.1993766499202,7,13,2,0,0,0.0227680686105588,0.169762604065866,-0.263970231213295,-0.014946571225981,0.0517163770062208,-0.000911964961537637,12.8600921187258,12.8600921187258,12.8600921187258,12.8600921187258,12.364977608124,12.364977608124,12.364977608124,12.364977608124,10.9063237306204,10.9063237306204,10.9063237306204,10.9063237306204,13.1993766499202,13.1993766499202,13.1993766499202,13.1993766499202,0.024605134653001,0.0227680686105588,-1.00555826501976,0.169762604065866,0.397921251685148,-0.263970231213295,-0.0183032525474758,-0.014946571225981,-0.0051351380488498,0.0517163770062208,-0.00108071343974103,-0.000911964961537637,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
5,0.08,1,9.61118099129683e-15,0.202118996970937,0.0823952107672863,0.288913214895362,0.336636642600868,0.00769036104794683,0.285124963237541,-0.134517645629931,0.0747048497193395,0.0037882516578216,4.26330095893859,6.26330095893859,486.582929266936,39.4627588461326,39.1094682006471,0,0,0,0,pinocchio,0,1.73627648382801,2.15318906109168,1,0,pinocchio,integrator,13.4170707330636,7,13,2,0,0,13.4170707330636,7,13,2,0,0,13.0081687353985,7,13,2,0,0,13.0081687353985,7,13,2,0,0,11.2633009589386,7,13,2,0,0,11.2633009589386,7,13,2,0,0,12.535260764793,7,13,2,0,0,12.535260764793,7,13,2,0,0,-0.00371961161255739,0.890531799352876,-0.537241153867401,-0.00579086444226192,0.0581429404793065,-0.000390947255015138,13.4170707330636,13.4170707330636,13.4170707330636,13.4170707330636,13.0081687353985,13.0081687353985,13.0081687353985,13.0081687353985,11.2633009589386,11.2633009589386,11.2633009589386,11.2633009589386,12.535260764793,12.535260764793,12.535260764793,12.535260764793,-0.000620552490040893,-0.00371961161255739,-0.395239230967874,0.890531799352876,0.15999752012555,-0.537241153867401,-0.0103710096882921,-0.00579086444226192,0.00222896642330994,0.0581429404793065,-0.000622210702516668,-0.000390947255015138,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
6,0.1,1,7.13276987239685e-15,0.215817656634945,0.0747913284195535,0.290453505921907,0.336636642600868,0.00769036104794683,0.285124963237541,-0.120818985965923,0.0671009673716067,0.00532854268436667,4.47271082154802,6.47271082154802,486.274354473209,39.2852513644607,38.6342047925064,0,0,0,0,pinocchio,0,0.969744184102107,1.28111245677362,1,0,pinocchio,integrator,13.7256455267908,7,13,2,0,0,13.7256455267908,7,13,2,0,0,13.3639491427267,7,13,2,0,0,13.3639491427267,7,13,2,0,0,11.472710821548,7,13,2,0,0,11.472710821548,7,13,2,0,0,12.176170327485,7,13,2,0,0,12.176170327485,7,13,2,0,0,-0.0205440372245548,1.36579520749359,-0.714748635539346,0.000122251024944849,0.0613761223870139,-5.04775642987703e-05,13.7256455267908,13.7256455267908,13.7256455267908,13.7256455267908,13.3639491427267,13.3639491427267,13.3639491427267,13.3639491427267,11.472710821548,11.472710821548,11.472710821548,11.472710821548,12.176170327485,12.176170327485,12.176170327485,12.176170327485,-0.015978262267474,-0.0205440372245548,-0.0331734355033504,1.36579520749359,0.0191283526082699,-0.714748635539346,-0.00563556410845933,0.000122251024944849,0.00630188946863797,0.0613761223870139,-0.000341091883434785,-5.04775642987703e-05,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
7,0.12,1,1.60155684391286e-14,0.228874176450802,0.0675543238807099,0.292148594973094,0.336636642600868,0.00769036104794683,0.285124963237541,-0.107762466150066,0.0598639628327631,0.00702363173555365,4.60292003213233,6.60292003213233,486.108424582015,39.1700850688356,38.31952469428,0,0,0,0,pinocchio,0,0.494314649289166,0.715410647984755,1,0,pinocchio,integrator,13.8915754179849,7,13,2,0,0,13.8915754179849,7,13,2,0,0,13.5325734981881,7,13,2,0,0,13.5325734981881,7,13,2,0,0,11.6029200321323,7,13,2,0,0,11.6029200321323,7,13,2,0,0,12.0155237116858,7,13,2,0,0,12.0155237116858,7,13,2,0,0,-0.0310499582844763,1.68047530572002,-0.829914931164446,0.00391932761319141,0.0626924635113398,0.000172217557806431,13.8915754179849,13.8915754179849,13.8915754179849,13.8915754179849,13.5325734981881,13.5325734981881,13.5325734981881,13.5325734981881,11.6029200321323,11.6029200321323,11.6029200321323,11.6029200321323,12.0155237116858,12.0155237116858,12.0155237116858,12.0155237116858,-0.0248858012502566,-0.0310499582844763,0.168474291828083,1.68047530572002,-0.0592109467549591,-0.829914931164446,-0.00297224701574095,0.00391932761319141,0.00837654234140217,0.0626924635113398,-0.000175032698273014,0.000172217557806431,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
8,0.14,1,9.67792507484196e-15,0.241023701797281,0.0608303738619996,0.293969881571949,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0956129408035872,0.0531400128140528,0.00884491833440815,4.69035290250822,6.69035290250822,486.02495762925,39.0952385309996,38.1091333976574,0,0,0,0,pinocchio,0,0.219508966549006,0.360013241767098,1,0,pinocchio,integrator,13.9750423707504,7,13,2,0,0,13.9750423707504,7,13,2,0,0,13.5832345666192,7,13,2,0,0,13.5832345666192,7,13,2,0,0,11.6903529025082,7,13,2,0,0,11.6903529025082,7,13,2,0,0,11.980133217831,7,13,2,0,0,11.980133217831,7,13,2,0,0,-0.0374220253608536,1.89086660234263,-0.90476146900042,0.00635511909858883,0.0628642868612892,0.000318933470199577,13.9750423707504,13.9750423707504,13.9750423707504,13.9750423707504,13.5832345666192,13.5832345666192,13.5832345666192,13.5832345666192,11.6903529025082,11.6903529025082,11.6903529025082,11.6903529025082,11.980133217831,11.980133217831,11.980133217831,11.980133217831,-0.0295861862856839,-0.0374220253608536,0.26756503502704,1.89086660234263,-0.0976818342171555,-0.90476146900042,-0.00162779095939669,0.00635511909858883,0.00924387641178015,0.0628642868612892,-8.28175593596825e-05,0.000318933470199577,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
9,0.16,1,8.34623376751547e-15,0.252143312992187,0.0546860110892664,0.295895799462122,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0844933296086811,0.0469956500413195,0.0107708362245811,4.75451160271447,6.75451160271447,485.989440399729,39.0461357547486,37.9655937008649,0,0,0,0,pinocchio,0,0.127323316779335,0.168893611039905,1,0,pinocchio,integrator,14.0105596002714,7,13,2,0,0,14.0105596002714,7,13,2,0,0,13.5629790244661,7,13,2,0,0,13.5629790244661,7,13,2,0,0,11.7545116027145,7,13,2,0,0,11.7545116027145,7,13,2,0,0,12.0204057059238,7,13,2,0,0,12.0204057059238,7,13,2,0,0,-0.0410883840806404,2.03440629913513,-0.953864245251367,0.00793545279221076,0.0623654706426581,0.000417570452000271,14.0105596002714,14.0105596002714,14.0105596002714,14.0105596002714,13.5629790244661,13.5629790244661,13.5629790244661,13.5629790244661,11.7545116027145,11.7545116027145,11.7545116027145,11.7545116027145,12.0204057059238,12.0204057059238,12.0204057059238,12.0204057059238,-0.0315480365728291,-0.0410883840806404,0.302271953052063,2.03440629913513,-0.111193141103477,-0.953864245251367,-0.00109598237807518,0.00793545279221076,0.00939310272303118,0.0623654706426581,-3.70191911116535e-05,0.000417570452000271,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
10,0.18,1,8.02566032455667e-15,0.262200283772403,0.0491374244623872,0.297911381339418,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0744363588284646,0.0414470634144404,0.0127864181018778,4.80593473784327,6.80593473784327,485.98189555921,39.0131071381625,37.8639700516915,0,0,0,0,pinocchio,0,0.162025758295708,0.145383685463188,1,0,pinocchio,integrator,14.01810444079,7,13,2,0,0,14.01810444079,7,13,2,0,0,13.5033015659711,7,13,2,0,0,13.5033015659711,7,13,2,0,0,11.8059347378433,7,13,2,0,0,11.8059347378433,7,13,2,0,0,12.1031820503247,7,13,2,0,0,12.1031820503247,7,13,2,0,0,-0.0429835887677059,2.1360299483085,-0.986892861837537,0.00899838356441392,0.0614886994261131,0.000486757665476457,14.01810444079,14.01810444079,14.01810444079,14.01810444079,13.5033015659711,13.5033015659711,13.5033015659711,13.5033015659711,11.8059347378433,11.8059347378433,11.8059347378433,11.8059347378433,12.1031820503247,12.1031820503247,12.1031820503247,12.1031820503247,-0.0317301208183594,-0.0429835887677059,0.297758818655694,2.1360299483085,-0.10955008502993,-0.986892861837537,-0.00103754584787907,0.00899838356441392,0.00912838571499464,0.0614886994261131,-1.93579639500285e-05,0.000486757665476457,3.5527136788005e-15,4.69731237822478,1,0.0125,5,2.39466519557456,0.0764507127430803
