step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active
1,0.0,0.17697440782913593,0.010000756153069794,0.24870913093193897,0.1770211643871914,0.010002371411802463,0.24858416458402444,4.675655805547185e-05,1.61525873266892e-06,-0.00012496634791453465,0.00013343677489007551,-9.272548502427893e-07,-3.909173868133953e-09,2.6516932777185237e-06,none,False,False
2,0.02,0.1769772361501401,0.010004961854263297,0.24870221843431223,0.17702116438354548,0.010003306835152227,0.24858416458402444,4.392823340537699e-05,-1.6550191110700774e-06,-0.00011805385028779147,0.00012597277621036843,-2.9604699216424147e-06,3.1112656341614275e-08,5.9052218489345165e-06,none,False,False
3,0.04,0.17698077831544148,0.010020206675815081,0.24869317446127054,0.1770211641573457,0.01000979858922015,0.24858416458402444,4.03858419042169e-05,-1.0408086594930824e-05,-0.00010900987724610234,0.00011671545668886482,-5.276089356598225e-06,1.7605420936887558e-07,4.2315567353703945e-06,none,False,False
4,0.06,0.17698451288735745,0.010052547994654036,0.24868321347788158,0.17702116180842487,0.010027249192188784,0.24858416458402444,3.664892106741702e-05,-2.529880246525222e-05,-9.904889385714544e-05,0.00010859952207954544,-7.3859497625875475e-06,4.828281288268759e-07,-5.474637875908815e-06,none,False,False
5,0.08,0.1769881339867404,0.010107465997254223,0.24867310426597275,0.17702115011635905,0.010060894907521925,0.24858416458402444,3.301612961864597e-05,-4.657108973229844e-05,-8.893968194831348e-05,0.00010568442760840494,-9.010655763752981e-06,9.888744717858395e-07,-2.306355015030804e-05,none,False,False
6,0.1,0.17699145562139607,0.010190023178459542,0.24866331627568977,0.17702111077163357,0.010115807433395392,0.24858416458402444,2.9655150237506422e-05,-7.421574506415e-05,-7.915169166533564e-05,0.00011248286555969468,-1.0005824587787276e-05,1.7221287558538668e-06,-4.744474897682806e-05,none,False,False
7,0.12000000000000001,0.1769943470482068,0.010304968106521038,0.24865411959349776,0.17702100672187596,0.010196895576993653,0.24858416458402444,2.6659673669160444e-05,-0.00010807252952738447,-6.995500947332145e-05,0.0001314690579148037,-1.0315761665825156e-05,2.7053377127998377e-06,-8.017826118438825e-05,none,False,False
8,0.14,0.17699668458185225,0.010456801338562017,0.2486456540298736,0.17702077286987083,0.010308906896936254,0.24858416458402444,2.4088288018586645e-05,-0.00014789444162576285,-6.148944584916105e-05,0.00016196901998314205,-9.931651176754647e-06,3.9547196165790245e-06,-0.00012122846278336997,none,False,False
9,0.16,0.17699831947858352,0.010649818854835551,0.24863797520557254,0.1770203053484684,0.010456429288700211,0.24858416458402444,2.1985869884888487e-05,-0.0001933895661353404,-5.381062154810601e-05,0.00020193683605524757,-8.872083055278515e-06,5.482092603696954e-06,-0.00017030593834575582,none,False,False
10,0.18,0.1769990522368722,0.01088813936474769,0.24863108586273375,0.17701944958627513,0.010643892478765021,0.24858416458402444,2.039734940292859e-05,-0.0002442468859826692,-4.6921278709310954e-05,0.0002495479905160789,-7.169098378779297e-06,7.295779015128046e-06,-0.0002270345067336842,none,False,False
