step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,solver_status,fail_reason,fallback_applied,hold_active,u_a_1,u_a_2,u_a_3,u_a_4,u_a_5,u_a_6,u_a_7,u_a_8,u_a_9,u_a_10,u_a_11,u_a_12,u_a_13,u_a_14,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6,qdd_7,qdd_8,qdd_9,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,cable_force_1,cable_force_2,cable_force_3,cable_force_4,cable_force_5,cable_force_6,cable_force_7,cable_force_8,cable_length_1,cable_length_2,cable_length_3,cable_length_4,cable_length_5,cable_length_6,cable_length_7,cable_length_8,arm_torque_1,arm_torque_2,arm_torque_3,arm_torque_4,arm_torque_5,arm_torque_6
1.0,0.0,0.17692286938072582,0.01000283167127025,0.24858416458402469,0.1770211643871914,0.010002371411802463,0.24858416458402444,9.829500646557632e-05,-4.6025946778653626e-07,-2.498001805406602e-16,9.829608402599453e-05,0.11989013749229153,6.662941524193758e-05,-0.0011603136852103276,min_task,none,false,false,8.089944138576163,8.089944138576163,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,8.13088826564038,8.13088826564038,0.0,0.0,0.0,0.0,0.0,0.0,0.011545984889142854,-0.009021720798881031,0.15828465450206047,0.0,0.0,0.0,0.0,0.0,0.0,0.11989013749229153,6.662941524193758e-05,-0.0011603136852103276,0.0,0.58,0.92,0.0,0.0,0.0,8.089944138576163,8.089944138576163,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,8.13088826564038,8.13088826564038,1.120486160238155,1.120486160238155,1.2896184697688935,1.2896184697688935,1.2896739400042838,1.2896739400042838,1.1205500030085023,1.1205500030085023,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.02,0.17692656864406475,0.010006538193832865,0.24858416458402466,0.17702116438354548,0.010003306835152227,0.24858416458402444,9.459573948072952e-05,-3.2313586806383826e-06,-2.220446049250313e-16,9.465091445321058e-05,0.11989475333421733,6.507630967369153e-05,-0.0010680917239401086,min_task,none,false,false,8.117465067211374,8.117465067211374,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,8.08940139660376,8.08940139660376,0.0,0.0,0.0,0.0,0.0,0.0,0.008936650798923643,0.00593660186326604,0.17455619847953688,0.0,0.0,0.0,0.0,0.0,0.0,0.11989475333421733,6.507630967369153e-05,-0.0010680917239401086,0.0,0.58,0.92,0.0,0.0,0.0,8.117465067211374,8.117465067211374,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,8.08940139660376,8.08940139660376,1.1204828263539075,1.1204828263539075,1.289621653132556,1.289621653132556,1.2896776467636593,1.2896776467636593,1.1205472718665397,1.1205472718665397,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.04,0.17693193792353545,0.01001775010690786,0.24858416458402469,0.1770211641573457,0.01000979858922015,0.24858416458402444,8.922623381024675e-05,-7.951517687709506e-06,-2.498001805406602e-16,8.957983832034292e-05,0.1199016069772181,6.777653487018644e-05,-0.0009188452273211178,min_task,none,false,false,8.149482558997446,8.149482558997446,7.0,7.0,7.0,7.0,8.045482839676025,8.045482839676025,0.0,0.0,0.0,0.0,0.0,0.0,0.006701281219539922,0.022392871331678273,0.18450130809971235,0.0,0.0,0.0,0.0,0.0,0.0,0.1199016069772181,6.777653487018644e-05,-0.0009188452273211178,0.0,0.58,0.92,0.0,0.0,0.0,8.149482558997446,8.149482558997446,7.0,7.0,7.0,7.0,8.045482839676025,8.045482839676025,1.120473881305129,1.120473881305129,1.2896229100571361,1.2896229100571361,1.289686623865531,1.289686623865531,1.1205472128921723,1.1205472128921723,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.06,0.17693851024087318,0.010041013965472485,0.24858416458402455,0.17702116180842487,0.010027249192188784,0.24858416458402444,8.265156755168923e-05,-1.3764773283700404e-05,-1.1102230246251565e-16,8.37899194551655e-05,0.11991019083064332,7.951773370454182e-05,-0.0007167972519139052,min_task,none,false,false,8.185031785511537,8.185031785511537,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.999576219007154,7.999576219007154,0.0,0.0,0.0,0.0,0.0,0.0,0.004745871766015429,0.040026553399939574,0.1879656054188414,0.0,0.0,0.0,0.0,0.0,0.0,0.11991019083064332,7.951773370454182e-05,-0.0007167972519139052,0.0,0.58,0.92,0.0,0.0,0.0,8.185031785511537,8.185031785511537,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,7.999576219007154,7.999576219007154,1.1204560985632468,1.1204560985632468,1.2896187693708197,1.2896187693708197,1.289703593794953,1.289703593794953,1.1205537284493243,1.1205537284493243,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.08,0.17694591114753871,0.010081032732104622,0.24858416458402455,0.17702115011635905,0.010060894907521925,0.24858416458402444,7.523896882033476e-05,-2.0137824582697195e-05,-1.1102230246251565e-16,7.788731866016952e-05,0.11992007095493844,0.00010535369462825613,-0.00046809425528728443,min_task,none,false,false,8.223234257515385,8.223234257515385,6.999999999999998,6.999999999999998,6.999999999999998,6.999999999999998,7.952099082226015,7.952099082226015,0.0,0.0,0.0,0.0,0.0,0.0,0.002987459011570422,0.058540388783831124,0.1851390512187573,0.0,0.0,0.0,0.0,0.0,0.0,0.11992007095493844,0.00010535369462825613,-0.00046809425528728443,0.0,0.58,0.92,0.0,0.0,0.0,8.223234257515385,8.223234257515385,6.999999999999998,6.999999999999998,6.999999999999998,6.999999999999998,7.952099082226015,7.952099082226015,1.1204260349418107,1.1204260349418107,1.2896056678280687,1.2896056678280687,1.2897314839633813,1.2897314839633813,1.1205708464918827,1.1205708464918827,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.1,0.1769538315855954,0.010142603788393288,0.24858416458402463,0.17702111077163357,0.010115807433395392,0.24858416458402444,6.727918603816052e-05,-2.6796354997896468e-05,-1.942890293094024e-16,7.241915157698759e-05,0.11993086318627366,0.00015052208032637938,-0.00018045125962911355,min_task,none,false,false,8.263284997988897,8.263284997988897,7.000000000000002,7.000000000000002,7.000000000000002,7.000000000000002,7.903445838812233,7.903445838812233,0.0,0.0,0.0,0.0,0.0,0.0,0.0013523498865793443,0.07765726877888166,0.1765143186431074,0.0,0.0,0.0,0.0,0.0,0.0,0.11993086318627366,0.00015052208032637938,-0.00018045125962911355,0.0,0.58,0.92,0.0,0.0,0.0,8.263284997988897,8.263284997988897,7.000000000000002,7.000000000000002,7.000000000000002,7.000000000000002,7.903445838812233,7.903445838812233,1.1203801021013124,1.1203801021013124,1.289579980259696,1.289579980259696,1.289773358213004,1.289773358213004,1.1206026785859473,1.1206026785859473,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.12000000000000001,0.17696200270265125,0.0102305663738507,0.24858416458402482,0.17702100672187596,0.010196895576993653,0.24858416458402444,5.900401922470655e-05,-3.3670796857046895e-05,-3.885780586188048e-16,6.79352400868508e-05,0.1199422118321353,0.00022036802350070106,0.00013726539764252017,min_task,none,false,false,8.304444276466871,8.304444276466871,7.0,7.0,7.0,7.0,7.853986427743625,7.853986427743625,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022561449629144748,0.09711899842678699,0.16283484704070172,0.0,0.0,0.0,0.0,0.0,0.0,0.1199422118321353,0.00022036802350070106,0.00013726539764252017,0.0,0.58,0.92,0.0,0.0,0.0,8.304444276466871,8.304444276466871,7.0,7.0,7.0,7.0,7.853986427743625,7.853986427743625,1.120314630896009,1.120314630896009,1.2895380471151505,1.2895380471151505,1.2898323552260247,1.2898323552260247,1.1206533816617958,1.1206533816617958,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.14,0.17697017235548995,0.010349756686177094,0.2485841645840246,0.17702077286987083,0.010308906896936254,0.24858416458402444,5.060051438088298e-05,-4.084978924084014e-05,-1.6653345369377348e-16,6.503166410780985e-05,0.11995377043831186,0.00032027343181444866,0.00047548966411954256,min_task,none,false,false,8.346032847516668,8.346032847516668,7.0,7.0,7.0,7.0,7.804061866839197,7.804061866839197,0.0,0.0,0.0,0.0,0.0,0.0,-0.001806735020639633,0.11668647171523643,0.1450358705750499,0.0,0.0,0.0,0.0,0.0,0.0,0.11995377043831186,0.00032027343181444866,0.00047548966411954256,0.0,0.58,0.92,0.0,0.0,0.0,8.346032847516668,8.346032847516668,7.0,7.0,7.0,7.0,7.804061866839197,7.804061866839197,1.120225929640837,1.120225929640837,1.2894761997392727,1.2894761997392727,1.2899116331940916,1.2899116331940916,1.1207271234315204,1.1207271234315204,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.16,0.1769780830638205,0.010504969276433568,0.24858416458402477,0.1770203053484684,0.010456429288700211,0.24858416458402444,4.222228464789701e-05,-4.853998773335713e-05,-3.3306690738754696e-16,6.43339080893e-05,0.11996518415720811,0.0004555921716014418,0.0008244148986692696,min_task,none,false,false,8.387429658401098,8.387429658401098,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,7.753977804806871,7.753977804806871,0.0,0.0,0.0,0.0,0.0,0.0,-0.003447047896578229,0.13614079376778673,0.12418176341469307,0.0,0.0,0.0,0.0,0.0,0.0,0.11996518415720811,0.0004555921716014418,0.0008244148986692696,0.0,0.58,0.92,0.0,0.0,0.0,8.387429658401098,8.387429658401098,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,7.753977804806871,7.753977804806871,1.120110337062029,1.120110337062029,1.2893907834439557,1.2893907834439557,1.2900143202890886,1.2900143202890886,1.1208280516269717,1.1208280516269717,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.18,0.1769854512012864,0.01070092370781013,0.2485841645840246,0.17701944958627513,0.010643892478765021,0.24858416458402444,3.3998384988742636e-05,-5.703122904510832e-05,-1.6653345369377348e-16,6.639616907803016e-05,0.11997607328143739,0.000631591499437769,0.001174436032992124,min_task,none,false,false,8.42807107102251,8.42807107102251,7.0,7.0,7.0,7.0,7.703997130591329,7.703997130591329,0.0,0.0,0.0,0.0,0.0,0.0,-0.005199811071084633,0.15528491582931514,0.10140293367811025,0.0,0.0,0.0,0.0,0.0,0.0,0.11997607328143739,0.000631591499437769,0.001174436032992124,0.0,0.58,0.92,0.0,0.0,0.0,8.42807107102251,8.42807107102251,7.0,7.0,7.0,7.0,7.703997130591329,7.703997130591329,1.1199642704340802,1.1199642704340802,1.28927817820381,1.28927817820381,1.2901434705747539,1.2901434705747539,1.1209602673257766,1.1209602673257766,0.0,0.0,0.0,0.0,0.0,0.0
