step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active
1,0.0,0.11699147501178286,0.0100012079103333,0.24868679431452145,0.11702116438719139,0.010002371411802463,0.24858416458402444,2.9689375408523122e-05,1.163501469163275e-06,-0.00010262973049701696,0.0001068441590809123,-6.467608734286976e-07,-1.1603578104617116e-08,1.9419580280240066e-06,none,False,False
2,0.02,0.1169933584565127,0.010003141292503898,0.24868134797765595,0.1170211643857438,0.010002788199220363,0.24858422354738247,2.780592923110059e-05,-3.5309328353522185e-07,-9.71244302734875e-05,0.00010102697328546167,-2.0254164357592017e-06,1.550385315907639e-08,4.730234132152308e-06,none,False,False
3,0.04,0.11699566377837674,0.01001003525429328,0.24867480429608738,0.11702116429547019,0.010005689023003821,0.24858463392999974,2.5500517093449138e-05,-4.34623128945863e-06,-9.017036608763296e-05,9.380757442143203e-05,-3.4984426245610444e-06,1.7238879484809726e-07,4.749687418038677e-06,none,False,False
4,0.06,0.11699804013688417,0.010024635377594973,0.24866854290014595,0.11702116335288582,0.010013512177872089,0.24858574068002443,2.3123216001647018e-05,-1.11231997228841e-05,-8.280222012152505e-05,8.668688682486805e-05,-4.675678672463687e-06,5.237191443018122e-07,5.568976190431839e-08,none,False,False
5,0.08,0.11700029959057585,0.010049462661978379,0.24866355124623563,0.11702115863408241,0.010028646362674537,0.24858788172930837,2.085904350655754e-05,-2.0816299303842017e-05,-7.566951692725143e-05,8.120525724803282e-05,-5.324752647639865e-06,1.1160548647179404e-06,-1.0643036262620727e-05,none,False,False
6,0.1,0.11700234363178116,0.010086879691334157,0.24866055194341813,0.11702114266149691,0.010053431012906748,0.24859138804081457,1.8799029715743654e-05,-3.344867842740816e-05,-6.916390260355842e-05,7.909401387050785e-05,-5.3144026354147774e-06,1.9822655615123405e-06,-2.64251289348774e-05,none,False,False
7,0.12000000000000001,0.1170041171217129,0.010139134487786621,0.24866008943526427,0.11702110016845615,0.010090156627542358,0.24859658365602444,1.6983046743260233e-05,-4.897786024426337e-05,-6.35057792398308e-05,8.197706183834891e-05,-4.577430374067641e-06,3.146956964438553e-06,-4.613365782648374e-05,none,False,False
8,0.14,0.11700557807671548,0.010208388643070589,0.24866258909536632,0.11702100408752211,0.010141065083669474,0.24860378574234543,1.5426010806632307e-05,-6.732355940111505e-05,-5.880335302088646e-05,9.070974471544278e-05,-3.0861619707751445e-06,4.630076236440337e-06,-7.037269081239462e-05,none,False,False
9,0.16,0.11700667659962319,0.010296734565787937,0.24866839755094144,0.11702081082657054,0.010208349928877166,0.24861330464051826,1.4134226947348782e-05,-8.838463691077103e-05,-5.509291042318787e-05,0.00010510399227501014,-8.361417199031675e-07,6.445763615618859e-06,-9.918308524585401e-05,none,False,False
10,0.18,0.11700734065714916,0.010406207110386135,0.2486778096492271,0.1170204548945149,0.010294156637266126,0.24862544391202443,1.3114237365746684e-05,-0.00011205047312000914,-5.236573720265869e-05,0.0001243762926802409,2.164094169263621e-06,8.603934053967736e-06,-0.00013245665100481853,none,False,False
11,0.19999999999999998,0.11700746500896905,0.01053879074118845,0.24869108656676517,0.11701984293665578,0.010400582810485812,0.24864050038649357,1.2377927686726964e-05,-0.0001382079307026378,-5.058618027159456e-05,0.00014769430198011442,5.899920916969538e-06,1.1111534274538616e-05,-0.0001700408724103166,none,False,False
12,0.21999999999999997,0.11700690179556564,0.010696423611570648,0.2487084678654422,0.1170188472378248,0.010529678300445695,0.24865876420911084,1.1945442259159167e-05,-0.00016674531112495332,-4.970365633136242e-05,0.0001744051198377805,1.0355128452754433e-05,1.3973053662632414e-05,-0.00021170909339304314,none,False,False
13,0.23999999999999996,0.11700545149286377,0.010880999633003232,0.24873017961523675,0.11701729874983516,0.010683445225419,0.24868051888802445,1.1847256971384001e-05,-0.00019755440758423282,-4.9660727212297306e-05,0.000204044821745021,1.551675267376411e-05,1.7190604546915725e-05,-0.0002566190471782138,none,False,False
14,0.25999999999999995,0.11700285483374362,0.011094369460244556,0.24875643952102133,0.11701497969829086,0.010863837846253468,0.24870604134175284,1.2124864547241598e-05,-0.00023053161399108797,-5.039817926849599e-05,0.0002362875660359732,2.137817277819469e-05,2.0764693958133785e-05,-0.00030344501931705084,none,False,False
15,0.27999999999999997,0.11699878512575634,0.011338340480564597,0.2487874599828988,0.11701161582258765,0.011072762264417313,0.24873560194659233,1.2830696831306332e-05,-0.0002655782161472848,-5.1858036306473565e-05,0.0002708978988525277,2.7940266275368044e-05,2.469487134673183e-05,-0.0003508870822866649,none,False,False
16,0.3,0.11699284020538288,0.011614675958306633,0.24882344992946465,0.11700686830201543,0.011312075898724934,0.24876946458402444,1.4028096632548448e-05,-0.00030260005958169904,-5.398534544021061e-05,0.00030769790554418603,3.5212266345775046e-05,2.8979856135430244e-05,-0.0003977364234181006,none,False,False
17,0.32,0.11698453432016254,0.011925093628578307,0.2488646157670361,0.11700032542029412,0.011583586692885868,0.2488078866881232,1.579110013158469e-05,-0.00034150693569243856,-5.672907891290935e-05,0.0003465465832521109,4.3211907843156834e-05,3.361759801385487e-05,-0.000442928806672366,none,False,False
18,0.34,0.11697328989785412,0.012271263795921819,0.24891116175425984,0.11699149402070408,0.011889052001576372,0.24885111929296272,1.8204122849960203e-05,-0.0003822117943454474,-6.004246129712176e-05,0.0003873271782151614,5.196497958918078e-05,3.8605301430634367e-05,-0.00048558506529613977,none,False,False
19,0.36000000000000004,0.11695842918764683,0.012654806944427308,0.2489632900204535,0.11697979080426164,0.012230177098617215,0.24889940708002445,2.1361616614812284e-05,-0.0004246298458100931,-6.388294042905529e-05,0.00042993936164878406,6.150442734796999e-05,4.393943291148853e-05,-0.0005250380484669345,none,False,False
20,0.38000000000000006,0.11693916578049311,0.013077290834774772,0.24902120038048414,0.11696453352420128,0.012608613247122183,0.24895298842560468,2.536774370816286e-05,-0.0004686775876525887,-6.821195487946574e-05,0.00047429429089666607,7.186917650899184e-05,4.961572590533991e-05,-0.0005608460966956795,none,False,False
21,0.4000000000000001,0.11691459603671014,0.01354022704331517,0.24908509005072932,0.11694493213141097,0.013025955268226828,0.24901209544822198,3.0336094700822436e-05,-0.0005142717750883409,-7.299460250734247e-05,0.0005203113964631327,8.310285199116489e-05,5.562919439306561e-05,-0.0005927937314646599,none,False,False
22,0.4200000000000001,0.11688369046973876,0.014045066884733682,0.2491551533345986,0.11692007992748149,0.013483738542283253,0.24907695405602442,3.638945774273039e-05,-0.000561328342450429,-7.819927857416475e-05,0.0005679162155128834,9.525256135803138e-05,6.197416303425057e-05,-0.0006208807771245507,none,False,False
23,0.4400000000000001,0.11684528515459264,0.014593196652053997,0.24923158131906972,0.11688894478471942,0.013983435374282623,0.24914778399419726,4.365963012678553e-05,-0.0006097612777713739,-8.379732487245883e-05,0.0006170388730282451,0.00010836787737960052,6.864431821376136e-05,-0.0006453015652193528,none,False,False
24,0.46000000000000013,0.1167980732466477,0.015185932102990908,0.2493145616038856,0.11685036049588074,0.014526450653813038,0.24922479889237012,5.228724923303507e-05,-0.0006594814491778702,-8.976271151547865e-05,0.0006676129736761505,0.0001225001139747224,7.563278087829652e-05,-0.0006664161880435672,none,False,False
25,0.48000000000000015,0.11674059671042591,0.015824512120740333,0.24940427807103677,0.11680301832054088,0.015114116739150566,0.24930820631202444,6.24216101149655e-05,-0.0007103953815897675,-9.607175901232834e-05,0.0007195747622541658,0.00013770194068986704,8.293219991896411e-05,-0.000684715963790305,none,False,False
26,0.5000000000000001,0.1166712383664556,0.016510091477247735,0.24950091069355912,0.11674545879995049,0.01574768749519359,0.24939820779390098,7.42204334948926e-05,-0.0007624039820541446,-0.00010270289965813584,0.0007728624652539256,0.00015402733645464,9.053486053727085e-05,-0.0007007853496423443,none,False,False
27,0.5200000000000001,0.11658821437064519,0.017243732630186435,0.24960463537742011,0.11667606391794959,0.016428331415968805,0.24949499890540716,8.78495473043972e-05,-0.0008154012142176301,-0.00010963647201295279,0.0008274157595215479,0.00017153184373276914,9.843280145607831e-05,-0.000715262498714243,none,False,False
28,0.5400000000000001,0.11648956724304257,0.018026396488736975,0.24971562382838958,0.11659304969202527,0.01715712376445011,0.24959876928802444,0.0001034824489827002,-0.0008692727242868639,-0.00011685454036514109,0.0008831753336911712,0.0001902730573251035,0.00010661793372387198,-0.0007288005130282069,none,False,False
29,0.5600000000000002,0.11637315956283964,0.018858932087893084,0.2498340434361845,0.11649445928588432,0.017935037665534878,0.2497097027047158,0.00012129972304468495,-0.0009238944223582055,-0.0001243407314687195,0.0009400825197702038,0.00021031126919568693,0.00011508215219450898,-0.0007420312135919297,none,False,False
30,0.5800000000000002,0.11623666844735221,0.01974206511800353,0.24996005716931965,0.11637815674294313,0.018762934092317246,0.2498279770873331,0.0001414882955909219,-0.000979131025686284,-0.00013208008198656307,0.000998078980496171,0.0002317101878816829,0.00012381743159266823,-0.0007555329492697705,none,False,False
31,0.6000000000000002,0.11607758093404588,0.020676385263534366,0.2500938234760154,0.1162418214488613,0.019641550691392888,0.24995376458402443,0.00016424051481542246,-0.0010348345721414784,-0.00014005889199095178,0.0010571064429052567,0.00025453765830981507,0.0001328158996038751,-0.0007698036187405343,none,False,False
32,0.6200000000000002,0.11589319038785502,0.02166233231436194,0.2502354961881325,0.11608294344059332,0.020571489399938137,0.2500872316066417,0.00018975305273830068,-0.0010908429144238022,-0.000148264581490809,0.0011171064725874447,0.00027886632076169,0.00014206988055689098,-0.0007852397066107691,none,False,False
33,0.6400000000000002,0.11568059406194581,0.022700181022982817,0.2503852244263486,0.1158988196893122,0.02155320281584628,0.2502285388781479,0.0002182256273663974,-0.001146978207136537,-0.0001566855482006968,0.0011780202855216694,0.00030477416290579395,0.0001515719046274783,-0.0008021217558525762,none,False,False
34,0.6600000000000003,0.11543669194835271,0.023790024692444074,0.2505431525055362,0.11568655149485195,0.02258697929239748,0.25037784148002445,0.0002498595464992398,-0.0012030454000465929,-0.0001653110255117607,0.0012397885959734517,0.0003323449334297032,0.00016131467892814807,-0.0008206063342289449,none,False,False
35,0.6800000000000003,0.11515818706524608,0.024931757493975165,0.25070941983950473,0.1154430431398799,0.023672926740908984,0.25053528889967874,0.000284856074633813,-0.0012588307530661813,-0.00017413093982598937,0.0013023515010647608,0.0003616683978755255,0.0001712910182344243,-0.0008407242198503736,none,False,False
36,0.7000000000000003,0.11484158733917499,0.026125055528562847,0.2508841608441446,0.11516500196267287,0.02481095513868283,0.2507010250778516,0.0003234146234978863,-0.0013141003898800158,-0.00018313576629302997,0.00136564840360571,0.00039284042601590814,0.00018149373425437414,-0.0008623842434362883,none,False,False
37,0.7200000000000003,0.11448320925298822,0.027369356663917665,0.25106750483790213,0.11484894001793104,0.026000757755457026,0.2508751884560244,0.00036573076494282597,-0.0013685989084606387,-0.00019231638187772182,0.0014296179753360175,0.00042596290562144556,0.00019191548320482757,-0.0008853819928586415,none,False,False
38,0.7400000000000003,0.11407918344172926,0.028663839198247148,0.25125957593841985,0.11449117750528706,0.027241791129586208,0.25105791202382693,0.0004119940635577968,-0.0014220480686609402,-0.00020166391459292,0.001494198163711265,0.00046114348069015013,0.00020254857198295402,-0.0009094124159908515,none,False,False
39,0.7600000000000003,0.11362546242945369,0.030007399424183456,0.2514604929543396,0.1140878481547895,0.028533253845430755,0.2512493233664442,0.0004623857253358149,-0.0014741455787527016,-0.00021116958789541007,0.001559326245915967,0.0004984951142104971,0.0002133847233654379,-0.0009340852526305236,none,False,False
40,0.7800000000000004,0.11311783070878337,0.03139862819064089,0.25167036927174513,0.11363490676735719,0.029874064186003135,0.25144954471202446,0.0005170760585738177,-0.0015245640046377545,-0.00022082455972066706,0.001624938934472052,0.0005381354774854787,0.0002244148004514049,-0.0009589421846802831,none,False,False
41,0.8000000000000004,0.11255191737154724,0.032835786587289355,0.2518893127354738,0.11312813911568184,0.03126283675987357,0.25165869297908616,0.0005762217441346029,-0.0015729498274157858,-0.0002306197563876622,0.001690972539699323,0.0005801861707400831,0.00023562849001846926,-0.0009834746116978569,none,False,False
42,0.8200000000000004,0.11192321150279551,0.03431678090516325,0.25211742552641614,0.11256317441692976,0.03269785822871038,0.2518768798239257,0.0006399629141342483,-0.0016189226764528677,-0.0002405457024904356,0.0017573631948994302,0.0006247717834530042,0.0002470139436147114,-0.0010071410293920004,none,False,False
43,0.8400000000000004,0.11122708055159956,0.035839137059683855,0.25235480403683763,0.11193550059245594,0.03417706229162907,0.25210421168802444,0.0007084200408563751,-0.001662074768054786,-0.0002505923488131945,0.0018240471523990362,0.0006720188072846098,0.0002585573741806109,-0.0010293831040604415,none,False,False
44,0.8600000000000004,0.11045879189027835,0.037399974695909194,0.252601538746518,0.1112404825311621,0.035698004114713064,0.25234078984545655,0.0007816906408837504,-0.00170197058119613,-0.000260748901061425,0.0018909611594919347,0.0007220544189605697,0.00027024260477256327,-0.0010496396848269777,none,False,False
45,0.8800000000000004,0.10961353776857155,0.03899598123147713,0.2528577141031927,0.11047338357163602,0.03725783442856459,0.25258671045029607,0.000859845803064474,-0.001738146802912538,-0.00027100365289661754,0.0019580429243011956,0.0007750051540701597,0.00028205056468261436,-0.0010673581684152971,none,False,False
46,0.9000000000000005,0.10868646386018443,0.040623386133364955,0.2531234084108378,0.10962939041331235,0.038853273553409215,0.2528420645840244,0.0009429265531279152,-0.0017701125799557405,-0.000281343826813385,0.0020252316853133765,0.0008309954942766257,0.0002939587271097642,-0.0010820028189496968,none,False,False
47,0.9200000000000005,0.10767270158689479,0.04227793576413387,0.25339869372940016,0.10870364165808083,0.040480585649910264,0.253106938302938,0.0010309400711860373,-0.001797350114223606,-0.000291755426462148,0.002092468898776465,0.0008901463890293698,0.0003059404814949106,-0.0010930598347552764,none,False,False
48,0.9400000000000005,0.1065674043879346,0.04395486917420736,0.2536836357892598,0.10769126017050704,0.042135553534175856,0.2533814126855553,0.0011238557825724305,-0.001819315640031502,-0.0003022231037044798,0.002159699058317499,0.00095257372804832,0.0003179644329422356,-0.0011000391385299632,none,False,False
49,0.9600000000000005,0.1053657880794375,0.04564889526194123,0.25397829392315274,0.10658738942658302,0.04381345443711217,0.2536655638800244,0.0012216013471455234,-0.00183544082482906,-0.00031273004312831754,0.0022268706636605494,0.001018386772176605,0.0003299936210897287,-0.0011024730404503456,none,False,False
50,0.9800000000000005,0.10406317542103427,0.04735417176625529,0.25428272101798044,0.10538723399715604,0.045509037130848154,0.2539594631515306,0.0013240585761217644,-0.001845134635407135,-0.000323257866449822,0.0022939373539838234,0.0010876865378459787,0.0003419846514014115,-0.00109991207657808,none,False,False
51,1.0000000000000004,0.10265504497218113,0.04906428659953177,0.2545969634884184,0.1040861042823659,0.047216500887898104,0.25426317692970346,0.0014310593101847652,-0.0018477857116336663,-0.00033378655871496576,0.002360859219047762,0.0011605641149689976,0.00035388673347564603,-0.0010919184551877468,none,False,False
52,1.0200000000000005,0.10113708427870544,0.05077224207296012,0.2549210612742875,0.10267946557705157,0.04892947678140337,0.25457676685602443,0.001542381298346135,-0.0018427652915567472,-0.00034429441826305807,0.002427604299654544,0.001237098880414071,0.0003656406239588351,-0.0010780576508755751,none,False,False
53,1.0400000000000005,0.09950524738161762,0.052470442605769274,0.25525504786396025,0.10116299150370595,0.05064101187646047,0.2549002898312343,0.0016577441220883282,-0.0018294307293088008,-0.00035475803272594364,0.00249415028204824,0.001317356550211751,0.00037717747605656876,-0.001057888766536907,none,False,False
54,1.0600000000000005,0.09775581658410712,0.054150686550016175,0.2555989503467019,0.09953262179875355,0.05234355690234981,0.2552337980627405,0.001776805214646432,-0.0018071296476663626,-0.00036515228396138966,0.002560486384410533,0.0014013869936843628,0.00038841760457283207,-0.0010309543424224228,none,False,False
55,1.0800000000000005,0.09588546834684208,0.05580416279733335,0.2559527894981476,0.09778462437936442,0.05402895803246282,0.25557733911202446,0.0018991560325223311,-0.0017752047648705305,-0.00037545038612313286,0.002626615423986733,0.0014892217150935577,0.0003992691833090834,-0.0009967703305138534,none,False,False
56,1.1000000000000005,0.09389134311045583,0.05742145286197341,0.2563165799044288,0.09591566155145813,0.05568845343180989,0.2559309559420491,0.0020243184410023013,-0.0017329994301635149,-0.00038562396237967755,0.0026925560376509267,0.0015808708906805322,0.0004096269035917554,-0.0009548169743579185,none,False,False
57,1.1200000000000006,0.0917711187632877,0.058992539160635724,0.2566903301324036,0.09392286014486365,0.05731267525999385,0.2562946869646664,0.00215174138157595,-0.0016798639006418703,-0.0003956431677372141,0.002758345013598414,0.001676319834800559,0.00041937063705791105,-0.0009045313491347802,none,False,False
