step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active
1,0.0,0.11706196759227896,0.010002014418055372,0.24860598390943056,0.11702116438719139,0.010002371411802463,0.24858416458402444,-4.080320508757784e-05,3.569937470915274e-07,-2.1819325406124968e-05,4.627215092399283e-05,0.047263502830037496,6.14537275942337e-05,-0.000443219197474016,none,False,False
2,0.02,0.11716534321831709,0.010002994858520789,0.24859572475376782,0.1170211643857438,0.010002788199220363,0.24858422354738247,-0.00014417883257329678,-2.0665930042587655e-07,-1.1501206385350349e-05,0.00014463698081259723,0.04718165159540239,5.9851639418070046e-05,-0.00038364339952351765,none,False,False
3,0.04,0.11729994045721873,0.010008672999654026,0.24858360355197642,0.11702116429547019,0.010005689023003821,0.24858463392999974,-0.0002787761617485396,-2.9839766502049586e-06,1.0303780233200666e-06,0.00027879403536440266,0.0470535610130104,5.759919836795154e-05,-0.0003106557687649618,none,False,False
4,0.06,0.11744727656656367,0.010022125674451538,0.24857194943537086,0.11702116335288582,0.010013512177872089,0.24858574068002443,-0.0004261132136778589,-8.613496579448765e-06,1.3791244653560408e-05,0.0004264233361617199,0.04688274236882862,5.493336743849904e-05,-0.00023862815844297153,none,False,False
5,0.08,0.11759568038347426,0.01004612567327086,0.24856218491556784,0.11702115863408241,0.010028646362674537,0.24858788172930837,-0.0005745217493918486,-1.7479310596323766e-05,2.5696813740538893e-05,0.0005753617062853669,0.046671536272370945,5.203257882848237e-05,-0.00017745173929458873,none,False,False
6,0.1,0.11773804603064694,0.010083171493942437,0.24855518435991308,0.11702114266149691,0.010053431012906748,0.24859138804081457,-0.0007169033691500348,-2.9740481035689034e-05,3.620368090148651e-05,0.0007184327688947115,0.04642152021689827,4.9032940290953255e-05,-0.00013347002221653328,none,False,False
7,0.12000000000000001,0.11787029541674858,0.010135532117006261,0.2485514968825528,0.11702110016845615,0.010090156627542358,0.24859658365602444,-0.0008491952482924253,-4.537548946390371e-05,4.508677347164758e-05,0.0008516010344689622,0.04613378255950737,4.6041009924444426e-05,-0.00011018966435250588,none,False,False
8,0.14,0.11799032756020367,0.010205295418887152,0.24855148375930172,0.11702100408752211,0.010141065083669474,0.24860378574234543,-0.0009693234726815547,-6.423033521767846e-05,5.230198304370659e-05,0.0009728561189014069,0.04580910662344788,4.3143559700834e-05,-0.00010885035834505402,none,False,False
9,0.16,0.11809730247025332,0.010294413827164615,0.24855540206977017,0.11702081082657054,0.010208349928877166,0.24861330464051826,-0.0010764916436827865,-8.60638982874487e-05,5.7902570748086246e-05,0.0010814776748535018,0.04544809411340977,4.0414899505205255e-05,-0.00012890501251927385,none,False,False
10,0.18,0.11819115485074541,0.010404744000456888,0.24856345468323748,0.1170204548945149,0.010294156637266126,0.24862544391202443,-0.0011706999562305087,-0.00011058736319076272,6.198922878694613e-05,0.0011775443163215562,0.045051247474337676,3.792226768042133e-05,-0.00016844026452345415,none,False,False
