step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active
1,0.0,-0.1929539812576334,0.010000934281920176,0.24858416458402458,-0.1929788356128086,0.010002371411802463,0.24858416458402444,-2.485435517518564e-05,1.437129882287183e-06,-1.3877787807814457e-16,2.489586940584401e-05,-0.24995091663467695,-0.00013859132610803318,0.0024058308348455246,none,False,False
2,0.02,-0.19295250308897965,0.009998068873289767,0.24858416458402463,-0.1929782152909336,0.010002371411802463,0.24858416458402444,-2.5712201953936864e-05,4.302538512695672e-06,-1.942890293094024e-16,2.6069698252439827e-05,-0.24995208710827885,-0.00012655672757002156,0.002144419220485185,none,False,False
3,0.04,-0.19294644034892428,0.009995501080926275,0.2485841645840248,-0.19297391031280858,0.010002371411802463,0.24858416458402444,-2.746996388430789e-05,6.8703308761883936e-06,-3.608224830031759e-16,2.831607956892139e-05,-0.24995000891355149,-0.00010666664825749251,0.001750432372285771,none,False,False
4,0.06,-0.19293262777088346,0.009994454736392933,0.24858416458402463,-0.1929623380221836,0.010002371411802463,0.24858416458402444,-2.9710251300135715e-05,7.91667540953056e-06,-1.942890293094024e-16,3.074691499739578e-05,-0.24994111219387177,-7.993485924156871e-05,0.0012631482251874264,none,False,False
5,0.08,-0.1929078182134975,0.00999566587380794,0.24858416458402474,-0.1929400260128086,0.010002371411802463,0.24858416458402444,-3.220779931109585e-05,6.705537994523142e-06,-3.0531133177191805e-16,3.289842817308784e-05,-0.24992169918426851,-4.81381157912018e-05,0.0007266639100928562,none,False,False
6,0.1,-0.1928687109910924,0.009999414380133218,0.24858416458402463,-0.1929036110034336,0.010002371411802463,0.24858416458402444,-3.4900012341188e-05,2.957031669244964e-06,-1.942890293094024e-16,3.5025060995064554e-05,-0.24988801569739214,-1.3552849457994266e-05,0.0001858255730225416,none,False,False
7,0.12000000000000001,-0.1928119814947024,0.010005582975683944,0.24858416458402455,-0.19284983771280859,0.010002371411802463,0.24858416458402444,-3.785621810617479e-05,-3.2115638814809305e-06,-1.1102230246251565e-16,3.799220172439482e-05,-0.2498363190941588,2.1318191837091238e-05,-0.00031753339654307284,none,False,False
8,0.14,-0.1927343114640021,0.01001373699562605,0.24858416458402455,-0.1927755577346836,0.010002371411802463,0.24858416458402444,-4.1246270681499775e-05,-1.1365583823587724e-05,-1.1102230246251565e-16,4.2783540535847975e-05,-0.24976293933760807,5.4006839417027747e-05,-0.0007477655638085381,none,False,False
9,0.16,-0.19263241881116278,0.010023217264781926,0.24858416458402469,-0.19267772841280859,0.010002371411802463,0.24858416458402444,-4.530960164580988e-05,-2.0845852979463342e-05,-2.498001805406602e-16,4.987493947608737e-05,-0.2496643305391902,8.230852477090212e-05,-0.0010777905854867334,none,False,False
10,0.18,-0.19250308576441735,0.010033237937960201,0.2485841645840246,-0.1925534117159336,0.010002371411802463,0.24858416458402444,-5.032595151624464e-05,-3.086652615773809e-05,-1.6653345369377348e-16,5.903764759085287e-05,-0.24953711138185866,0.00010446440847574929,-0.0012905659461821283,none,False,False
11,0.19999999999999998,-0.19234318421267071,0.010042981482028968,0.2485841645840246,-0.1923997731128086,0.010002371411802463,0.24858416458402444,-5.658890013787721e-05,-4.061007022650512e-05,-1.6653345369377348e-16,6.965257656839636e-05,-0.24937809374648667,0.00011928678700010263,-0.0013796144578643256,none,False,False
12,0.21999999999999997,-0.19214969738742918,0.010051683904765104,0.2485841645840247,-0.1922140804471836,0.010002371411802463,0.24858416458402444,-6.438305975442482e-05,-4.931249296264047e-05,-2.7755575615628914e-16,8.109809088709982e-05,-0.24918429965794836,0.00012622342303378746,-0.0013486546216320105,none,False,False
