step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active
1,0.0,0.057021164387191264,0.010002371411802219,0.24858416458402482,0.05702116438719139,0.010002371411802463,0.24858416458402444,1.249000902703301e-16,2.445960101127298e-16,-3.885780586188048e-16,4.75836262124444e-16,-7.479730696657616e-22,-3.933705483971411e-20,1.0043331443545022e-21,none,False,False
2,0.02,0.05705521402191409,0.010003012069573639,0.24858416458402463,0.05703358345919139,0.010002371411802463,0.24858416458402444,-2.1630562722696478e-05,-6.406577711757372e-07,-1.942890293094024e-16,2.1640048199582976e-05,3.404891964323786e-05,6.447342720981677e-07,-7.149101127919293e-08,none,False,False
3,0.04,0.05718309087997555,0.010005225405862989,0.24858416458402488,0.05711751869119139,0.010002371411802463,0.24858416458402444,-6.557218878416177e-05,-2.8539940605254444e-06,-4.440892098500626e-16,6.563426867150471e-05,0.00016192324757586109,2.8724942473923973e-06,-3.2444420080746423e-07,none,False,False
4,0.06,0.05746022133322118,0.010009563951375457,0.2485841645840249,0.05733640688319139,0.010002371411802463,0.24858416458402444,-0.00012381445002979108,-7.192539572993539e-06,-4.718447854656915e-16,0.00012402318598426953,0.0004390485536335909,7.240382766554278e-06,-8.390426665551008e-07,none,False,False
5,0.08,0.0579368377248952,0.010016272489710164,0.2485841645840248,0.05774520611519139,0.010002371411802463,0.24858416458402444,-0.00019163160970380594,-1.3901077907701315e-05,-3.608224830031759e-16,0.00019213514463696586,0.0009156565998426543,1.3996496983148822e-05,-1.6733972766097466e-06,none,False,False
6,0.1,0.058657384609718984,0.010025353567432525,0.2485841645840246,0.05839076438719139,0.010002371411802463,0.24858416458402444,-0.0002666202225275957,-2.2982155630062173e-05,-1.6653345369377348e-16,0.00026760889846578166,0.001636191466005144,2.3146091178971164e-05,-2.874994031708344e-06,none,False,False
7,0.12000000000000001,0.0596601328417144,0.010036625929029822,0.24858416458402469,0.05931218825919139,0.010002371411802463,0.24858416458402444,-0.00034794458252300486,-3.425451722735909e-05,-2.498001805406602e-16,0.00034962666439730764,0.0026389235136298687,3.4510718060695736e-05,-4.49308138072381e-06,none,False,False
8,0.14,0.06097696569450706,0.010049775543701652,0.24858416458402469,0.06054121149119139,0.010002371411802463,0.24858416458402444,-0.0004357542033156664,-4.740413189918864e-05,-2.498001805406602e-16,0.00043832508190655347,0.003955735401451323,4.777985298875618e-05,-6.589147665488185e-06,none,False,False
9,0.16,0.06263330614474738,0.010064399255857727,0.2485841645840246,0.06210256368319139,0.010002371411802463,0.24858416458402444,-0.0005307424615559886,-6.202784405526414e-05,-1.6653345369377348e-16,0.0005343547641189832,0.00561204930696138,6.255489744166715e-05,-9.24311112574503e-06,none,False,False
10,0.18,0.06464815892788213,0.010080041345510191,0.24858416458402455,0.06401433891519138,0.010002371411802463,0.24858416458402444,-0.0006338200126907445,-7.766993370772815e-05,-1.1102230246251565e-16,0.0006385612163993821,0.007626868978549891,7.838576031262261e-05,-1.2553686408581765e-05,none,False,False
11,0.19999999999999998,0.06703424498253505,0.010096223455850704,0.24858416458402469,0.06628836438719139,0.010002371411802463,0.24858416458402444,-0.0007458805953436537,-9.385204404824092e-05,-2.498001805406602e-16,0.0007517619760816826,0.010012914239591861,9.480044536810985e-05,-1.6632419670635418e-05,none,False,False
12,0.21999999999999997,0.06979820944631256,0.010112468454746809,0.2485841645840249,0.06893056905919138,0.010002371411802463,0.24858416458402444,-0.0008676403871211713,-0.00011009704294434597,-4.718447854656915e-16,0.0008745977362358453,0.01277682910203732,0.00011132824153925209,-2.159191725626704e-05,none,False,False
13,0.23999999999999996,0.07294088747411807,0.010128318860927306,0.24858416458402463,0.07194135229119138,0.010002371411802463,0.24858416458402444,-0.0009995351829266974,-0.00012594744912484274,-1.942890293094024e-16,0.0010074390015526306,0.01591944774652482,0.0001275172268992845,-2.7529672554438004e-05,none,False,False
