step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,solver_status,fail_reason,fallback_applied,hold_active,u_a_1,u_a_2,u_a_3,u_a_4,u_a_5,u_a_6,u_a_7,u_a_8,u_a_9,u_a_10,u_a_11,u_a_12,u_a_13,u_a_14,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6,qdd_7,qdd_8,qdd_9,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,cable_force_1,cable_force_2,cable_force_3,cable_force_4,cable_force_5,cable_force_6,cable_force_7,cable_force_8,cable_length_1,cable_length_2,cable_length_3,cable_length_4,cable_length_5,cable_length_6,cable_length_7,cable_length_8,arm_torque_1,arm_torque_2,arm_torque_3,arm_torque_4,arm_torque_5,arm_torque_6
1.0,0.0,0.057021164387191264,0.010002371411802225,0.24858416458402482,0.05702116438719139,0.010002371411802463,0.24858416458402444,1.249000902703301e-16,2.3765711620882257e-16,-3.885780586188048e-16,4.723069394728281e-16,-2.1968391236329727e-18,5.09956043596355e-20,4.156773776817837e-18,min_task,none,false,false,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,2.0735974849677033e-15,-3.313528487868663e-14,-8.363144271006783e-16,-1.881630113489805e-16,1.2955927754417228e-15,-6.164120721898534e-18,2.978444668511691e-20,3.018528705767232e-20,6.018457163984425e-23,-2.0468876040646248e-14,-1.6743508116131942e-13,-2.299887068403821e-13,-2.4679307216601758e-14,9.732224671735393e-14,-1.503612515903958e-17,-2.1968391236329727e-18,5.09956043596355e-20,4.156773776817837e-18,7.337162378668337e-19,0.58,0.92,-8.007163875882442e-18,2.3806541987077465e-17,2.7146528757908912e-18,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,2.0735974849677033e-15,-3.313528487868663e-14,-8.363144271006783e-16,-1.881630113489805e-16,1.2955927754417228e-15,-6.164120721898534e-18
2.0,0.02,0.057039997054536176,0.010002463073336248,0.24858375938167673,0.05702578371256639,0.010002371411802463,0.24858416458402444,-1.4213341969784854e-05,-9.166153378502295e-08,4.0520234770302643e-07,1.4219412109134731e-05,-2.764140985479714e-06,-6.924098379462187e-08,5.921724348291527e-06,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.002966469373054228,-0.04891658025789867,0.01358053599500477,-0.0005464609530244142,0.00016743753227464712,-2.8452798459292317e-05,-4.1672339337409834e-17,-1.0085160842670586e-16,-1.1277601799589524e-22,0.002781808869761014,-0.1507524569078116,-0.04084273997784815,-0.0001597374841725705,0.0006654082415120114,4.415045128408998e-07,-2.764140985479714e-06,-6.924098379462187e-08,5.921724348291527e-06,8.713602044948953e-06,0.5799587969998967,0.9199869100529247,-2.546322045043656e-06,7.783709569362536e-07,2.0055203258489286e-06,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.2020835315286125,1.2020835315286125,1.202079622443204,1.202079622443204,1.2020795245174214,1.2020795245174214,1.2020834336031483,1.2020834336031483,0.002966469373054228,-0.04891658025789867,0.01358053599500477,-0.0005464609530244142,0.00016743753227464712,-2.8452798459292317e-05
3.0,0.04,0.05710871667328522,0.010002764330351209,0.24858246097749548,0.05705728379919139,0.010002371411802463,0.24858416458402444,-5.143287409383607e-05,-3.929185487458464e-07,1.7036065289577351e-06,5.146258055853641e-05,-1.2798627684179522e-05,-3.1223566917507955e-07,2.634358346691728e-05,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.005324529616909042,-0.08906989310594716,0.024936134109140157,-0.0009968850972864867,0.00030031463477773345,-5.234211780158624e-05,9.197848634784627e-06,2.304036199476253e-07,-0.0007881960363220755,0.0038127847690326636,-0.2733038456411103,-0.07040927347261718,0.0003078440656839946,0.000470063170634434,-0.0003576378845150128,-1.2798627684179522e-05,-3.1223566917507955e-07,2.634358346691728e-05,3.894501105881394e-05,0.579809183674294,0.9199401710042535,-1.1523241336332693e-05,3.41623175564046e-06,9.125295968746068e-06,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.2020907989575833,1.2020907989575833,1.202072698970111,1.202072698970111,1.2020722573147233,1.2020722573147233,1.2020903573088457,1.2020903573088457,0.005324529616909042,-0.08906989310594716,0.024936134109140157,-0.0009968850972864867,0.00030031463477773345,-5.234211780158624e-05
4.0,0.06,0.05725325121644406,0.010003340994008694,0.24858012866852747,0.05714028307831639,0.010002371411802463,0.24858416458402444,-0.00011296813812767398,-9.695822062311121e-07,4.035915496969356e-06,0.0001130443671112654,-3.379057206583829e-05,-7.986701167721871e-07,6.645864894396137e-05,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.007218591221309674,-0.12248258915998693,0.03451308412164056,-0.0013717862371710166,0.0004124451014184178,-7.261286932666365e-05,4.258821847279918e-05,1.0389833367005374e-06,-0.003506395577636731,0.0034248949122714528,-0.3746100717700401,-0.09273009690476372,0.0011557752491270835,9.353860594095718e-05,-0.001006168768251355,-3.379057206583829e-05,-7.986701167721871e-07,6.645864894396137e-05,9.873804436830244e-05,0.5794960673319105,0.9198440324899737,-2.9636322528899203e-05,8.575411316081292e-06,2.3602431740099823e-05,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.2021059873559314,1.2021059873559314,1.2020582003063567,1.2020582003063567,1.202057070233337,1.202057070233337,1.2021048573278352,1.2021048573278352,0.007218591221309674,-0.12248258915998693,0.03451308412164056,-0.0013717862371710166,0.0004124451014184178,-7.261286932666365e-05
5.0,0.08,0.0574954165396099,0.010004250481359615,0.24857681746104424,0.057297001571191386,0.010002371411802463,0.24858416458402444,-0.00019841496841851297,-1.8790695571514748e-06,7.347122980200238e-06,0.00019855984188905444,-6.879008755073277e-05,-1.5699618053990487e-06,0.0001285667486167528,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.008758323491018887,-0.1505794637083623,0.04262782380660403,-0.001685656822853205,0.000511360181948135,-8.990538746871857e-05,0.00011244020071089864,2.6576237864233008e-06,-0.0088458091804818,0.0020321454822922157,-0.4595541142126003,-0.11064166523028655,0.0022094807329516913,-0.00011942444999687308,-0.0018762487463661467,-6.879008755073277e-05,-1.5699618053990487e-06,0.0001285667486167528,0.00019216265453586725,0.5789736087210235,0.9196859185768856,-5.8665179069210863e-05,1.6748958547796604e-05,4.697433016263422e-05,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.202131284165804,1.202131284165804,1.2020340004314432,1.2020340004314432,1.202031777873032,1.202031777873032,1.2021290617872562,1.2021290617872562,0.008758323491018887,-0.1505794637083623,0.04262782380660403,-0.001685656822853205,0.000511360181948135,-8.990538746871857e-05
6.0,0.1,0.05785363200934407,0.01000555617959781,0.24857268303378,0.05754733743406639,0.010002371411802463,0.24858416458402444,-0.0003062945752776783,-3.1847677953462245e-06,1.1481550244440974e-05,0.0003065262396377498,-0.00012033963118716265,-2.645169778019136e-06,0.00021255669268220207,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.010025703561488727,-0.17437009224909036,0.04950669980174279,-0.0019488767108756674,0.0006010095316527739,-0.00010466156173582839,0.00022890323492418766,5.224144143721128e-06,-0.017112549515504085,9.931785199823667e-06,-0.5315857474205845,-0.12614915673115018,0.0033563493277698705,-2.1060902694399578e-05,-0.0029090753940259647,-0.00012033963118716265,-2.645169778019136e-06,0.00021255669268220207,0.00032006210497169965,0.5782032041771907,0.9194552743443376,-9.964176952429691e-05,2.8387675240528132e-05,8.018840864699995e-05,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.2021685030436564,1.2021685030436564,1.2019983175112634,1.2019983175112634,1.2019945700273482,1.2019945700273482,1.2021647560902575,1.2021647560902575,0.010025703561488727,-0.17437009224909036,0.04950669980174279,-0.0019488767108756674,0.0006010095316527739,-0.00010466156173582839
7.0,0.12000000000000001,0.05834342980292811,0.010007328075375403,0.2485679235980625,0.05790894350319139,0.010002371411802463,0.24858416458402444,-0.00043448629973671937,-4.9566635729400566e-06,1.6240985961923915e-05,0.00043481798812571807,-0.00019056656229657863,-4.026088600353204e-06,0.0003163819234946878,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.011082705860697898,-0.19457657222211602,0.05531363934657791,-0.002169085555889876,0.0006832589047730492,-0.00011719039325639389,0.00040043750351831175,8.801964450646703e-06,-0.02829181676587042,-0.002318982205218829,-0.5931632974243592,-0.14067771847281907,0.004521613426006452,0.0004271324366353005,-0.004053610567443032,-0.00019056656229657863,-4.026088600353204e-06,0.0003163819234946878,0.00048075199951778784,0.5771520525398175,0.9191427479462841,-0.00015298931612114887,4.3957209299681596e-05,0.0001236962459281785,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.2022191528901611,1.2022191528901611,1.2019496520331767,1.2019496520331767,1.201943942597251,1.201943942597251,1.2022134447341228,1.2022134447341228,0.011082705860697898,-0.19457657222211602,0.05531363934657791,-0.002169085555889876,0.0006832589047730492,-0.00011719039325639389
8.0,0.14,0.05897782200217212,0.010009638075561595,0.24856274551800872,0.05839730383981639,0.010002371411802463,0.24858416458402444,-0.0005805181623557351,-7.266663759131556e-06,2.1419066015715416e-05,0.0005809586195384776,-0.00028125009031751717,-5.701695723457392e-06,0.0004365292633091144,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.011976652213211354,-0.21172168496385588,0.060169460352559344,-0.002352089198574743,0.0007587893297580611,-0.00012771255815965474,0.0006341219275495174,1.3397055979768713e-05,-0.042111208674803606,-0.004689106170149457,-0.6460567414041204,-0.15524259047426198,0.005655111169691588,0.0012040347109996362,-0.005265746511019922,-0.00028125009031751717,-5.701695723457392e-06,0.0004365292633091144,0.0006706768532621819,0.5757921282584378,0.9187396083090908,-0.00021864753499755834,6.39586604147933e-05,0.00017754203583608515,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.2022844881438888,1.2022844881438888,1.2018867424186146,1.2018867424186146,1.2018786470236957,1.2018786470236957,1.202276395427147,1.202276395427147,0.011976652213211354,-0.21172168496385588,0.060169460352559344,-0.002352089198574743,0.0007587893297580611,-0.00012771255815965474
9.0,0.16,0.05976756998315795,0.010012554225055781,0.24855734399707963,0.05902581027519139,0.010002371411802463,0.24858416458402444,-0.0007417597079665619,-1.018281325331806e-05,2.6820586944809044e-05,0.00074231428514643,-0.0003938703001309994,-7.652026990099916e-06,0.0005684735964189413,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.012743805780112145,-0.2261893936243528,0.06416532722880587,-0.002502443296704333,0.000827634799908586,-0.00013639082146634947,0.0009358769425693804,1.8972739964974434e-05,-0.05810311193166588,-0.006893163862795804,-0.6915541248154288,-0.17056203971606193,0.0067248015826687465,0.0022564168195464266,-0.006508550489009212,-0.0003938703001309994,-7.652026990099916e-06,0.0005684735964189413,0.0008850212394676437,0.5740994382122828,0.9182373311070556,-0.0002961954111134927,8.893070889420692e-05,0.00024145209900443802,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.2023655459065128,1.2023655459065128,1.2018085328097903,1.2018085328097903,1.2017976528097398,1.2017976528097398,1.2023546709468242,1.2023546709468242,0.012743805780112145,-0.2261893936243528,0.06416532722880587,-0.002502443296704333,0.000827634799908586,-0.00013639082146634947
10.0,0.18,0.06072138692957741,0.010016135604704888,0.24855189314534662,0.05980583895556639,0.010002371411802463,0.24858416458402444,-0.0009155479740110203,-1.376419290242438e-05,3.227143867781668e-05,0.0009162199471067388,-0.0005296445085074489,-9.851486705154489e-06,0.000707107485382033,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.013411762279801683,-0.23826619925191855,0.06737210926066999,-0.0026238191380019787,0.0008895027759173668,-0.00014335072577719696,0.0013106276385542901,2.5462583383974264e-05,-0.07566522146358333,-0.008780509014566134,-0.7306013760933942,-0.18713121681431658,0.00771364150316501,0.0035144032947480365,-0.007752870117138414,-0.0005296445085074489,-9.851486705154489e-06,0.000707107485382033,0.001118266957074651,0.5720534787501028,0.9176273082313187,-0.0003849734197161831,0.00011944258251935961,0.0003149261455855725,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.2024631737054674,1.2024631737054674,1.2017141494087056,1.2017141494087056,1.2017001194655321,1.2017001194655321,1.2024491525017642,1.2024491525017642,0.013411762279801683,-0.23826619925191855,0.06737210926066999,-0.0026238191380019787,0.0008895027759173668,-0.00014335072577719696
