step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,fail_reason,fallback_applied,hold_active
1,0.0,0.057021164387191264,0.010002371411802219,0.24858416458402482,0.05702116438719139,0.010002371411802463,0.24858416458402444,1.249000902703301e-16,2.445960101127298e-16,-3.885780586188048e-16,4.75836262124444e-16,-7.479730696657616e-22,-3.933705483971411e-20,1.0043331443545022e-21,none,False,False
2,0.02,0.05703391740108467,0.010002611349291281,0.24858416458402502,0.05702578371256639,0.010002371411802463,0.24858416458402444,-8.13368851827756e-06,-2.399374888183148e-07,-5.828670879282072e-16,8.137226733408665e-06,1.2752746175277329e-05,2.414636867428914e-07,-2.6765459312472713e-08,none,False,False
3,0.04,0.05708221086471399,0.010003447736506922,0.2485841645840249,0.05705728379919139,0.010002371411802463,0.24858416458402444,-2.492706552260221e-05,-1.0763247044586616e-06,-4.718447854656915e-16,2.4950291991027518e-05,6.104525682586007e-05,1.0832836114987625e-06,-1.2204076843173527e-07,none,False,False
4,0.06,0.05718792093231746,0.010005106200799406,0.2485841645840246,0.05714028307831639,0.010002371411802463,0.24858416458402444,-4.76378540010744e-05,-2.7347889969431965e-06,-1.6653345369377348e-16,4.771628867258519e-05,0.00016675337962397403,2.752834796400168e-06,-3.1647545256409584e-07,none,False,False
5,0.08,0.05737168004130028,0.010007704523119184,0.24858416458402496,0.057297001571191386,0.010002371411802463,0.24858416458402444,-7.467847010889095e-05,-5.3331113167211924e-06,-5.273559366969494e-16,7.48686581562743e-05,0.0003505093479948695,5.369061055187139e-06,-6.304630344857642e-07,none,False,False
6,0.1,0.057652625952545916,0.010011273942780435,0.24858416458402469,0.05754733743406639,0.010002371411802463,0.24858416458402444,-0.0001052885184795252,-8.902530977971529e-06,-2.498001805406602e-16,0.00010566421902151675,0.0006314508017961248,8.963891684811728e-06,-1.0761039580751002e-06,none,False,False
7,0.12000000000000001,0.05804821916088107,0.010015778369452224,0.2485841645840245,0.05790894350319139,0.010002371411802463,0.24858416458402444,-0.0001392756576896817,-1.3406957649760368e-05,-5.551115123125783e-17,0.00013991946018447848,0.0010270381710339317,1.3501605942959888e-05,-1.6598798031251249e-06,none,False,False
8,0.14,0.05857411723014654,0.010021131329394754,0.24858416458402455,0.05839730383981639,0.010002371411802463,0.24858416458402444,-0.00017681339033015497,-1.875991759229048e-05,-1.1102230246251565e-16,0.0001778058196688547,0.001552928981740666,1.889594571189966e-05,-2.3855719592135778e-06,none,False,False
9,0.16,0.059244096136961404,0.010027210609550941,0.24858416458402455,0.05902581027519139,0.010002371411802463,0.24858416458402444,-0.00021828586177001508,-2.4839197748477773e-05,-1.1102230246251565e-16,0.0002196945679653143,0.002222899172619284,2.5024914192321656e-05,-3.2569729572530506e-06,none,False,False
10,0.18,0.06007001009888199,0.010033870660260987,0.2485841645840248,0.05980583895556639,0.010002371411802463,0.24858416458402444,-0.000264171143315603,-3.149924845852366e-05,-3.608224830031759e-16,0.0002660424695685346,0.0030488029019826207,3.1743299594350736e-05,-4.280008073795298e-06,none,False,False
