step,mode_id,tip_x,tip_y,tip_z,target_x,target_y,target_z,tip_err,a2d_rank,sigma_min,tension_feasible,residual_x,residual_y,residual_z,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,qm_1,qm_2,qm_3,qm_4,qm_5,qm_6,L_1,Tfeas_1,L_2,Tfeas_2,L_3,Tfeas_3,L_4,Tfeas_4,L_5,Tfeas_5,L_6,Tfeas_6,L_7,Tfeas_7,L_8,Tfeas_8
1,3,0.0570355193772182,-0.00371489804936866,0.285124963237541,0.2,0.15,0.69,0.456060202161373,2,0,1,0,8.88178419700125e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405,1.20208152801713,5.00000000040405
2,3,0.0965235556582657,0.00138506670491156,0.293271778237645,0.2,0.15,0.69,0.436104408226553,3,0.000821454791247375,0,0,0,-0.0117206368553696,-0.015,0.015,0.00116391733549471,-0.00116391733549471,-0.045,0.045,0.00100860600944008,-0.045,0.00297833802093474,-0.00116391733549471,-0.045,0.045,0.00100860600944008,-0.045,0.00297833802093474,1.20227321423405,5,1.20227321423405,5,1.18086849408173,5.17644373954685,1.18086849408173,5.17644373954685,1.20226450132962,5.00003692590101,1.20226450132962,5.00003692590101,1.2232949000577,5,1.2232949000577,5
3,3,0.135184290368372,0.00922645226450107,0.305846232062601,0.2,0.15,0.69,0.414237112506341,3,0.00166431574056194,0,-1.77635683940025e-15,-8.88178419700125e-16,-0.0239605037963701,-0.03,0.03,0.00235931653708338,-0.00237153766910607,-0.09,0.09,-0.00130998943584739,-0.0799441626906485,0.00247735330775987,-0.00237153766910607,-0.09,0.09,-0.00130998943584739,-0.0799441626906485,0.00247735330775987,1.20284834354537,5,1.20284834354537,5,1.15965581954916,5.35272671175648,1.15965581954916,5.35272671175648,1.20281303711479,5.00015278063145,1.20281303711479,5.00015278063145,1.24450862592789,5.00000000000006,1.24450862592789,5.00000000000006
4,3,0.172658569034471,0.0209143493314956,0.322354003750774,0.2,0.15,0.69,0.390607523754779,3,0.00288504610277766,0,2.66453525910038e-15,-8.88178419700125e-16,-0.0419126508746249,-0.045,0.045,0.0040931329412374,-0.00413012689689947,-0.135,0.135,-0.00449422592697643,-0.100156294408582,0.00161169990734356,-0.00413012689689947,-0.135,0.135,-0.00449422592697643,-0.100156294408582,0.00161169990734356,1.2038129175229,5.00000000000063,1.2038129175229,5.00000000000063,1.13844402582605,5.52869184810382,1.13844402582605,5.52869184810382,1.20372111048753,5.000406458938,1.20372111048753,5.000406458938,1.2657232131431,5.00000000001617,1.2657232131431,5.00000000001617
5,3,0.208598614924057,0.0350023223169498,0.342730019338924,0.2,0.15,0.69,0.365916440624702,3,0.00444706672454507,0,2.39808173319034e-14,2.04281036531029e-14,-0.0651983270091388,-0.06,0.06,0.00631638563197017,-0.00639635748351523,-0.18,0.18,-0.0076962757402531,-0.11239543813645,0.00076932825497915,-0.00639635748351523,-0.18,0.18,-0.0076962757402531,-0.11239543813645,0.00076932825497915,1.20517192024589,5.0000000003161,1.20517192024589,5.0000000003161,1.11723374941851,5.70418727683993,1.11723374941851,5.70418727683993,1.20498322835121,5.00085637570831,1.20498322835121,5.00085637570831,1.28693927095149,5.00000000000118,1.28693927095149,5.00000000000118
6,3,0.239634534873544,0.0490228562991698,0.365246298636155,0.2,0.15,0.69,0.342391948582524,3,0.00619218971025302,0,8.88178419700125e-16,-2.66453525910038e-15,-0.0916296510880358,-0.075,0.0734109986942594,0.00880708048788283,-0.00895337438856358,-0.222487433242688,0.221619582815062,-0.0106296983819462,-0.120198197129316,2.07964295245399e-05,-0.00895337438856358,-0.222487433242688,0.221619582815062,-0.0106296983819462,-0.120198197129316,2.07964295245399e-05,1.2079448993643,5.00000000000003,1.2079448993643,5.00000000000003,1.09715141059783,5.87071714004353,1.09715141059783,5.87071714004353,1.20538127082578,5.01193304782469,1.20538127082578,5.01193304782469,1.30703239063957,5.0000000000011,1.30703239063957,5.0000000000011
7,3,0.260374641021265,0.0613133196275303,0.385773601483392,0.2,0.15,0.69,0.322589717920955,3,0.00797251117517438,0,-8.88178419700125e-16,0,-0.119098238761956,-0.09,0.084286269327806,0.011356133498382,-0.0115949017441855,-0.256782233329009,0.255068335159458,-0.0132381366206195,-0.125551910198756,-0.00063130072024129,-0.0115949017441855,-0.256782233329009,0.255068335159458,-0.0132381366206195,-0.125551910198756,-0.00063130072024129,1.21266238857385,5,1.21266238857385,5,1.07887547909806,6.02398448100294,1.07887547909806,6.02398448100294,1.20413274100576,5.04069433260198,1.20413274100576,5.04069433260198,1.32533521315348,5,1.32533521315348,5
8,3,0.274543392458018,0.0720903317825454,0.404741383554965,0.2,0.15,0.69,0.304957557730645,3,0.0096853912732176,0,8.88178419700125e-16,-2.66453525910038e-15,-0.14609923871219,-0.105,0.0932511999253589,0.0138180602694283,-0.0141760679169649,-0.285776111105557,0.283391703382846,-0.0155779544941608,-0.129635101274475,-0.00120895285584733,-0.0141760679169649,-0.285776111105557,0.283391703382846,-0.0155779544941608,-0.129635101274475,-0.00120895285584733,1.218840913157,5,1.218840913157,5,1.06197648339874,6.16809766269422,1.06197648339874,6.16809766269422,1.20165842169917,5.08398797798794,1.20165842169917,5.08398797798794,1.34229731532697,5,1.34229731532697,5
9,3,0.28402192379005,0.0815441131385772,0.422374132978085,0.2,0.15,0.69,0.288737764801552,3,0.0112889736914745,0,3.5527136788005e-14,-1.59872115546023e-14,-0.171996661380138,-0.12,0.100702464411262,0.0161332880218864,-0.0166363853022519,-0.310927696580418,0.308066015812456,-0.0176943881187583,-0.132943613283837,-0.00172716771275931,-0.0166363853022519,-0.310927696580418,0.308066015812456,-0.0176943881187583,-0.132943613283837,-0.00172716771275931,1.2261703731686,5.00000000000333,1.2261703731686,5.00000000000333,1.04618815670089,6.30578100089228,1.04618815670089,6.30578100089228,1.198225502584,5.13990938445483,1.198225502584,5.13990938445483,1.35820781909761,5.00000000010035,1.35820781909761,5.00000000010035
10,3,0.289938704748584,0.0898403654927583,0.438819717921128,0.2,0.15,0.69,0.273495313197721,3,0.0127680573065635,0,0,0,-0.196540094899863,-0.135,0.106923695426899,0.018279999709304,-0.0189524965138993,-0.333110165917982,0.329947657793544,-0.0196219277084795,-0.135729762956762,-0.0021963970476643,-0.0189524965138993,-0.333110165917982,0.329947657793544,-0.0196219277084795,-0.135729762956762,-0.0021963970476643,1.23442929405915,5.00000000000008,1.23442929405915,5.00000000000008,1.03132413684205,6.43907628824348,1.03132413684205,6.43907628824348,1.19402686766534,5.20715842537877,1.19402686766534,5.20715842537877,1.37327577984361,5.00000000000003,1.37327577984361,5.00000000000003
11,3,0.29304204621673,0.0971233254858134,0.454188882227118,0.2,0.15,0.69,0.258958777293165,3,0.0141202629441196,0,-8.88178419700125e-16,-2.66453525910038e-15,-0.219668523640235,-0.15,0.112129738490252,0.0202546296030218,-0.0211190664045648,-0.352902072707504,0.349588918422155,-0.0213871640882348,-0.138137307347134,-0.00262423837403761,-0.0211190664045648,-0.352902072707504,0.349588918422155,-0.0213871640882348,-0.138137307347134,-0.00262423837403761,1.24345109164107,5.00000000000006,1.24345109164107,5.00000000000006,1.01724606760758,6.56961751959004,1.01724606760758,6.56961751959004,1.1892105283765,5.28480719466222,1.1892105283765,5.28480719466222,1.38766088654317,5.00000000000003,1.38766088654317,5.00000000000003
12,3,0.293861917629736,0.103518656148563,0.468571136550671,0.2,0.15,0.69,0.24495166150861,3,0.0153495101941375,0,-1.77635683940025e-15,1.77635683940025e-15,-0.241417331628591,-0.165,0.11648892189168,0.0220626588578691,-0.0231397692702438,-0.370713794321509,0.36737213598246,-0.0230109919756285,-0.140254671541219,-0.00301642932602283,-0.0231397692702438,-0.370713794321509,0.36737213598246,-0.0230109919756285,-0.140254671541219,-0.00301642932602283,1.25310655292419,5,1.25310655292419,5,1.00384761352713,6.69877171040031,1.00384761352713,6.69877171040031,1.1838941462683,5.37218935275116,1.1838941462683,5.37218935275116,1.40148897654094,5.00000000000001,1.40148897654094,5.00000000000001
13,3,0.292791462453939,0.109135970767755,0.482042320668214,0.2,0.15,0.69,0.231357992692054,3,0.0164626866880275,0,-8.88178419700125e-16,-8.88178419700125e-16,-0.261870398684142,-0.18,0.120136116703848,0.0237139040920904,-0.0250226724224728,-0.386851098753806,0.383575864305485,-0.0245101374577295,-0.142139393654624,-0.00337744163719979,-0.0250226724224728,-0.386851098753806,0.383575864305485,-0.0245101374577295,-0.142139393654624,-0.00337744163719979,1.26329333649855,5,1.26329333649855,5,0.991045160927885,6.8277230929772,0.991045160927885,6.8277230929772,1.17817346463437,5.46883841621741,1.17817346463437,5.46883841621741,1.41486121432868,5,1.41486121432868,5
14,3,0.290132486267155,0.114070994812212,0.494668657941491,0.2,0.15,0.69,0.218103396775156,3,0.0174678734164278,0,0,8.88178419700125e-16,-0.281134244282826,-0.195,0.123181146980876,0.0252199957808903,-0.0267777601042396,-0.401550460201254,0.398411046633566,-0.0258982132604948,-0.143830587614001,-0.00371085166707512,-0.0267777601042396,-0.401550460201254,0.398411046633566,-0.0258982132604948,-0.143830587614001,-0.00371085166707512,1.27392912051069,5,1.27392912051069,5,0.978771892743296,6.95752876201535,0.978771892743296,6.95752876201535,1.17212772108794,5.5744499783394,1.17212772108794,5.5744499783394,1.42786007038632,5,1.42786007038632,5
15,3,0.286122832602015,0.11840741253301,0.50650913732821,0.2,0.15,0.69,0.205144170188411,3,0.0183733830512815,0,8.88178419700125e-16,-1.77635683940025e-15,-0.299323756411262,-0.21,0.125714550090725,0.0265930021851069,-0.0284155764641555,-0.415000178843394,0.412042348983627,-0.0271864604820796,-0.145355804248976,-0.00401958147046162,-0.0284155764641555,-0.415000178843394,0.412042348983627,-0.0271864604820796,-0.145355804248976,-0.00401958147046162,1.28494687779694,5,1.28494687779694,5,0.966973778644903,7.08915824481683,0.966973778644903,7.08915824481683,1.16582335930573,5.68885734000773,1.16582335930573,5.68885734000773,1.44055346838506,5,1.44055346838506,5
16,3,0.280953846696513,0.122218447177794,0.517617020109622,0.2,0.15,0.69,0.192460987548287,3,0.0191872429951258,0,4.88498130835069e-14,-5.50670620214078e-14,-0.316554312473564,-0.225,0.127811696987626,0.0278446815371428,-0.0299464823391351,-0.427353749432369,0.424601497737037,-0.0283842810616177,-0.146735038726402,-0.0043060615691368,-0.0299464823391351,-0.427353749432369,0.424601497737037,-0.0283842810616177,-0.146735038726402,-0.0043060615691368,1.29629149037339,5.00000000005086,1.29629149037339,5.00000000005086,0.955606742959612,7.22352336400405,0.955606742959612,7.22352336400405,1.15931669421148,5.81201547934867,1.15931669421148,5.81201547934867,1.45299779019172,5.00000000004597,1.45299779019172,5.00000000004597
17,3,0.274782044181252,0.125568217524743,0.528040853540784,0.2,0.15,0.69,0.180055633759799,3,0.0199169290866663,0,0,1.77635683940025e-15,-0.332937548259477,-0.24,0.12953583584282,0.0289860897588103,-0.0313802597169426,-0.438738715702948,0.436196015102937,-0.0294996279574148,-0.147983184263817,-0.00457234443537177,-0.0313802597169426,-0.438738715702948,0.436196015102937,-0.0294996279574148,-0.147983184263817,-0.00457234443537177,1.30791725373973,5,1.30791725373973,5,0.944634599185954,7.36150199347704,0.944634599185954,7.36150199347704,1.15265589125696,5.94399067514989,1.15265589125696,5.94399067514989,1.46524012376819,5,1.46524012376819,5
18,3,0.267737207018401,0.128512906224649,0.537825189439671,0.2,0.15,0.69,0.167949984765217,3,0.0205692430476193,0,-8.88178419700125e-16,-1.77635683940025e-15,-0.348579257466748,-0.255,0.130940397170194,0.0300273931990823,-0.0327259170996821,-0.449262756436185,0.446915161851582,-0.0305392964974921,-0.149111593635016,-0.00482018583018437,-0.0327259170996821,-0.449262756436185,0.446915161851582,-0.0305392964974921,-0.149111593635016,-0.00482018583018437,1.31978599612924,5,1.31978599612924,5,0.934027505048262,7.50395791993104,0.934027505048262,7.50395791993104,1.1458824746028,6.0849542765709,1.1458824746028,6.0849542765709,1.47731998598611,5,1.47731998598611,5
19,3,0.259928178563271,0.131101769091212,0.547011116954583,0.2,0.15,0.69,0.156186908516588,3,0.0211502728194338,0,0,0,-0.36357855376308,-0.27,0.132070774829489,0.0309778004515539,-0.033991611980744,-0.459018000307368,0.456834110157585,-0.03150914565755,-0.150129105444234,-0.00505110451694681,-0.033991611980744,-0.459018000307368,0.456834110157585,-0.03150914565755,-0.150129105444234,-0.00505110451694681,1.33186563582515,5,1.33186563582515,5,0.923760782820703,7.65175826715163,0.923760782820703,7.65175826715163,1.1390324998288,6.23517974591063,1.1390324998288,6.23517974591063,1.48927066837451,5,1.48927066837451,5
20,3,0.252662962998578,0.1333780092875,0.555636673006164,0.2,0.15,0.69,0.145269342560254,3,0.021671781416804,0,0,-8.88178419700125e-16,-0.377670478901794,-0.283784158753369,0.132965724746551,0.0318455629301109,-0.0351846413640424,-0.468084166581724,0.466016953321517,-0.0324142686967649,-0.151042737342087,-0.00526642702815767,-0.0351846413640424,-0.468084166581724,0.466016953321517,-0.0324142686967649,-0.151042737342087,-0.00526642702815767,1.34309815164487,5.00000000000185,1.34309815164487,5.00000000000185,0.914559993563334,7.79327729660628,0.914559993563334,7.79327729660628,1.13274995166028,6.38127285291618,1.13274995166028,6.38127285291618,1.50020502469218,5.0000000000008,1.50020502469218,5.0000000000008
