step,time_s,success,routeB_residual,tip_x,tip_y,tip_z,target_x,target_y,target_z,err_x,err_y,err_z,tension_margin_low,tension_margin_high,torque_margin_low,torque_margin_high,active_lower_count,active_upper_count,cable_active_lower_count,cable_active_upper_count,jacobian_backend,jacobian_fallback,T_1,Tlow_1,Tup_1,T_2,Tlow_2,Tup_2,T_3,Tlow_3,Tup_3,T_4,Tlow_4,Tup_4,T_5,Tlow_5,Tup_5,T_6,Tlow_6,Tup_6,T_7,Tlow_7,Tup_7,T_8,Tlow_8,Tup_8,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,uwo_1,ua_1,uwo_2,ua_2,uwo_3,ua_3,uwo_4,ua_4,uwo_5,ua_5,uwo_6,ua_6,uwo_7,ua_7,uwo_8,ua_8,uwo_9,ua_9,uwo_10,ua_10,uwo_11,ua_11,uwo_12,ua_12,uwo_13,ua_13,uwo_14,ua_14
1,0,1,7.6582409184606e-15,0.156636642600868,0.107690361047947,0.285124963237541,0.336636642600868,0.00769036104794683,0.285124963237541,-0.18,0.1,0,3.19744231092045e-14,476.89973048923,39.1235734151841,39.8553424120806,4,0,4,0,pinocchio,0,13.0407152707677,0,0,13.0407152707677,0,0,5.00000000000003,1,0,5.00000000000003,1,0,5.00000000000979,1,0,5.00000000000979,1,0,23.1002695107701,0,0,23.1002695107701,0,0,0.144657587919362,-0.876426584815932,-0.107710614789247,-0.0147073474539565,0.0519385572506905,-0.000539291895584881,13.0407152707677,13.0407152707677,13.0407152707677,13.0407152707677,5.00000000000003,5.00000000000003,5.00000000000003,5.00000000000003,5.00000000000979,5.00000000000979,5.00000000000979,5.00000000000979,23.1002695107701,23.1002695107701,23.1002695107701,23.1002695107701,0.144657587919362,0.144657587919362,-1.8091182614025,-0.876426584815932,0.47862116862116,-0.107710614789247,-0.0147073474539567,-0.0147073474539565,-0.00766048896952753,0.0519385572506905,-0.000539291895584881,-0.000539291895584881
2,0.02,1,1.17005259775991e-14,0.163833234772548,0.103690483546371,0.285156909406157,0.336636642600868,0.00769036104794683,0.285124963237541,-0.17280340782832,0.0960001224984244,3.19461686169031e-05,0.595774279823098,480.561602141623,39.5011096446411,39.580018151906,0,0,0,0,pinocchio,0,12.3172569067993,0,0,12.3172569067993,0,0,8.66562583273399,0,0,8.66562583273399,0,0,5.5957742798231,0,0,5.5957742798231,0,0,19.4383978583772,0,0,19.4383978583772,0,0,0.0582985639157882,0.419981848093976,-0.498890355358855,-0.00256519157253311,0.0612218071051937,-8.08488347509685e-06,12.3172569067993,12.3172569067993,12.3172569067993,12.3172569067993,8.66562583273399,8.66562583273399,8.66562583273399,8.66562583273399,5.5957742798231,5.5957742798231,5.5957742798231,5.5957742798231,19.4383978583772,19.4383978583772,19.4383978583772,19.4383978583772,0.058166361961149,0.0582985639157882,-0.531160699768385,0.419981848093976,0.0882978492863771,-0.498890355358855,-0.00270458112571959,-0.00256519157253311,0.00167739661050348,0.0612218071051937,-1.00886695832969e-05,-8.08488347509685e-06
3,0.04,1,7.03401700120658e-15,0.175063401797975,0.0974495479392392,0.285175646387195,0.336636642600868,0.00769036104794683,0.285124963237541,-0.161573240802893,0.0897591868912923,5.06831496542848e-05,1.29062652430835,483.150845120643,39.4130113441502,39.1544021922248,0,0,0,0,pinocchio,0,11.5486576127632,0,0,11.5486576127632,0,0,11.2880651640037,0,0,11.2880651640037,0,0,6.29062652430835,0,0,6.29062652430835,0,0,16.8491548793567,0,0,16.8491548793567,0,0,0.0205921620728266,0.845597807775166,-0.586988655849754,0.000129192818540699,0.0623836636151425,5.38255123271332e-05,11.5486576127632,11.5486576127632,11.5486576127632,11.5486576127632,11.2880651640037,11.2880651640037,11.2880651640037,11.2880651640037,6.29062652430835,6.29062652430835,6.29062652430835,6.29062652430835,16.8491548793567,16.8491548793567,16.8491548793567,16.8491548793567,0.0203338648390528,0.0205921620728266,-0.130161343986401,0.845597807775166,0.000420498040220707,-0.586988655849754,-0.000101579412863373,0.000129192818540699,0.00287454305986756,0.0623836636151425,5.10591727334031e-05,5.38255123271332e-05
4,0.06,1,4.73189579312086e-15,0.188264578190109,0.0901147245957684,0.285183235312704,0.336636642600868,0.00769036104794683,0.285124963237541,-0.148372064410759,0.0824243635478216,5.82720751634014e-05,1.75928242523685,484.81346679119,39.3833187999728,38.9610180562951,0,0,0,0,pinocchio,0,11.0294024878072,0,0,11.0294024878072,0,0,12.9373362437661,0,0,12.9373362437661,0,0,6.75928242523685,0,0,6.75928242523685,0,0,15.1865332088102,0,0,15.1865332088102,0,0,0.00282223499842192,1.03898194370494,-0.616681200027199,0.00100684296036287,0.0623519909254013,5.95787721527812e-05,11.0294024878072,11.0294024878072,11.0294024878072,11.0294024878072,12.9373362437661,12.9373362437661,12.9373362437661,12.9373362437661,6.75928242523685,6.75928242523685,6.75928242523685,6.75928242523685,15.1865332088102,15.1865332088102,15.1865332088102,15.1865332088102,0.002510306578138,0.00282223499842192,0.0367148547888689,1.03898194370494,-0.0294985914192551,-0.616681200027199,0.000757558353541299,0.00100684296036287,0.00286416114759191,0.0623519909254013,5.7000613324476e-05,5.95787721527812e-05
5,0.08,1,8.01733185955136e-15,0.20212030800303,0.0824177219372485,0.285183367853935,0.336636642600868,0.00769036104794683,0.285124963237541,-0.134516334597838,0.0747273608893017,5.84046163942809e-05,2.04126631037762,485.836563358767,39.3763992375413,38.8716332160451,0,0,0,0,pinocchio,0,10.6976799197758,0,0,10.6976799197758,0,0,13.9098969154907,0,0,13.9098969154907,0,0,7.04126631037762,0,0,7.04126631037762,0,0,14.163436641233,0,0,14.163436641233,0,0,-0.00509743910251221,1.12836678395489,-0.623600762458673,0.00117363926921263,0.062010814996563,4.99273704102849e-05,10.6976799197758,10.6976799197758,10.6976799197758,10.6976799197758,13.9098969154907,13.9098969154907,13.9098969154907,13.9098969154907,7.04126631037762,7.04126631037762,7.04126631037762,7.04126631037762,14.163436641233,14.163436641233,14.163436641233,14.163436641233,-0.00541527005800191,-0.00509743910251221,0.0996399739890776,1.12836678395489,-0.0369664019210134,-0.623600762458673,0.000950795954999251,0.00117363926921263,0.00253171633350036,0.062010814996563,4.81626201249696e-05,4.99273704102849e-05
6,0.1,1,4.57236158432694e-15,0.215814542581625,0.0748117422730269,0.285178943285741,0.336636642600868,0.00769036104794683,0.285124963237541,-0.120822100019243,0.0671213812250801,5.39800482000086e-05,2.18495888299738,485.57243113969,39.3788732638995,38.8308097360777,0,0,0,0,pinocchio,0,10.4935782654369,0,0,10.4935782654369,0,0,14.4275688603098,0,0,14.4275688603098,0,0,7.18495888299738,0,0,7.18495888299738,0,0,13.5693361106005,0,0,13.5693361106005,0,0,-0.00813646488749058,1.16919026392234,-0.621126736100461,0.0010506650710733,0.061625470610279,3.64584168839322e-05,10.4935782654369,10.4935782654369,10.4935782654369,10.4935782654369,14.4275688603098,14.4275688603098,14.4275688603098,14.4275688603098,7.18495888299738,7.18495888299738,7.18495888299738,7.18495888299738,13.5693361106005,13.5693361106005,13.5693361106005,13.5693361106005,-0.00843710972974065,-0.00813646488749058,0.114851350481928,1.16919026392234,-0.035266027649925,-0.621126736100461,0.000877432327662575,0.0010506650710733,0.00214284216011862,0.061625470610279,3.59041636173174e-05,3.64584168839322e-05
7,0.12,1,8.19807009163461e-15,0.228864126302184,0.0675648660329553,0.285172048158708,0.336636642600868,0.00769036104794683,0.285124963237541,-0.107772516298684,0.0598745049850084,4.70849211678948e-05,2.2301704620965,485.353964456722,39.3845438076413,38.8113022972933,0,0,0,0,pinocchio,0,10.3737549149659,0,0,10.3737549149659,0,0,14.6460355432781,0,0,14.6460355432781,0,0,7.2301704620965,0,0,7.2301704620965,0,0,13.2578032092999,0,0,13.2578032092999,0,0,-0.00883556306275857,1.18869770270673,-0.615456192358696,0.000834467428246353,0.0612881678781774,2.38418588574245e-05,10.3737549149659,10.3737549149659,10.3737549149659,10.3737549149659,14.6460355432781,14.6460355432781,14.6460355432781,14.6460355432781,7.2301704620965,7.2301704620965,7.2301704620965,7.2301704620965,13.2578032092999,13.2578032092999,13.2578032092999,13.2578032092999,-0.00911052869120965,-0.00883556306275857,0.109843030773433,1.18869770270673,-0.0305183198586576,-0.615456192358696,0.000721391443882169,0.000834467428246353,0.00179046637573066,0.0612881678781774,2.47402769133487e-05,2.38418588574245e-05
8,0.14,1,6.23898417055995e-15,0.241004966009078,0.0608234680203355,0.285164102573027,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0956316765917899,0.0531331069723886,3.91393354868264e-05,2.20818618760273,485.326991459334,39.3906825086187,38.8000226491053,0,0,0,0,pinocchio,0,10.3081971764211,0,0,10.3081971764211,0,0,14.673008540666,0,0,14.673008540666,0,0,7.20818618760273,0,0,7.20818618760273,0,0,13.1284331832039,0,0,13.1284331832039,0,0,-0.00848021545551915,1.19997735089474,-0.609317491381328,0.00061112772141532,0.0610212882405954,1.3622504620358e-05,10.3081971764211,10.3081971764211,10.3081971764211,10.3081971764211,14.673008540666,14.673008540666,14.673008540666,14.673008540666,7.20818618760273,7.20818618760273,7.20818618760273,7.20818618760273,13.1284331832039,13.1284331832039,13.1284331832039,13.1284331832039,-0.00872817634255085,-0.00848021545551915,0.0977043913795157,1.19997735089474,-0.0253951198380662,-0.609317491381328,0.000562217278059052,0.00061112772141532,0.00149801727476273,0.0610212882405954,1.61138424346063e-05,1.3622504620358e-05
9,0.16,1,8.21149306406495e-15,0.252114969392523,0.0546551019659727,0.285156021015744,0.336636642600868,0.00769036104794683,0.285124963237541,-0.084521673208345,0.0469647409180259,3.10577782034471e-05,2.14280010953107,485.417903116756,39.396234600714,38.7909927206651,0,0,0,0,pinocchio,0,10.2766726474212,0,0,10.2766726474212,0,0,14.5820968832442,0,0,14.5820968832442,0,0,7.14280010953107,0,0,7.14280010953107,0,0,13.1132210213518,0,0,13.1132210213518,0,0,-0.00770730841030024,1.20900727933485,-0.603765399285964,0.000412998457668785,0.0608210509258278,5.95368214571075e-06,10.2766726474212,10.2766726474212,10.2766726474212,10.2766726474212,14.5820968832442,14.5820968832442,14.5820968832442,14.5820968832442,7.14280010953107,7.14280010953107,7.14280010953107,7.14280010953107,13.1132210213518,13.1132210213518,13.1132210213518,13.1132210213518,-0.00792998596960359,-0.00770730841030024,0.0843168431294146,1.20900727933485,-0.0209125748770518,-0.603765399285964,0.000429113883853915,0.000412998457668785,0.00126286947070042,0.0608210509258278,1.0113902106923e-05,5.95368214571075e-06
10,0.18,1,8.92857165983532e-15,0.262162128056922,0.0490773580916312,0.285148354641532,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0744745145439462,0.0413869970436844,2.33914039914351e-05,2.05156612719605,485.577069231061,39.4009084914624,38.7817048447312,0,0,0,0,pinocchio,0,10.2658446177649,0,0,10.2658446177649,0,0,14.4229307689389,0,0,14.4229307689389,0,0,7.05156612719605,0,0,7.05156612719605,0,0,13.166697463404,0,0,13.166697463404,0,0,-0.00682204810789019,1.21829515526884,-0.599091508537575,0.000247938327138065,0.0606762051124789,4.61270409462572e-07,10.2658446177649,10.2658446177649,10.2658446177649,10.2658446177649,14.4229307689389,14.4229307689389,14.4229307689389,14.4229307689389,7.05156612719605,7.05156612719605,7.05156612719605,7.05156612719605,13.166697463404,13.166697463404,13.166697463404,13.166697463404,-0.00702219843483931,-0.00682204810789019,0.0720638976218808,1.21829515526884,-0.0173381147830014,-0.599091508537575,0.000328569207226792,0.000247938327138065,0.00107489441849395,0.0606762051124789,6.32834733238496e-06,4.61270409462572e-07
