step,time_s,success,routeB_residual,tip_x,tip_y,tip_z,target_x,target_y,target_z,err_x,err_y,err_z,tension_margin_low,tension_margin_low_physical,tension_margin_high,torque_margin_low,torque_margin_high,active_lower_count,active_upper_count,cable_active_lower_count,cable_active_upper_count,jacobian_backend,jacobian_fallback,du_norm,dqdd_norm,allow_mujoco_smoke_test,allow_formal_mujoco_validation,backend_dynamics,backend_sim,T_1,Tsafe_1,Tref_1,Tsafe_margin_1,Tlow_1,Tup_1,T_2,Tsafe_2,Tref_2,Tsafe_margin_2,Tlow_2,Tup_2,T_3,Tsafe_3,Tref_3,Tsafe_margin_3,Tlow_3,Tup_3,T_4,Tsafe_4,Tref_4,Tsafe_margin_4,Tlow_4,Tup_4,T_5,Tsafe_5,Tref_5,Tsafe_margin_5,Tlow_5,Tup_5,T_6,Tsafe_6,Tref_6,Tsafe_margin_6,Tlow_6,Tup_6,T_7,Tsafe_7,Tref_7,Tsafe_margin_7,Tlow_7,Tup_7,T_8,Tsafe_8,Tref_8,Tsafe_margin_8,Tlow_8,Tup_8,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,uwo_1,ua_1,uwo_2,ua_2,uwo_3,ua_3,uwo_4,ua_4,uwo_5,ua_5,uwo_6,ua_6,uwo_7,ua_7,uwo_8,ua_8,uwo_9,ua_9,uwo_10,ua_10,uwo_11,ua_11,uwo_12,ua_12,uwo_13,ua_13,uwo_14,ua_14,tension_margin_low_min,tension_margin_low_mean,num_steps_near_lower_bound,near_lower_bound_ratio,worst_cable_index,tension_spread,tension_balance_metric
1,0,1,8.796621515962e-15,0.156636642600868,0.107690361047947,0.285124963237541,0.336636642600868,0.00769036104794683,0.285124963237541,-0.18,0.1,0,2.41584530158434e-13,2.00000000000024,475.301330253925,38.7212784063869,39.821362167286,4,0,4,0,pinocchio,0,43.3689321107735,20.7426462422555,1,0,pinocchio,integrator,15.1584025738905,7,13,2,0,0,15.1584025738905,7,13,2,0,0,7.00000000000024,7,13,2,1,0,7.00000000000024,7,13,2,1,0,7.00000000006302,7,13,2,1,0,7.00000000006302,7,13,2,1,0,24.6986697460754,7,13,2,0,0,24.6986697460754,7,13,2,0,0,0.178637832713967,-1.27872159361306,-0.00440042453765632,-0.0176091463093113,0.0475127209727304,-0.000629944061174115,15.1584025738905,15.1584025738905,15.1584025738905,15.1584025738905,7.00000000000024,7.00000000000024,7.00000000000024,7.00000000000024,7.00000000006302,7.00000000006302,7.00000000006302,7.00000000006302,24.6986697460754,24.6986697460754,24.6986697460754,24.6986697460754,0.178637832713967,0.178637832713967,-2.21141327019964,-1.27872159361306,0.581931358872751,-0.00440042453765632,-0.0176091463093115,-0.0176091463093113,-0.0120863252474877,0.0475127209727304,-0.000629944061174115,-0.000629944061174115,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
2,0.02,1,9.71054790643445e-15,0.163832353330514,0.103690299026712,0.285164584220901,0.336636642600868,0.00769036104794683,0.285124963237541,-0.172804289270354,0.0959999379787648,3.96209833606331e-05,1.59026034808795,3.59026034808795,480.300802282104,39.5717886862925,39.8971853510585,0,0,0,0,pinocchio,0,8.13773353531844,8.51764289750646,1,0,pinocchio,integrator,15.1914999762281,7,13,2,0,0,15.1914999762281,7,13,2,0,0,9.13764744197619,7,13,2,0,0,9.13764744197619,7,13,2,0,0,8.59026034808795,7,13,2,0,0,8.59026034808795,7,13,2,0,0,19.699197717896,7,13,2,0,0,19.699197717896,7,13,2,0,0,0.0886049458457441,0.102814648941545,-0.428211313707471,-0.00460014741185932,0.0603898089536783,-5.84062870696415e-05,15.1914999762281,15.1914999762281,15.1914999762281,15.1914999762281,9.13764744197619,9.13764744197619,9.13764744197619,9.13764744197619,8.59026034808795,8.59026034808795,8.59026034808795,8.59026034808795,19.699197717896,19.699197717896,19.699197717896,19.699197717896,0.0883943814949362,0.0886049458457441,-0.85242103192774,0.102814648941545,0.159072314442035,-0.428211313707471,-0.00479785382957232,-0.00460014741185932,0.000873794339391054,0.0603898089536783,-6.09528735466824e-05,-5.84062870696415e-05,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
3,0.04,1,8.05263746609181e-15,0.175061611998999,0.0974486479361057,0.285191940437808,0.336636642600868,0.00769036104794683,0.285124963237541,-0.161575030601869,0.0897582868881589,6.69772002672708e-05,2.83422981763154,4.83422981763154,483.567360226079,39.4572854439381,39.3712203165935,0,0,0,0,pinocchio,0,5.57757414765122,6.01449117656271,1,0,pinocchio,integrator,14.8540695370104,7,13,2,0,0,14.8540695370104,7,13,2,0,0,10.8964662399321,7,13,2,0,0,10.8964662399321,7,13,2,0,0,9.83422981763154,7,13,2,0,0,9.83422981763154,7,13,2,0,0,16.4326397739211,7,13,2,0,0,16.4326397739211,7,13,2,0,0,0.0436266443818944,0.628779683406522,-0.542714556061946,-0.0011888444472217,0.0641780075912077,2.28759997111459e-05,14.8540695370104,14.8540695370104,14.8540695370104,14.8540695370104,10.8964662399321,10.8964662399321,10.8964662399321,10.8964662399321,9.83422981763154,9.83422981763154,9.83422981763154,9.83422981763154,16.4326397739211,16.4326397739211,16.4326397739211,16.4326397739211,0.0431580139308778,0.0436266443818944,-0.358595969550073,0.628779683406522,0.0447434345104298,-0.542714556061946,-0.00155631817374058,-0.0011888444472217,0.0047246234559708,0.0641780075912077,1.9224298739573e-05,2.28759997111459e-05,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
4,0.06,1,9.43033813357537e-15,0.188262180813576,0.0901132598522972,0.285206700576371,0.336636642600868,0.00769036104794683,0.285124963237541,-0.148374461787292,0.0824228988043504,8.17373388299902e-05,3.61433688318126,5.61433688318126,485.409554559185,39.407381120076,39.0864982110243,0,0,0,0,pinocchio,0,3.45496897355729,3.86694892278108,1,0,pinocchio,integrator,14.5904454408155,7,13,2,0,0,14.5904454408155,7,13,2,0,0,12.0558121731068,7,13,2,0,0,12.0558121731068,7,13,2,0,0,10.6143368831813,7,13,2,0,0,10.6143368831813,7,13,2,0,0,14.4542829573163,7,13,2,0,0,14.4542829573163,7,13,2,0,0,0.0186779727006337,0.913501788975695,-0.592618879923952,0.000222677753315354,0.0659115888423943,3.91083343113142e-05,14.5904454408155,14.5904454408155,14.5904454408155,14.5904454408155,12.0558121731068,12.0558121731068,12.0558121731068,12.0558121731068,10.6143368831813,10.6143368831813,10.6143368831813,10.6143368831813,14.4542829573163,14.4542829573163,14.4542829573163,14.4542829573163,0.0180472066367372,0.0186779727006337,-0.11049188168834,0.913501788975695,-0.00558258974334791,-0.592618879923952,-0.000213628564630142,0.000222677753315354,0.00649566874905361,0.0659115888423943,3.57185875330401e-05,3.91083343113142e-05,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
5,0.08,1,8.29004850320268e-15,0.202117714198936,0.0824163355832004,0.285211627779714,0.336636642600868,0.00769036104794683,0.285124963237541,-0.134518928401932,0.0747259745352536,8.66645421729872e-05,4.08800615978933,6.08800615978933,485.582111239603,39.3878882910817,38.9275915600653,0,0,0,0,pinocchio,0,2.03188618490996,2.41079576043853,1,0,pinocchio,integrator,14.4178887603966,7,13,2,0,0,14.4178887603966,7,13,2,0,0,12.7548972640602,7,13,2,0,0,12.7548972640602,7,13,2,0,0,11.0880061597893,7,13,2,0,0,11.0880061597893,7,13,2,0,0,13.3080488556288,7,13,2,0,0,13.3080488556288,7,13,2,0,0,0.0051233233972911,1.07240843993469,-0.612111708918336,0.000685504757885365,0.0666428328785365,3.20239326064398e-05,14.4178887603966,14.4178887603966,14.4178887603966,14.4178887603966,12.7548972640602,12.7548972640602,12.7548972640602,12.7548972640602,11.0880061597893,11.0880061597893,11.0880061597893,11.0880061597893,13.3080488556288,13.3080488556288,13.3080488556288,13.3080488556288,0.00442271604014621,0.0051233233972911,0.0100791993671194,1.07240843993469,-0.0259723558719713,-0.612111708918336,0.000261373470557658,0.000685504757885365,0.00723338466729473,0.0666428328785365,2.9905276207387e-05,3.20239326064398e-05,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
6,0.1,1,6.1277039321359e-15,0.215812121598793,0.0748112419157793,0.285209565847186,0.336636642600868,0.00769036104794683,0.285124963237541,-0.120824521002075,0.0671208808678325,8.46026096454899e-05,4.36222188912163,6.36222188912163,485.678254851863,39.3838214293549,38.8377621218543,0,0,0,0,pinocchio,0,1.09593974801811,1.44265260517365,1,0,pinocchio,integrator,14.3217451481367,7,13,2,0,0,14.3217451481367,7,13,2,0,0,13.1236889420417,7,13,2,0,0,13.1236889420417,7,13,2,0,0,11.3622218891216,7,13,2,0,0,11.3622218891216,7,13,2,0,0,12.6926240152529,7,13,2,0,0,12.6926240152529,7,13,2,0,0,-0.0018247891007772,1.16223787814573,-0.616178570645119,0.000675554639732232,0.0668627554369327,1.64209043939903e-05,14.3217451481367,14.3217451481367,14.3217451481367,14.3217451481367,13.1236889420417,13.1236889420417,13.1236889420417,13.1236889420417,11.3622218891216,11.3622218891216,11.3622218891216,11.3622218891216,12.6926240152529,12.6926240152529,12.6926240152529,12.6926240152529,-0.00253199445061369,-0.0018247891007772,0.061277026059436,1.16223787814573,-0.0313122116389621,-0.616178570645119,0.000316142752566861,0.000675554639732232,0.00742312493473918,0.0668627554369327,1.62717935836554e-05,1.64209043939903e-05,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
7,0.12,1,7.80587442941799e-15,0.228862124217301,0.0675659915692412,0.285202993409544,0.336636642600868,0.00769036104794683,0.285124963237541,-0.107774518383567,0.0598756305212944,7.80301720031407e-05,4.50485417444493,6.50485417444493,485.716873481567,39.3867715035301,38.7840947707257,0,0,0,0,pinocchio,0,0.489817320145245,0.804655497418022,1,0,pinocchio,integrator,14.2831265184327,7,13,2,0,0,14.2831265184327,7,13,2,0,0,13.2640820753446,7,13,2,0,0,13.2640820753446,7,13,2,0,0,11.5048541744449,7,13,2,0,0,11.5048541744449,7,13,2,0,0,12.412819701914,7,13,2,0,0,12.412819701914,7,13,2,0,0,-0.00500057407851039,1.21590522927428,-0.613228496469904,0.000465132177656982,0.0668557672455052,1.76816727270324e-08,14.2831265184327,14.2831265184327,14.2831265184327,14.2831265184327,13.2640820753446,13.2640820753446,13.2640820753446,13.2640820753446,11.5048541744449,11.5048541744449,11.5048541744449,11.5048541744449,12.412819701914,12.412819701914,12.412819701914,12.412819701914,-0.005677249561721,-0.00500057407851039,0.0766737842024696,1.21590522927428,-0.0299233603502671,-0.613228496469904,0.00020137914759033,0.000465132177656982,0.00734558242390193,0.0668557672455052,2.30612531026964e-06,1.76816727270324e-08,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
8,0.14,1,1.03504330541888e-14,0.241003476430525,0.0608267873448649,0.285193879752121,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0956331661703431,0.053136426296918,6.89165145801862e-05,4.5603700518995,6.5603700518995,485.715656078429,39.3921974656758,38.7477935384894,0,0,0,0,pinocchio,0,0.128589724078682,0.393592040815094,1,0,pinocchio,integrator,14.2843439215708,7,13,2,0,0,14.2843439215708,7,13,2,0,0,13.2525399813527,7,13,2,0,0,13.2525399813527,7,13,2,0,0,11.5603700518995,7,13,2,0,0,11.5603700518995,7,13,2,0,0,12.341807092415,7,13,2,0,0,12.341807092415,7,13,2,0,0,-0.00608866688748882,1.25220646151058,-0.607802534324246,0.000200777524824545,0.0667795010839781,-1.36288645297685e-05,14.2843439215708,14.2843439215708,14.2843439215708,14.2843439215708,13.2525399813527,13.2525399813527,13.2525399813527,13.2525399813527,11.5603700518995,11.5603700518995,11.5603700518995,11.5603700518995,12.341807092415,12.341807092415,12.341807092415,12.341807092415,-0.00671556616922686,-0.00608866688748882,0.0753083225417086,1.25220646151058,-0.026275751742638,-0.607802534324246,5.0079703441952e-05,0.000200777524824545,0.00715645328445902,0.0667795010839781,-8.59109038486849e-06,-1.36288645297685e-05,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
9,0.16,1,7.4342568009579e-15,0.252113935755252,0.0546609966160228,0.285183679622724,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0845227068456157,0.046970635568076,5.87163851837325e-05,4.55878110095881,6.55878110095881,485.689075989497,39.3978190514709,38.7184590680653,0,0,0,0,pinocchio,0,0.175689780326516,0.155663461905153,1,0,pinocchio,integrator,14.3109240105028,7,13,2,0,0,14.3109240105028,7,13,2,0,0,13.1446957130344,7,13,2,0,0,13.1446957130344,7,13,2,0,0,11.5587811009588,7,13,2,0,0,11.5587811009588,7,13,2,0,0,12.3971031684167,7,13,2,0,0,12.3971031684167,7,13,2,0,0,-0.00608576736810511,1.28154093193474,-0.60218094852908,-4.62825690069868e-05,0.0667148036527539,-2.33231350570063e-05,14.3109240105028,14.3109240105028,14.3109240105028,14.3109240105028,13.1446957130344,13.1446957130344,13.1446957130344,13.1446957130344,11.5587811009588,11.5587811009588,11.5587811009588,11.5587811009588,12.3971031684167,12.3971031684167,12.3971031684167,12.3971031684167,-0.00665448646936539,-0.00608576736810511,0.0676155470028021,1.28154093193474,-0.0225993334687544,-0.60218094852908,-7.4094332838115e-05,-4.62825690069868e-05,0.00693594682337562,0.0667148036527539,-1.53215147022934e-05,-2.33231350570063e-05,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
10,0.18,1,6.65456502701596e-15,0.262161362384317,0.0490860543657279,0.285173397779127,0.336636642600868,0.00769036104794683,0.285124963237541,-0.0744752802165508,0.041395693317781,4.84345415863174e-05,4.52074136755297,6.52074136755297,485.648009199732,39.4026172010811,38.6905738515158,0,0,0,0,pinocchio,0,0.305729786843167,0.128249147083815,1,0,pinocchio,integrator,14.3519908002677,7,13,2,0,0,14.3519908002677,7,13,2,0,0,12.9799433593404,7,13,2,0,0,12.9799433593404,7,13,2,0,0,11.520741367553,7,13,2,0,0,11.520741367553,7,13,2,0,0,12.5252360123064,7,13,2,0,0,12.5252360123064,7,13,2,0,0,-0.00557549225267686,1.30942614848422,-0.597382798918917,-0.000247109507139244,0.0666981279707895,-2.90671450855771e-05,14.3519908002677,14.3519908002677,14.3519908002677,14.3519908002677,12.9799433593404,12.9799433593404,12.9799433593404,12.9799433593404,11.520741367553,11.520741367553,11.520741367553,11.520741367553,12.5252360123064,12.5252360123064,12.5252360123064,12.5252360123064,-0.00608371585766321,-0.00557549225267686,0.0590588273784505,1.30942614848422,-0.0198835826196202,-0.597382798918917,-0.000145906765261827,-0.000247109507139244,0.00672071105664429,0.0666981279707895,-1.7939791504773e-05,-2.90671450855771e-05,2.41584530158434e-13,3.5389771813631,1,0.0125,3,4.38613248264721,0.171390899155733
