step,time_s,success,routeB_residual,tip_x,tip_y,tip_z,target_x,target_y,target_z,err_x,err_y,err_z,tension_margin_low,tension_margin_low_physical,tension_margin_high,torque_margin_low,torque_margin_high,active_lower_count,active_upper_count,cable_active_lower_count,cable_active_upper_count,jacobian_backend,jacobian_fallback,du_norm,dqdd_norm,allow_mujoco_smoke_test,allow_formal_mujoco_validation,backend_dynamics,backend_sim,T_1,Tsafe_1,Tref_1,Tsafe_margin_1,Tlow_1,Tup_1,T_2,Tsafe_2,Tref_2,Tsafe_margin_2,Tlow_2,Tup_2,T_3,Tsafe_3,Tref_3,Tsafe_margin_3,Tlow_3,Tup_3,T_4,Tsafe_4,Tref_4,Tsafe_margin_4,Tlow_4,Tup_4,T_5,Tsafe_5,Tref_5,Tsafe_margin_5,Tlow_5,Tup_5,T_6,Tsafe_6,Tref_6,Tsafe_margin_6,Tlow_6,Tup_6,T_7,Tsafe_7,Tref_7,Tsafe_margin_7,Tlow_7,Tup_7,T_8,Tsafe_8,Tref_8,Tsafe_margin_8,Tlow_8,Tup_8,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,uwo_1,ua_1,uwo_2,ua_2,uwo_3,ua_3,uwo_4,ua_4,uwo_5,ua_5,uwo_6,ua_6,uwo_7,ua_7,uwo_8,ua_8,uwo_9,ua_9,uwo_10,ua_10,uwo_11,ua_11,uwo_12,ua_12,uwo_13,ua_13,uwo_14,ua_14,tension_margin_low_min,tension_margin_low_mean,num_steps_near_lower_bound,near_lower_bound_ratio,worst_cable_index,tension_spread,tension_balance_metric
1,0,1,7.04485777512762e-14,0.0570355193772182,0.0100010142488494,0.285124963237541,0.157035519377218,0.0500010142488494,0.765124963237541,-0.1,-0.04,-0.48,2.24789076241905e-11,2.00000000002248,392.781060749522,28.71219732189,1.32094157834217e-09,4,1,4,0,pinocchio,0,219.47791553221,1180.9624345912,1,0,pinocchio,integrator,7.00000000002248,7,13,2,1,0,7.00000000002248,7,13,2,1,0,107.218939250478,7,13,2,0,0,107.218939250478,7,13,2,0,0,106.787148200751,7,13,2,0,0,106.787148200751,7,13,2,0,0,7.00000000002319,7,13,2,1,0,7.00000000002319,7,13,2,1,0,-11.28780267811,39.9999999986791,21.1734049568426,-0.0519190826552176,-0.171144266099475,-0.0628017282805615,7.00000000002248,7.00000000002248,7.00000000002248,7.00000000002248,107.218939250478,107.218939250478,107.218939250478,107.218939250478,106.787148200751,106.787148200751,106.787148200751,106.787148200751,7.00000000002319,7.00000000002319,7.00000000002319,7.00000000002319,-11.28780267811,-11.28780267811,39.9999999986791,39.9999999986791,21.1734049568426,21.1734049568426,-0.0519190826552176,-0.0519190826552176,-0.171144266099475,-0.171144266099475,-0.0628017282805615,-0.0628017282805615,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
2,0.02,1,3.63813704698074e-14,0.0590267331853269,0.0127754057957259,0.317394313421064,0.157035519377218,0.0500010142488494,0.765124963237541,-0.0980087861918912,-0.0372256084531235,-0.447730649816476,7.0885519676267e-12,2.00000000000709,415.017928452081,2.69174904587999e-10,31.4347600822068,5,0,4,0,pinocchio,0,269.36121002041,2076.09851981925,1,0,pinocchio,integrator,84.9820715479186,7,13,2,0,0,84.9820715479186,7,13,2,0,0,7.00000000000834,7,13,2,1,0,7.00000000000834,7,13,2,1,0,7.00000000000709,7,13,2,1,0,7.00000000000709,7,13,2,1,0,83.7008152473588,7,13,2,0,0,83.7008152473588,7,13,2,0,0,8.56523991779318,-39.9999999997308,-12.5808805309596,-0.14798843169985,0.172791147755361,0.0386707047782723,84.9820715479186,84.9820715479186,84.9820715479186,84.9820715479186,7.00000000000834,7.00000000000834,7.00000000000834,7.00000000000834,7.00000000000709,7.00000000000709,7.00000000000709,7.00000000000709,83.7008152473588,83.7008152473588,83.7008152473588,83.7008152473588,8.83770178359122,8.56523991779318,-42.5352645047954,-39.9999999997308,-16.3380520455179,-12.5808805309596,-0.0826426841248917,-0.14798843169985,0.24879030325625,0.172791147755361,0.0392064751484895,0.0386707047782723,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
3,0.04,1,1.67356799800421e-14,0.0695245846600345,0.0148370230141541,0.332768496074932,0.157035519377218,0.0500010142488494,0.765124963237541,-0.0875109347171837,-0.0351639912346953,-0.432356467162609,12.1127920735883,14.1127920735883,459.040454804378,37.2504907936403,33.9828396895896,0,0,0,0,pinocchio,0,153.477693119577,1016.13402560792,1,0,pinocchio,integrator,19.1127920735883,7,13,2,0,0,19.1127920735883,7,13,2,0,0,39.9320581297459,7,13,2,0,0,39.9320581297459,7,13,2,0,0,40.9595451956218,7,13,2,0,0,40.9595451956218,7,13,2,0,0,19.3930612835233,7,13,2,0,0,19.3930612835233,7,13,2,0,0,-0.961159473815785,-2.74950920635969,6.0171603104104,-0.155516389710745,-0.0747071981619276,-0.0127428537784026,19.1127920735883,19.1127920735883,19.1127920735883,19.1127920735883,39.9320581297459,39.9320581297459,39.9320581297459,39.9320581297459,40.9595451956218,40.9595451956218,40.9595451956218,40.9595451956218,19.3930612835233,19.3930612835233,19.3930612835233,19.3930612835233,-0.867390608711624,-0.961159473815785,-3.24452553899931,-2.74950920635969,5.87197989880471,6.0171603104104,-0.140765850203479,-0.155516389710745,-0.0960973041451183,-0.0747071981619276,-0.0130617313998442,-0.0127428537784026,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
4,0.06,1,8.94911368192261e-15,0.0789894025759927,0.0175982167172992,0.359724300672975,0.157035519377218,0.0500010142488494,0.765124963237541,-0.0780461168012255,-0.0324027975315502,-0.405400662564565,12.5520003269998,14.5520003269998,474.115419782306,39.1516679424024,35.8418092505751,0,0,0,0,pinocchio,0,44.4017104904053,128.736787026464,1,0,pinocchio,integrator,25.8490425551178,7,13,2,0,0,25.8490425551178,7,13,2,0,0,19.5520003269998,7,13,2,0,0,19.5520003269998,7,13,2,0,0,20.0039266757177,7,13,2,0,0,20.0039266757177,7,13,2,0,0,25.8845802176941,7,13,2,0,0,25.8845802176941,7,13,2,0,0,-0.299010730423748,4.15819074942491,-0.848332057597613,0.0138175726913226,-0.0419319005230497,0.0032452547819001,25.8490425551178,25.8490425551178,25.8490425551178,25.8490425551178,19.5520003269998,19.5520003269998,19.5520003269998,19.5520003269998,20.0039266757177,20.0039266757177,20.0039266757177,20.0039266757177,25.8845802176941,25.8845802176941,25.8845802176941,25.8845802176941,-0.0878091138295005,-0.299010730423748,2.88464124371998,4.15819074942491,-1.14945765885748,-0.848332057597613,0.0404995970014639,0.0138175726913226,-0.0717664965065481,-0.0419319005230497,0.00251884211201769,0.0032452547819001,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
5,0.08,1,8.73893483711104e-15,0.0884174931682146,0.0203163511406273,0.390946737047254,0.157035519377218,0.0500010142488494,0.765124963237541,-0.0686180262090036,-0.0296846631082221,-0.374178226190286,8.82061020742166,10.8206102074217,478.797150226842,38.8083442080654,39.5000756446785,0,0,0,0,pinocchio,0,12.804179359684,38.4444252311706,1,0,pinocchio,integrator,21.2028497731582,7,13,2,0,0,21.2028497731582,7,13,2,0,0,15.8206102074217,7,13,2,0,0,15.8206102074217,7,13,2,0,0,15.9176276093118,7,13,2,0,0,15.9176276093118,7,13,2,0,0,21.0855088151919,7,13,2,0,0,21.0855088151919,7,13,2,0,0,0.176530719998227,0.499924355321482,-1.19165579193463,0.0172793876658427,0.000228707124480573,0.00416719993836991,21.2028497731582,21.2028497731582,21.2028497731582,21.2028497731582,15.8206102074217,15.8206102074217,15.8206102074217,15.8206102074217,15.9176276093118,15.9176276093118,15.9176276093118,15.9176276093118,21.0855088151919,21.0855088151919,21.0855088151919,21.0855088151919,0.409792685755029,0.176530719998227,-0.727954077356713,0.499924355321482,-1.55927770950962,-1.19165579193463,0.0369129082443678,0.0172793876658427,-0.0272873361831145,0.000228707124480573,0.00345697881426332,0.00416719993836991,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
6,0.1,1,9.15425909782548e-15,0.0976062837510661,0.0229477281136104,0.423317520166778,0.157035519377218,0.0500010142488494,0.765124963237541,-0.0594292356261521,-0.027053286135239,-0.341807443070762,7.31197405410113,9.31197405410113,482.121897504032,38.7019593545469,39.7475647762494,0,0,0,0,pinocchio,0,7.36580994044162,4.95085745177371,1,0,pinocchio,integrator,17.878102495968,7,13,2,0,0,17.878102495968,7,13,2,0,0,14.3119740541011,7,13,2,0,0,14.3119740541011,7,13,2,0,0,14.3205784815005,7,13,2,0,0,14.3205784815005,7,13,2,0,0,17.7732639071147,7,13,2,0,0,17.7732639071147,7,13,2,0,0,0.252435223750577,-0.374761294946383,-1.29804064545312,0.0255249525381818,0.0180952495088263,0.00405927755521222,17.878102495968,17.878102495968,17.878102495968,17.878102495968,14.3119740541011,14.3119740541011,14.3119740541011,14.3119740541011,14.3205784815005,14.3205784815005,14.3205784815005,14.3205784815005,17.7732639071147,17.7732639071147,17.7732639071147,17.7732639071147,0.472338700576195,0.252435223750577,-1.46667735730288,-0.374761294946383,-1.60476781978979,-1.29804064545312,0.0390493114906647,0.0255249525381818,-0.00408024458156575,0.0180952495088263,0.00335247632747127,0.00405927755521222,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
7,0.12,1,7.75693600791261e-15,0.106245728213621,0.0254870025298735,0.455344264678018,0.157035519377218,0.0500010142488494,0.765124963237541,-0.0507897911635974,-0.0245140117189759,-0.309780698559523,6.51180504127498,8.51180504127498,484.052626453301,38.5818865054076,39.7791184692296,0,0,0,0,pinocchio,0,4.16349358702083,4.56077770195479,1,0,pinocchio,integrator,15.9473735466988,7,13,2,0,0,15.9473735466988,7,13,2,0,0,13.5332485314329,7,13,2,0,0,13.5332485314329,7,13,2,0,0,13.511805041275,7,13,2,0,0,13.511805041275,7,13,2,0,0,15.8663968478679,7,13,2,0,0,15.8663968478679,7,13,2,0,0,0.220881530770432,-0.235681947040176,-1.41811349459237,0.0355568601382747,0.0237471741130049,0.00397479534256287,15.9473735466988,15.9473735466988,15.9473735466988,15.9473735466988,13.5332485314329,13.5332485314329,13.5332485314329,13.5332485314329,13.511805041275,13.511805041275,13.511805041275,13.511805041275,15.8663968478679,15.8663968478679,15.8663968478679,15.8663968478679,0.417148040150323,0.220881530770432,-1.18195460501557,-0.235681947040176,-1.64546243333759,-1.41811349459237,0.0443200782792843,0.0355568601382747,0.00657843265473446,0.0237471741130049,0.0032774504889872,0.00397479534256287,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
8,0.14,1,1.12300411726788e-14,0.114139744367984,0.0279166242530648,0.486148131312716,0.157035519377218,0.0500010142488494,0.765124963237541,-0.0428957750092344,-0.0220843899957846,-0.278976831924825,6.16703139975342,8.16703139975342,485.244793401828,38.5220004178625,39.830635421626,0,0,0,0,pinocchio,0,2.50533962269917,5.48768734546185,1,0,pinocchio,integrator,14.7552065981723,7,13,2,0,0,14.7552065981723,7,13,2,0,0,13.2006108447167,7,13,2,0,0,13.2006108447167,7,13,2,0,0,13.1670313997534,7,13,2,0,0,13.1670313997534,7,13,2,0,0,14.6916556336964,7,13,2,0,0,14.6916556336964,7,13,2,0,0,0.169364578374025,0.07104764676085,-1.47799958213749,0.0430025716694328,0.0244009287415684,0.00384091412363602,14.7552065981723,14.7552065981723,14.7552065981723,14.7552065981723,13.2006108447167,13.2006108447167,13.2006108447167,13.2006108447167,13.1670313997534,13.1670313997534,13.1670313997534,13.1670313997534,14.6916556336964,14.6916556336964,14.6916556336964,14.6916556336964,0.340124521980634,0.169364578374025,-0.724625787188735,0.07104764676085,-1.64120147694836,-1.47799958213749,0.0480556273331345,0.0430025716694328,0.011154359646163,0.0244009287415684,0.00317731035280389,0.00384091412363602,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
9,0.16,1,7.77819542465048e-15,0.121189293921739,0.030216367595556,0.515197550188416,0.157035519377218,0.0500010142488494,0.765124963237541,-0.0358462254554789,-0.0197846466532934,-0.249927413049124,6.08021241516074,8.08021241516074,486.029350069452,38.5259523288655,39.6582249705369,0,0,0,0,pinocchio,0,1.62239153431865,5.17022309196344,1,0,pinocchio,integrator,13.9706499305478,7,13,2,0,0,13.9706499305478,7,13,2,0,0,13.116696356531,7,13,2,0,0,13.116696356531,7,13,2,0,0,13.0802124151607,7,13,2,0,0,13.0802124151607,7,13,2,0,0,13.9202287528629,7,13,2,0,0,13.9202287528629,7,13,2,0,0,0.118882752860983,0.341775029463108,-1.47404767113448,0.0474480958920875,0.0231010615012884,0.00364354735562729,13.9706499305478,13.9706499305478,13.9706499305478,13.9706499305478,13.116696356531,13.116696356531,13.116696356531,13.116696356531,13.0802124151607,13.0802124151607,13.0802124151607,13.0802124151607,13.9202287528629,13.9202287528629,13.9202287528629,13.9202287528629,0.265775505516189,0.118882752860983,-0.307788972530645,0.341775029463108,-1.59167184055163,-1.47404767113448,0.0496365947125028,0.0474480958920875,0.0126808510545757,0.0231010615012884,0.00303374622534847,0.00364354735562729,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
10,0.18,1,1.02749540400476e-14,0.127365579537688,0.0323688351295511,0.542192702846949,0.157035519377218,0.0500010142488494,0.765124963237541,-0.0296699398395306,-0.0176321791192983,-0.222932260390592,6.12125510626577,8.12125510626577,486.570498570809,38.5778570391069,39.4606296156134,0,0,0,0,pinocchio,0,1.12978352783958,4.54806387551816,1,0,pinocchio,integrator,13.4295014291913,7,13,2,0,0,13.4295014291913,7,13,2,0,0,13.1558264345951,7,13,2,0,0,13.1558264345951,7,13,2,0,0,13.1212551062658,7,13,2,0,0,13.1212551062658,7,13,2,0,0,13.3894872300614,7,13,2,0,0,13.3894872300614,7,13,2,0,0,0.0745111926583585,0.539370384386571,-1.42214296089313,0.0494708095632842,0.0211877605895169,0.0033980430552988,13.4295014291913,13.4295014291913,13.4295014291913,13.4295014291913,13.1558264345951,13.1558264345951,13.1558264345951,13.1558264345951,13.1212551062658,13.1212551062658,13.1212551062658,13.1212551062658,13.3894872300614,13.3894872300614,13.3894872300614,13.3894872300614,0.200581384575173,0.0745111926583585,0.023663326195738,0.539370384386571,-1.50913705799058,-1.42214296089313,0.0494440179073337,0.0494708095632842,0.0126877177025406,0.0211877605895169,0.00285352712968034,0.0033980430552988,7.0885519676267e-12,5.6463807189651,2,0.025,5,3.54823988728956,0.0672680959958347
